timeslice,commodity,asset,year,dst_region,technology,installed,month,day,hour,supply
0,electricity,0,2030,BajaCalif,GAS_GT,2020,all-year,all-week,night,11.96850000000
0,electricity,0,2035,BajaCalif,GAS_GT,2020,all-year,all-week,night,8.97640000000
0,electricity,1,2030,BajaCalif,GEOTH,2020,all-year,all-week,night,2.87370000000
0,electricity,1,2035,BajaCalif,GEOTH,2020,all-year,all-week,night,2.15530000000
0,electricity,2,2030,BajaCalif,OIL,2020,all-year,all-week,night,0.00950000000
0,electricity,2,2035,BajaCalif,OIL,2020,all-year,all-week,night,0.00710000000
0,electricity,4,2030,BajaCalif,PV_GND,2020,all-year,all-week,night,0.00540000000
0,electricity,4,2035,BajaCalif,PV_GND,2020,all-year,all-week,night,0.00400000000
0,electricity,7,2030,BajaCalif,WIND_ON,2020,all-year,all-week,night,0.01180000000
0,electricity,7,2035,BajaCalif,WIND_ON,2020,all-year,all-week,night,0.00890000000
0,electricity,8,2030,BajaCalifSouth,GAS_GT,2020,all-year,all-week,night,0.60140000000
0,electricity,8,2035,BajaCalifSouth,GAS_GT,2020,all-year,all-week,night,0.45100000000
0,electricity,9,2030,BajaCalifSouth,OIL,2020,all-year,all-week,night,2.24690000000
0,electricity,9,2035,BajaCalifSouth,OIL,2020,all-year,all-week,night,1.68520000000
0,electricity,11,2030,BajaCalifSouth,PV_GND,2020,all-year,all-week,night,0.06380000000
0,electricity,11,2035,BajaCalifSouth,PV_GND,2020,all-year,all-week,night,0.04790000000
0,electricity,14,2030,BajaCalifSouth,WIND_ON,2020,all-year,all-week,night,0.05910000000
0,electricity,14,2035,BajaCalifSouth,WIND_ON,2020,all-year,all-week,night,0.04430000000
0,electricity,15,2030,Central,BIO,2020,all-year,all-week,night,0.00300000000
0,electricity,15,2035,Central,BIO,2020,all-year,all-week,night,0.00220000000
0,electricity,18,2030,Central,GAS_GT,2020,all-year,all-week,night,22.22870000000
0,electricity,18,2030,Eastern,GAS_GT,2020,all-year,all-week,night,6.02310000000
0,electricity,18,2030,Western,GAS_GT,2020,all-year,all-week,night,7.20030000000
0,electricity,18,2035,Central,GAS_GT,2020,all-year,all-week,night,16.67160000000
0,electricity,18,2035,Eastern,GAS_GT,2020,all-year,all-week,night,4.51730000000
0,electricity,18,2035,Western,GAS_GT,2020,all-year,all-week,night,5.40020000000
0,electricity,20,2030,Central,HYD,2020,all-year,all-week,night,0.43110000000
0,electricity,20,2035,Central,HYD,2020,all-year,all-week,night,0.32330000000
0,electricity,21,2030,Central,OIL,2020,all-year,all-week,night,0.65280000000
0,electricity,21,2035,Central,OIL,2020,all-year,all-week,night,0.48960000000
0,electricity,22,2030,Central,PV_GND,2020,all-year,all-week,night,0.01610000000
0,electricity,22,2035,Central,PV_GND,2020,all-year,all-week,night,0.01210000000
0,electricity,23,2030,Eastern,BIO,2020,all-year,all-week,night,0.48780000000
0,electricity,23,2035,Eastern,BIO,2020,all-year,all-week,night,0.36590000000
0,electricity,26,2030,Eastern,GAS_GT,2020,all-year,all-week,night,24.09240000000
0,electricity,26,2030,Peninsular,GAS_GT,2020,all-year,all-week,night,4.70700000000
0,electricity,26,2035,Eastern,GAS_GT,2020,all-year,all-week,night,18.06930000000
0,electricity,26,2035,Peninsular,GAS_GT,2020,all-year,all-week,night,3.53030000000
0,electricity,28,2030,Eastern,HYD,2020,all-year,all-week,night,35.60750000000
0,electricity,28,2035,Eastern,HYD,2020,all-year,all-week,night,26.70560000000
0,electricity,29,2030,Eastern,NUCL,2020,all-year,all-week,night,8.62120000000
0,electricity,29,2035,Eastern,NUCL,2020,all-year,all-week,night,6.46590000000
0,electricity,30,2030,Eastern,OIL,2020,all-year,all-week,night,1.38130000000
0,electricity,30,2035,Eastern,OIL,2020,all-year,all-week,night,1.03600000000
0,electricity,32,2030,Eastern,WIND_ON,2020,all-year,all-week,night,3.27340000000
0,electricity,32,2035,Eastern,WIND_ON,2020,all-year,all-week,night,2.45510000000
0,electricity,34,2030,North,BIO,2020,all-year,all-week,night,0.02660000000
0,electricity,34,2035,North,BIO,2020,all-year,all-week,night,0.02000000000
0,electricity,36,2030,North,GAS_GT,2020,all-year,all-week,night,23.27710000000
0,electricity,36,2035,North,GAS_GT,2020,all-year,all-week,night,17.45780000000
0,electricity,38,2030,North,HYD,2020,all-year,all-week,night,0.14900000000
0,electricity,38,2035,North,HYD,2020,all-year,all-week,night,0.11180000000
0,electricity,40,2030,North,OIL,2020,all-year,all-week,night,0.54400000000
0,electricity,40,2035,North,OIL,2020,all-year,all-week,night,0.40800000000
0,electricity,41,2030,North,PV_GND,2020,all-year,all-week,night,0.87250000000
0,electricity,41,2035,North,PV_GND,2020,all-year,all-week,night,0.65430000000
0,electricity,42,2030,Northeast,BIO,2020,all-year,all-week,night,0.05620000000
0,electricity,42,2035,Northeast,BIO,2020,all-year,all-week,night,0.04210000000
0,electricity,43,2030,Northeast,COAL,2020,all-year,all-week,night,5.46360000000
