Commodity,CommodityType,CommodityName,CommodityEmissionFactor_CO2,HeatRate,Unit
electricity,Energy,electricity,0,1,PJ
oil,Energy,oil,60,1,PJ
gas,Energy,gas,56.1,1,PJ
geothermal,Energy,geo,0,1,PJ
heat,Energy,heat,0,1,PJ
hydrogen,Energy,hydrogen,0,1,PJ
wind,Energy,wind,0,1,kt
lignite,Energy,lignite,0,1,PJ
biomass,Energy,biomass,0,1,PJ
water,Energy,water,0,1,PJ
uranium,Energy,uranium,0,1,PJ
solar,Energy,solar,0,1,PJ
coal,Energy,coal,0,1,PJ
diesel,Energy,diesel,80,1,PJ
biodiesel,Energy,biodiesel,80,1,PJ
ethanol,Energy,ethanol,0,1,PJ
steel,Material,steel,0,1,Mt/PJ
cement,Material,cement,0,1,Mt/PJ
chemicals,Material,chemicals,0,1,Mt/PJ
minerals,Material,minerals,0,1,Mt/PJ
paper,Material,paper,0,1,Mt/PJ
glass,Material,glass,0,1,Mt/PJ
sugar,Material,sugar,0,1,Mt/PJ
beer,Material,beer,0,1,Mt/PJ
vehicles,Material,vehicles,0,1,Mt/PJ
construction,Material,construction,0,1,Mt/PJ
beverages,Material,beverages,0,1,Mt/PJ
rubber,Material,rubber,0,1,Mt/PJ
fertilizers,Material,fertilizers,0,1,Mt/PJ
tobaco,Material,tobaco,0,1,Mt/PJ
otherind,Material,other_ind,0,1,Mt/PJ
cars,Service,cars,0,1,pkm/PJ
buses,Service,buses,0,1,pkm/PJ
psgrail,Service,psg_rail,0,1,pkm/PJ
psgair,Service,psg_air,0,1,pkm/PJ
psgmar,Service,psg_mar,0,1,pkm/PJ
lorries,Service,lorries,0,1,tkm/PJ
cargorail,Service,cargo_rail,0,1,tkm/PJ
cargoair,Service,cargo_air,0,1,tkm/PJ
cargomar,Service,cargo_mar,0,1,tkm/PJ
light,Service,light,0,1,PJ/PJ
heating,Service,heating,0,1,PJ/PJ
cool,Service,cool,0,1,PJ/PJ
hwater,Service,hwater,0,1,PJ/PJ
cook,Service,cook,0,1,PJ/PJ
appl,Service,appl,0,1,PJ/PJ
fruits,Service,fruits,0,1,Mt/Mha
vegt,Service,vegt,0,1,Mt/Mha
livestock,Service,livestock,0,1,Mt/Mha
milk,Service,milk,0,1,Ml/Mha
otheragr,Service,other_agr,0,1,Mt/Mha
seeds,Service,seeds,0,1,Mt/Mha
plants,Service,plants,0,1,Mt/Mha
CO2f,Environmental,CO2f,0,1,kt
dry_gas,Energy,dry_gas,0,1,PJ
lp_gas,Energy,lp_gas,0,1,PJ
gasoline,Energy,gasoline,0,1,PJ
kerosene,Energy,kerosene,0,1,PJ
fuel_oil,Energy,fuel_oil,0,1,PJ
asphalt,Energy,asphalt,0,1,PJ
lubricant,Energy,lubricant,0,1,PJ
diesel_oil,Energy,diesel_oil,0,1,PJ
coke,Energy,coke,0,1,PJ
other_ref,Energy,other_ref,0,1,PJ
biogas,Energy,biogas,0,1,PJ
bioethanol,Energy,bioethanol,0,1,PJ
hydro,Energy,hydro,0,1,PJ
tidal,Energy,tidal,0,1,PJ
wave,Energy,wave,0,1,PJ
cng,Energy,cng,0,1,PJ
hardcoal,Energy,hardcoal,0,1,PJ
hfo,Energy,hfo,0,1,PJ
CO2r,Energy,CO2r,0,1,PJ
CO2c,Energy,CO2c,0,1,PJ
CO2s,Energy,CO2s,0,1,PJ
CH4,Energy,CH4,0,1,PJ
N2O,Energy,N2O,0,1,PJ
F-gases,Energy,F-gases,0,1,PJ
