timeslice,commodity,asset,year,technology,installed,month,day,hour,supply
0,appl,0,2020,com_tec,2020,all-year,all-week,night,6.66700000000
0,appl,0,2025,com_tec,2020,all-year,all-week,night,6.64150000000
0,appl,1,2020,com_tec,2020,all-year,all-week,night,1.16600000000
0,appl,1,2025,com_tec,2020,all-year,all-week,night,1.26320000000
0,appl,2,2020,com_tec,2020,all-year,all-week,night,13.93260000000
0,appl,2,2025,com_tec,2020,all-year,all-week,night,22.56580000000
0,appl,3,2020,com_tec,2020,all-year,all-week,night,41.34000000000
0,appl,3,2025,com_tec,2020,all-year,all-week,night,40.66960000000
0,appl,4,2020,com_tec,2020,all-year,all-week,night,10.84000000000
0,appl,4,2025,com_tec,2020,all-year,all-week,night,11.74330000000
0,appl,5,2020,com_tec,2020,all-year,all-week,night,50.00030000000
0,appl,5,2025,com_tec,2020,all-year,all-week,night,37.50020000000
0,appl,6,2020,com_tec,2020,all-year,all-week,night,12.83000000000
0,appl,6,2025,com_tec,2020,all-year,all-week,night,13.89920000000
0,appl,7,2020,com_tec,2020,all-year,all-week,night,2.00000000000
0,appl,7,2025,com_tec,2020,all-year,all-week,night,2.16670000000
0,appl,8,2020,com_tec,2020,all-year,all-week,night,21.34000000000
0,appl,8,2025,com_tec,2020,all-year,all-week,night,23.11830000000
0,appl,9,2020,com_tec2,2020,all-year,all-week,night,4.42770000000
0,appl,9,2025,com_tec2,2020,all-year,all-week,night,3.32070000000
0,appl,10,2020,com_tec2,2020,all-year,all-week,night,1.13690000000
0,appl,10,2025,com_tec2,2020,all-year,all-week,night,0.85270000000
0,appl,11,2020,com_tec2,2020,all-year,all-week,night,6.96630000000
0,appl,11,2025,com_tec2,2020,all-year,all-week,night,22.56580000000
0,appl,12,2020,com_tec2,2020,all-year,all-week,night,27.11310000000
0,appl,12,2025,com_tec2,2020,all-year,all-week,night,20.33480000000
0,appl,13,2020,com_tec2,2020,all-year,all-week,night,8.92630000000
0,appl,13,2025,com_tec2,2020,all-year,all-week,night,6.69470000000
0,appl,14,2020,com_tec2,2020,all-year,all-week,night,25.00020000000
0,appl,14,2025,com_tec2,2020,all-year,all-week,night,18.75010000000
0,appl,15,2020,com_tec2,2020,all-year,all-week,night,11.53110000000
0,appl,15,2025,com_tec2,2020,all-year,all-week,night,8.64840000000
0,appl,16,2020,com_tec2,2020,all-year,all-week,night,2.00000000000
0,appl,16,2025,com_tec2,2020,all-year,all-week,night,2.16670000000
0,appl,17,2020,com_tec2,2020,all-year,all-week,night,21.34000000000
0,appl,17,2025,com_tec2,2020,all-year,all-week,night,17.74790000000
1,appl,0,2020,com_tec,2020,all-year,all-week,morning,6.66700000000
1,appl,0,2025,com_tec,2020,all-year,all-week,morning,6.64150000000
1,appl,1,2020,com_tec,2020,all-year,all-week,morning,1.16600000000
1,appl,1,2025,com_tec,2020,all-year,all-week,morning,1.26320000000
1,appl,2,2020,com_tec,2020,all-year,all-week,morning,13.93260000000
1,appl,2,2025,com_tec,2020,all-year,all-week,morning,22.56580000000
1,appl,3,2020,com_tec,2020,all-year,all-week,morning,41.34000000000
1,appl,3,2025,com_tec,2020,all-year,all-week,morning,40.66960000000
1,appl,4,2020,com_tec,2020,all-year,all-week,morning,10.84000000000
1,appl,4,2025,com_tec,2020,all-year,all-week,morning,11.74330000000
1,appl,5,2020,com_tec,2020,all-year,all-week,morning,50.00030000000
1,appl,5,2025,com_tec,2020,all-year,all-week,morning,37.50020000000
1,appl,6,2020,com_tec,2020,all-year,all-week,morning,12.83000000000
1,appl,6,2025,com_tec,2020,all-year,all-week,morning,13.89920000000
1,appl,7,2020,com_tec,2020,all-year,all-week,morning,2.00000000000
1,appl,7,2025,com_tec,2020,all-year,all-week,morning,2.16670000000
1,appl,8,2020,com_tec,2020,all-year,all-week,morning,21.34000000000
1,appl,8,2025,com_tec,2020,all-year,all-week,morning,23.11830000000
1,appl,9,2020,com_tec2,2020,all-year,all-week,morning,4.42770000000
1,appl,9,2025,com_tec2,2020,all-year,all-week,morning,3.32070000000
1,appl,10,2020,com_tec2,2020,all-year,all-week,morning,1.13690000000
1,appl,10,2025,com_tec2,2020,all-year,all-week,morning,0.85270000000
1,appl,11,2020,com_tec2,2020,all-year,all-week,morning,6.96630000000
1,appl,11,2025,com_tec2,2020,all-year,all-week,morning,22.56580000000
1,appl,12,2020,com_tec2,2020,all-year,all-week,morning,27.11310000000
1,appl,12,2025,com_tec2,2020,all-year,all-week,morning,20.33480000000
1,appl,13,2020,com_tec2,2020,all-year,all-week,morning,8.92630000000
1,appl,13,2025,com_tec2,2020,all-year,all-week,morning,6.69470000000
1,appl,14,2020,com_tec2,2020,all-year,all-week,morning,25.00020000000
1,appl,14,2025,com_tec2,2020,all-year,all-week,morning,18.75010000000
1,appl,15,2020,com_tec2,2020,all-year,all-week,morning,11.53110000000
1,appl,15,2025,com_tec2,2020,all-year,all-week,morning,8.64840000000
1,appl,16,2020,com_tec2,2020,all-year,all-week,morning,2.00000000000
1,appl,16,2025,com_tec2,2020,all-year,all-week,morning,2.16670000000
1,appl,17,2020,com_tec2,2020,all-year,all-week,morning,21.34000000000
1,appl,17,2025,com_tec2,2020,all-year,all-week,morning,17.74790000000
2,appl,0,2020,com_tec,2020,all-year,all-week,afternoon,6.66700000000
2,appl,0,2025,com_tec,2020,all-year,all-week,afternoon,6.64150000000
2,appl,1,2020,com_tec,2020,all-year,all-week,afternoon,1.16600000000
2,appl,1,2025,com_tec,2020,all-year,all-week,afternoon,1.26320000000
2,appl,2,2020,com_tec,2020,all-year,all-week,afternoon,13.93260000000
2,appl,2,2025,com_tec,2020,all-year,all-week,afternoon,22.56580000000
2,appl,3,2020,com_tec,2020,all-year,all-week,afternoon,41.34000000000
2,appl,3,2025,com_tec,2020,all-year,all-week,afternoon,40.66960000000
2,appl,4,2020,com_tec,2020,all-year,all-week,afternoon,10.84000000000
2,appl,4,2025,com_tec,2020,all-year,all-week,afternoon,11.74330000000
2,appl,5,2020,com_tec,2020,all-year,all-week,afternoon,50.00030000000
2,appl,5,2025,com_tec,2020,all-year,all-week,afternoon,37.50020000000
2,appl,6,2020,com_tec,2020,all-year,all-week,afternoon,12.83000000000
2,appl,6,2025,com_tec,2020,all-year,all-week,afternoon,13.89920000000
2,appl,7,2020,com_tec,2020,all-year,all-week,afternoon,2.00000000000
2,appl,7,2025,com_tec,2020,all-year,all-week,afternoon,2.16670000000
2,appl,8,2020,com_tec,2020,all-year,all-week,afternoon,21.34000000000
2,appl,8,2025,com_tec,2020,all-year,all-week,afternoon,23.11830000000
2,appl,9,2020,com_tec2,2020,all-year,all-week,afternoon,4.42770000000
2,appl,9,2025,com_tec2,2020,all-year,all-week,afternoon,3.32070000000
2,appl,10,2020,com_tec2,2020,all-year,all-week,afternoon,1.13690000000
2,appl,10,2025,com_tec2,2020,all-year,all-week,afternoon,0.85270000000
2,appl,11,2020,com_tec2,2020,all-year,all-week,afternoon,6.96630000000
2,appl,11,2025,com_tec2,2020,all-year,all-week,afternoon,22.56580000000
2,appl,12,2020,com_tec2,2020,all-year,all-week,afternoon,27.11310000000
2,appl,12,2025,com_tec2,2020,all-year,all-week,afternoon,20.33480000000
2,appl,13,2020,com_tec2,2020,all-year,all-week,afternoon,8.92630000000
2,appl,13,2025,com_tec2,2020,all-year,all-week,afternoon,6.69470000000
2,appl,14,2020,com_tec2,2020,all-year,all-week,afternoon,25.00020000000
2,appl,14,2025,com_tec2,2020,all-year,all-week,afternoon,18.75010000000
2,appl,15,2020,com_tec2,2020,all-year,all-week,afternoon,11.53110000000
2,appl,15,2025,com_tec2,2020,all-year,all-week,afternoon,8.64840000000
2,appl,16,2020,com_tec2,2020,all-year,all-week,afternoon,2.00000000000
2,appl,16,2025,com_tec2,2020,all-year,all-week,afternoon,2.16670000000
2,appl,17,2020,com_tec2,2020,all-year,all-week,afternoon,21.34000000000
2,appl,17,2025,com_tec2,2020,all-year,all-week,afternoon,17.74790000000
3,appl,0,2020,com_tec,2020,all-year,all-week,early-peak,6.66700000000
3,appl,0,2025,com_tec,2020,all-year,all-week,early-peak,6.64150000000
3,appl,1,2020,com_tec,2020,all-year,all-week,early-peak,1.16600000000
3,appl,1,2025,com_tec,2020,all-year,all-week,early-peak,1.26320000000
3,appl,2,2020,com_tec,2020,all-year,all-week,early-peak,13.93260000000
3,appl,2,2025,com_tec,2020,all-year,all-week,early-peak,22.56580000000
3,appl,3,2020,com_tec,2020,all-year,all-week,early-peak,41.34000000000
3,appl,3,2025,com_tec,2020,all-year,all-week,early-peak,40.66960000000
3,appl,4,2020,com_tec,2020,all-year,all-week,early-peak,10.84000000000
3,appl,4,2025,com_tec,2020,all-year,all-week,early-peak,11.74330000000
3,appl,5,2020,com_tec,2020,all-year,all-week,early-peak,50.00030000000
3,appl,5,2025,com_tec,2020,all-year,all-week,early-peak,37.50020000000
3,appl,6,2020,com_tec,2020,all-year,all-week,early-peak,12.83000000000
3,appl,6,2025,com_tec,2020,all-year,all-week,early-peak,13.89920000000
3,appl,7,2020,com_tec,2020,all-year,all-week,early-peak,2.00000000000
3,appl,7,2025,com_tec,2020,all-year,all-week,early-peak,2.16670000000
3,appl,8,2020,com_tec,2020,all-year,all-week,early-peak,21.34000000000
3,appl,8,2025,com_tec,2020,all-year,all-week,early-peak,23.11830000000
3,appl,9,2020,com_tec2,2020,all-year,all-week,early-peak,4.42770000000
