asset,year,technology,region,installed,capacity
0,2025,bus_battery,BajaCalif,2020,0.52000000000
0,2030,bus_battery,BajaCalif,2020,0.34000000000
0,2031,bus_battery,BajaCalif,2020,0.30800000000
0,2032,bus_battery,BajaCalif,2020,0.27600000000
0,2034,bus_battery,BajaCalif,2020,0.21200000000
0,2035,bus_battery,BajaCalif,2020,0.18000000000
0,2036,bus_battery,BajaCalif,2020,0.14400000000
0,2037,bus_battery,BajaCalif,2020,0.10800000000
0,2039,bus_battery,BajaCalif,2020,0.03600000000
1,2025,bus_battery,BajaCalifSouth,2020,0.18000000000
1,2030,bus_battery,BajaCalifSouth,2020,0.12000000000
1,2031,bus_battery,BajaCalifSouth,2020,0.10800000000
1,2032,bus_battery,BajaCalifSouth,2020,0.09600000000
1,2034,bus_battery,BajaCalifSouth,2020,0.07200000000
1,2035,bus_battery,BajaCalifSouth,2020,0.06000000000
1,2036,bus_battery,BajaCalifSouth,2020,0.04800000000
1,2037,bus_battery,BajaCalifSouth,2020,0.03600000000
1,2039,bus_battery,BajaCalifSouth,2020,0.01200000000
2,2025,bus_battery,Central,2020,2.44000000000
2,2030,bus_battery,Central,2020,1.64000000000
2,2031,bus_battery,Central,2020,1.47600000000
2,2032,bus_battery,Central,2020,1.31200000000
2,2034,bus_battery,Central,2020,0.98400000000
2,2035,bus_battery,Central,2020,0.82000000000
2,2036,bus_battery,Central,2020,0.65600000000
2,2037,bus_battery,Central,2020,0.49200000000
2,2039,bus_battery,Central,2020,0.16400000000
3,2025,bus_battery,Eastern,2020,2.60000000000
3,2030,bus_battery,Eastern,2020,1.74000000000
3,2031,bus_battery,Eastern,2020,1.56400000000
3,2032,bus_battery,Eastern,2020,1.38800000000
3,2034,bus_battery,Eastern,2020,1.03600000000
3,2035,bus_battery,Eastern,2020,0.86000000000
3,2036,bus_battery,Eastern,2020,0.68800000000
3,2037,bus_battery,Eastern,2020,0.51600000000
3,2039,bus_battery,Eastern,2020,0.17200000000
4,2025,bus_battery,North,2020,0.84000000000
4,2030,bus_battery,North,2020,0.56000000000
4,2031,bus_battery,North,2020,0.50400000000
4,2032,bus_battery,North,2020,0.44800000000
4,2034,bus_battery,North,2020,0.33600000000
4,2035,bus_battery,North,2020,0.28000000000
4,2036,bus_battery,North,2020,0.22400000000
4,2037,bus_battery,North,2020,0.16800000000
4,2039,bus_battery,North,2020,0.05600000000
5,2025,bus_battery,Northeast,2020,1.50000000000
5,2030,bus_battery,Northeast,2020,1.00000000000
5,2031,bus_battery,Northeast,2020,0.90000000000
5,2032,bus_battery,Northeast,2020,0.80000000000
5,2034,bus_battery,Northeast,2020,0.60000000000
5,2035,bus_battery,Northeast,2020,0.50000000000
5,2036,bus_battery,Northeast,2020,0.40000000000
5,2037,bus_battery,Northeast,2020,0.30000000000
5,2039,bus_battery,Northeast,2020,0.10000000000
