asset,year,region,installed,technology,capacity
0,2030,BajaCalif,2020,bus_battery,0.34000000000
0,2031,BajaCalif,2020,bus_battery,0.30800000000
0,2032,BajaCalif,2020,bus_battery,0.27600000000
0,2034,BajaCalif,2020,bus_battery,0.21200000000
0,2035,BajaCalif,2020,bus_battery,0.18000000000
0,2036,BajaCalif,2020,bus_battery,0.14400000000
0,2037,BajaCalif,2020,bus_battery,0.10800000000
0,2039,BajaCalif,2020,bus_battery,0.03600000000
1,2030,BajaCalif,2020,bus_cng,0.34000000000
1,2031,BajaCalif,2020,bus_cng,0.30800000000
1,2032,BajaCalif,2020,bus_cng,0.27600000000
1,2034,BajaCalif,2020,bus_cng,0.21200000000
1,2035,BajaCalif,2020,bus_cng,0.18000000000
1,2036,BajaCalif,2020,bus_cng,0.14400000000
1,2037,BajaCalif,2020,bus_cng,0.10800000000
1,2039,BajaCalif,2020,bus_cng,0.03600000000
2,2030,BajaCalif,2020,bus_diesel,2.76000000000
2,2031,BajaCalif,2020,bus_diesel,2.48400000000
2,2032,BajaCalif,2020,bus_diesel,2.20800000000
2,2034,BajaCalif,2020,bus_diesel,1.65600000000
2,2035,BajaCalif,2020,bus_diesel,1.38000000000
2,2036,BajaCalif,2020,bus_diesel,1.10400000000
2,2037,BajaCalif,2020,bus_diesel,0.82800000000
2,2039,BajaCalif,2020,bus_diesel,0.27600000000
3,2030,BajaCalif,2020,bus_hybriddiesel,0.34000000000
3,2031,BajaCalif,2020,bus_hybriddiesel,0.30800000000
3,2032,BajaCalif,2020,bus_hybriddiesel,0.27600000000
3,2034,BajaCalif,2020,bus_hybriddiesel,0.21200000000
3,2035,BajaCalif,2020,bus_hybriddiesel,0.18000000000
3,2036,BajaCalif,2020,bus_hybriddiesel,0.14400000000
3,2037,BajaCalif,2020,bus_hybriddiesel,0.10800000000
3,2039,BajaCalif,2020,bus_hybriddiesel,0.03600000000
4,2030,BajaCalif,2020,cars_battery,1.28000000000
4,2031,BajaCalif,2020,cars_battery,1.15200000000
4,2032,BajaCalif,2020,cars_battery,1.02400000000
4,2034,BajaCalif,2020,cars_battery,0.76800000000
4,2035,BajaCalif,2020,cars_battery,0.64000000000
4,2036,BajaCalif,2020,cars_battery,0.51200000000
4,2037,BajaCalif,2020,cars_battery,0.38400000000
4,2039,BajaCalif,2020,cars_battery,0.12800000000
