asset,year,technology,region,installed,capacity
0,2045,agr_tec,BajaCalif,2035,26654.76460000000
0,2049,agr_tec,BajaCalif,2035,26654.76460000000
1,2050,agr_tec,BajaCalif,2045,40000.00000000000
1,2059,agr_tec,BajaCalif,2045,40000.00000000000
2,2045,agr_tec,BajaCalifSouth,2035,21708.71980000000
2,2049,agr_tec,BajaCalifSouth,2035,21708.71980000000
3,2050,agr_tec,BajaCalifSouth,2045,40000.00000000000
3,2059,agr_tec,BajaCalifSouth,2045,40000.00000000000
4,2045,agr_tec,Central,2035,30470.35250000000
4,2049,agr_tec,Central,2035,30470.35250000000
5,2050,agr_tec,Central,2045,40000.00000000000
5,2059,agr_tec,Central,2045,40000.00000000000
6,2045,agr_tec,Eastern,2035,40000.00000000000
6,2049,agr_tec,Eastern,2035,40000.00000000000
7,2050,agr_tec,Eastern,2045,40000.00000000000
7,2059,agr_tec,Eastern,2045,40000.00000000000
8,2045,agr_tec,North,2035,33416.17600000000
8,2049,agr_tec,North,2035,33416.17600000000
9,2050,agr_tec,North,2045,40000.00000000000
9,2059,agr_tec,North,2045,40000.00000000000
10,2045,agr_tec,Northeast,2035,40000.00000000000
10,2049,agr_tec,Northeast,2035,40000.00000000000
11,2050,agr_tec,Northeast,2045,40000.00000000000
11,2059,agr_tec,Northeast,2045,40000.00000000000
12,2045,agr_tec,Northwest,2035,37331.30100000000
12,2049,agr_tec,Northwest,2035,37331.30100000000
13,2050,agr_tec,Northwest,2045,40000.00000000000
13,2059,agr_tec,Northwest,2045,40000.00000000000
14,2045,agr_tec,Peninsular,2035,25417.26590000000
14,2049,agr_tec,Peninsular,2035,25417.26590000000
15,2050,agr_tec,Peninsular,2045,40000.00000000000
15,2059,agr_tec,Peninsular,2045,40000.00000000000
16,2045,agr_tec,Western,2035,40000.00000000000
16,2049,agr_tec,Western,2035,40000.00000000000
17,2050,agr_tec,Western,2045,40000.00000000000
17,2059,agr_tec,Western,2045,40000.00000000000
18,2045,agr_tec2,BajaCalif,2035,23327.38230000000
18,2049,agr_tec2,BajaCalif,2035,23327.38230000000
19,2050,agr_tec2,BajaCalif,2045,40000.00000000000
19,2059,agr_tec2,BajaCalif,2045,40000.00000000000
20,2045,agr_tec2,BajaCalifSouth,2035,20854.35990000000
20,2049,agr_tec2,BajaCalifSouth,2035,20854.35990000000
21,2050,agr_tec2,BajaCalifSouth,2045,40000.00000000000
21,2059,agr_tec2,BajaCalifSouth,2045,40000.00000000000
22,2045,agr_tec2,Central,2035,25235.17630000000
22,2049,agr_tec2,Central,2035,25235.17630000000
23,2050,agr_tec2,Central,2045,40000.00000000000
23,2059,agr_tec2,Central,2045,40000.00000000000
24,2045,agr_tec2,Eastern,2035,40000.00000000000
24,2049,agr_tec2,Eastern,2035,40000.00000000000
25,2050,agr_tec2,Eastern,2045,40000.00000000000
25,2059,agr_tec2,Eastern,2045,40000.00000000000
26,2045,agr_tec2,North,2035,26708.08800000000
26,2049,agr_tec2,North,2035,26708.08800000000
27,2050,agr_tec2,North,2045,40000.00000000000
27,2059,agr_tec2,North,2045,40000.00000000000
28,2045,agr_tec2,Northeast,2035,38787.62320000000
28,2049,agr_tec2,Northeast,2035,38787.62320000000
29,2050,agr_tec2,Northeast,2045,40000.00000000000
29,2059,agr_tec2,Northeast,2045,40000.00000000000
30,2045,agr_tec2,Northwest,2035,28665.65050000000
30,2049,agr_tec2,Northwest,2035,28665.65050000000
31,2050,agr_tec2,Northwest,2045,40000.00000000000
31,2059,agr_tec2,Northwest,2045,40000.00000000000
32,2045,agr_tec2,Peninsular,2035,22708.63300000000
32,2049,agr_tec2,Peninsular,2035,22708.63300000000
33,2050,agr_tec2,Peninsular,2045,40000.00000000000
33,2059,agr_tec2,Peninsular,2045,40000.00000000000
34,2045,agr_tec2,Western,2035,37783.36520000000
34,2049,agr_tec2,Western,2035,37783.36520000000
35,2050,agr_tec2,Western,2045,40000.00000000000
35,2059,agr_tec2,Western,2045,40000.00000000000
