timeslice,commodity,asset,year,installed,technology,month,day,hour,supply
0,fruits,1,2025,2020,agr_tec2,all-year,all-week,night,2.40500000000
0,fruits,1,2030,2020,agr_tec2,all-year,all-week,night,2.59000000000
0,fruits,3,2025,2020,agr_tec2,all-year,all-week,night,0.42140000000
0,fruits,3,2030,2020,agr_tec2,all-year,all-week,night,0.39790000000
0,fruits,5,2030,2025,agr_tec2,all-year,all-week,night,0.45380000000
0,fruits,7,2025,2020,agr_tec2,all-year,all-week,night,7.51830000000
0,fruits,7,2030,2020,agr_tec2,all-year,all-week,night,8.09670000000
0,fruits,9,2025,2020,agr_tec2,all-year,all-week,night,14.95000000000
0,fruits,9,2030,2020,agr_tec2,all-year,all-week,night,16.10000000000
0,fruits,11,2025,2020,agr_tec2,all-year,all-week,night,3.91080000000
0,fruits,11,2030,2020,agr_tec2,all-year,all-week,night,3.12420000000
0,fruits,13,2030,2025,agr_tec2,all-year,all-week,night,4.21170000000
0,fruits,15,2025,2020,agr_tec2,all-year,all-week,night,18.20000000000
0,fruits,15,2030,2020,agr_tec2,all-year,all-week,night,19.60000000000
0,fruits,17,2025,2020,agr_tec2,all-year,all-week,night,4.63670000000
0,fruits,17,2030,2020,agr_tec2,all-year,all-week,night,4.03590000000
0,fruits,19,2030,2025,agr_tec2,all-year,all-week,night,4.99330000000
0,fruits,21,2025,2020,agr_tec2,all-year,all-week,night,0.72260000000
0,fruits,21,2030,2020,agr_tec2,all-year,all-week,night,0.77820000000
0,fruits,23,2025,2020,agr_tec2,all-year,all-week,night,7.70250000000
0,fruits,23,2030,2020,agr_tec2,all-year,all-week,night,8.28230000000
0,fruits,25,2030,2025,agr_tec2,all-year,all-week,night,8.29500000000
0,livestock,0,2025,2020,agr_tec,all-year,all-week,night,0.04810000000
0,livestock,0,2030,2020,agr_tec,all-year,all-week,night,0.05180000000
0,livestock,2,2025,2020,agr_tec,all-year,all-week,night,0.00840000000
0,livestock,2,2030,2020,agr_tec,all-year,all-week,night,0.00910000000
0,livestock,4,2030,2025,agr_tec,all-year,all-week,night,0.00910000000
0,livestock,6,2025,2020,agr_tec,all-year,all-week,night,0.15060000000
0,livestock,6,2030,2020,agr_tec,all-year,all-week,night,0.16220000000
0,livestock,8,2025,2020,agr_tec,all-year,all-week,night,0.29900000000
0,livestock,8,2030,2020,agr_tec,all-year,all-week,night,0.32200000000
0,livestock,10,2025,2020,agr_tec,all-year,all-week,night,0.07820000000
0,livestock,10,2030,2020,agr_tec,all-year,all-week,night,0.08420000000
0,livestock,12,2030,2025,agr_tec,all-year,all-week,night,0.08420000000
0,livestock,14,2025,2020,agr_tec,all-year,all-week,night,0.36400000000
0,livestock,14,2030,2020,agr_tec,all-year,all-week,night,0.39200000000
0,livestock,16,2025,2020,agr_tec,all-year,all-week,night,0.09270000000
0,livestock,16,2030,2020,agr_tec,all-year,all-week,night,0.09990000000
0,livestock,18,2030,2025,agr_tec,all-year,all-week,night,0.09990000000
0,livestock,20,2025,2020,agr_tec,all-year,all-week,night,0.01440000000
0,livestock,20,2030,2020,agr_tec,all-year,all-week,night,0.01550000000
0,livestock,22,2025,2020,agr_tec,all-year,all-week,night,0.15380000000
0,livestock,22,2030,2020,agr_tec,all-year,all-week,night,0.16570000000
0,livestock,24,2030,2025,agr_tec,all-year,all-week,night,0.16570000000
1,fruits,1,2025,2020,agr_tec2,all-year,all-week,morning,2.40500000000
1,fruits,1,2030,2020,agr_tec2,all-year,all-week,morning,2.59000000000
1,fruits,3,2025,2020,agr_tec2,all-year,all-week,morning,0.42140000000
1,fruits,3,2030,2020,agr_tec2,all-year,all-week,morning,0.39790000000
1,fruits,5,2030,2025,agr_tec2,all-year,all-week,morning,0.45380000000
1,fruits,7,2025,2020,agr_tec2,all-year,all-week,morning,7.51830000000
1,fruits,7,2030,2020,agr_tec2,all-year,all-week,morning,8.09670000000
1,fruits,9,2025,2020,agr_tec2,all-year,all-week,morning,14.95000000000
1,fruits,9,2030,2020,agr_tec2,all-year,all-week,morning,16.10000000000
1,fruits,11,2025,2020,agr_tec2,all-year,all-week,morning,3.91080000000
1,fruits,11,2030,2020,agr_tec2,all-year,all-week,morning,3.12420000000
1,fruits,13,2030,2025,agr_tec2,all-year,all-week,morning,4.21170000000
1,fruits,15,2025,2020,agr_tec2,all-year,all-week,morning,18.20000000000
1,fruits,15,2030,2020,agr_tec2,all-year,all-week,morning,19.60000000000
1,fruits,17,2025,2020,agr_tec2,all-year,all-week,morning,4.63670000000
1,fruits,17,2030,2020,agr_tec2,all-year,all-week,morning,4.03590000000
1,fruits,19,2030,2025,agr_tec2,all-year,all-week,morning,4.99330000000
1,fruits,21,2025,2020,agr_tec2,all-year,all-week,morning,0.72260000000
1,fruits,21,2030,2020,agr_tec2,all-year,all-week,morning,0.77820000000
1,fruits,23,2025,2020,agr_tec2,all-year,all-week,morning,7.70250000000
1,fruits,23,2030,2020,agr_tec2,all-year,all-week,morning,8.28230000000
1,fruits,25,2030,2025,agr_tec2,all-year,all-week,morning,8.29500000000
1,livestock,0,2025,2020,agr_tec,all-year,all-week,morning,0.04810000000
1,livestock,0,2030,2020,agr_tec,all-year,all-week,morning,0.05180000000
1,livestock,2,2025,2020,agr_tec,all-year,all-week,morning,0.00840000000
1,livestock,2,2030,2020,agr_tec,all-year,all-week,morning,0.00910000000
1,livestock,4,2030,2025,agr_tec,all-year,all-week,morning,0.00910000000
1,livestock,6,2025,2020,agr_tec,all-year,all-week,morning,0.15060000000
1,livestock,6,2030,2020,agr_tec,all-year,all-week,morning,0.16220000000
1,livestock,8,2025,2020,agr_tec,all-year,all-week,morning,0.29900000000
1,livestock,8,2030,2020,agr_tec,all-year,all-week,morning,0.32200000000
1,livestock,10,2025,2020,agr_tec,all-year,all-week,morning,0.07820000000
1,livestock,10,2030,2020,agr_tec,all-year,all-week,morning,0.08420000000
1,livestock,12,2030,2025,agr_tec,all-year,all-week,morning,0.08420000000
1,livestock,14,2025,2020,agr_tec,all-year,all-week,morning,0.36400000000
1,livestock,14,2030,2020,agr_tec,all-year,all-week,morning,0.39200000000
1,livestock,16,2025,2020,agr_tec,all-year,all-week,morning,0.09270000000
1,livestock,16,2030,2020,agr_tec,all-year,all-week,morning,0.09990000000
1,livestock,18,2030,2025,agr_tec,all-year,all-week,morning,0.09990000000
1,livestock,20,2025,2020,agr_tec,all-year,all-week,morning,0.01440000000
1,livestock,20,2030,2020,agr_tec,all-year,all-week,morning,0.01550000000
1,livestock,22,2025,2020,agr_tec,all-year,all-week,morning,0.15380000000
1,livestock,22,2030,2020,agr_tec,all-year,all-week,morning,0.16570000000
1,livestock,24,2030,2025,agr_tec,all-year,all-week,morning,0.16570000000
2,fruits,1,2025,2020,agr_tec2,all-year,all-week,afternoon,2.40500000000
2,fruits,1,2030,2020,agr_tec2,all-year,all-week,afternoon,2.59000000000
2,fruits,3,2025,2020,agr_tec2,all-year,all-week,afternoon,0.42140000000
2,fruits,3,2030,2020,agr_tec2,all-year,all-week,afternoon,0.39790000000
2,fruits,5,2030,2025,agr_tec2,all-year,all-week,afternoon,0.45380000000
2,fruits,7,2025,2020,agr_tec2,all-year,all-week,afternoon,7.51830000000
2,fruits,7,2030,2020,agr_tec2,all-year,all-week,afternoon,8.09670000000
2,fruits,9,2025,2020,agr_tec2,all-year,all-week,afternoon,14.95000000000
2,fruits,9,2030,2020,agr_tec2,all-year,all-week,afternoon,16.10000000000
2,fruits,11,2025,2020,agr_tec2,all-year,all-week,afternoon,3.91080000000
2,fruits,11,2030,2020,agr_tec2,all-year,all-week,afternoon,3.12420000000
2,fruits,13,2030,2025,agr_tec2,all-year,all-week,afternoon,4.21170000000
2,fruits,15,2025,2020,agr_tec2,all-year,all-week,afternoon,18.20000000000
2,fruits,15,2030,2020,agr_tec2,all-year,all-week,afternoon,19.60000000000
2,fruits,17,2025,2020,agr_tec2,all-year,all-week,afternoon,4.63670000000
2,fruits,17,2030,2020,agr_tec2,all-year,all-week,afternoon,4.03590000000
2,fruits,19,2030,2025,agr_tec2,all-year,all-week,afternoon,4.99330000000
2,fruits,21,2025,2020,agr_tec2,all-year,all-week,afternoon,0.72260000000
2,fruits,21,2030,2020,agr_tec2,all-year,all-week,afternoon,0.77820000000
2,fruits,23,2025,2020,agr_tec2,all-year,all-week,afternoon,7.70250000000
2,fruits,23,2030,2020,agr_tec2,all-year,all-week,afternoon,8.28230000000
2,fruits,25,2030,2025,agr_tec2,all-year,all-week,afternoon,8.29500000000
2,livestock,0,2025,2020,agr_tec,all-year,all-week,afternoon,0.04810000000
2,livestock,0,2030,2020,agr_tec,all-year,all-week,afternoon,0.05180000000
2,livestock,2,2025,2020,agr_tec,all-year,all-week,afternoon,0.00840000000
2,livestock,2,2030,2020,agr_tec,all-year,all-week,afternoon,0.00910000000
2,livestock,4,2030,2025,agr_tec,all-year,all-week,afternoon,0.00910000000
2,livestock,6,2025,2020,agr_tec,all-year,all-week,afternoon,0.15060000000
2,livestock,6,2030,2020,agr_tec,all-year,all-week,afternoon,0.16220000000
2,livestock,8,2025,2020,agr_tec,all-year,all-week,afternoon,0.29900000000
2,livestock,8,2030,2020,agr_tec,all-year,all-week,afternoon,0.32200000000
2,livestock,10,2025,2020,agr_tec,all-year,all-week,afternoon,0.07820000000
2,livestock,10,2030,2020,agr_tec,all-year,all-week,afternoon,0.08420000000
2,livestock,12,2030,2025,agr_tec,all-year,all-week,afternoon,0.08420000000
2,livestock,14,2025,2020,agr_tec,all-year,all-week,afternoon,0.36400000000
2,livestock,14,2030,2020,agr_tec,all-year,all-week,afternoon,0.39200000000
2,livestock,16,2025,2020,agr_tec,all-year,all-week,afternoon,0.09270000000
2,livestock,16,2030,2020,agr_tec,all-year,all-week,afternoon,0.09990000000
2,livestock,18,2030,2025,agr_tec,all-year,all-week,afternoon,0.09990000000
2,livestock,20,2025,2020,agr_tec,all-year,all-week,afternoon,0.01440000000
2,livestock,20,2030,2020,agr_tec,all-year,all-week,afternoon,0.01550000000
2,livestock,22,2025,2020,agr_tec,all-year,all-week,afternoon,0.15380000000
2,livestock,22,2030,2020,agr_tec,all-year,all-week,afternoon,0.16570000000
2,livestock,24,2030,2025,agr_tec,all-year,all-week,afternoon,0.16570000000
3,fruits,1,2025,2020,agr_tec2,all-year,all-week,early-peak,2.40500000000
3,fruits,1,2030,2020,agr_tec2,all-year,all-week,early-peak,2.59000000000
3,fruits,3,2025,2020,agr_tec2,all-year,all-week,early-peak,0.42140000000
3,fruits,3,2030,2020,agr_tec2,all-year,all-week,early-peak,0.39790000000
3,fruits,5,2030,2025,agr_tec2,all-year,all-week,early-peak,0.45380000000
3,fruits,7,2025,2020,agr_tec2,all-year,all-week,early-peak,7.51830000000
3,fruits,7,2030,2020,agr_tec2,all-year,all-week,early-peak,8.09670000000
3,fruits,9,2025,2020,agr_tec2,all-year,all-week,early-peak,14.95000000000
3,fruits,9,2030,2020,agr_tec2,all-year,all-week,early-peak,16.10000000000
3,fruits,11,2025,2020,agr_tec2,all-year,all-week,early-peak,3.91080000000
3,fruits,11,2030,2020,agr_tec2,all-year,all-week,early-peak,3.12420000000
3,fruits,13,2030,2025,agr_tec2,all-year,all-week,early-peak,4.21170000000
3,fruits,15,2025,2020,agr_tec2,all-year,all-week,early-peak,18.20000000000
3,fruits,15,2030,2020,agr_tec2,all-year,all-week,early-peak,19.60000000000
3,fruits,17,2025,2020,agr_tec2,all-year,all-week,early-peak,4.63670000000
3,fruits,17,2030,2020,agr_tec2,all-year,all-week,early-peak,4.03590000000
3,fruits,19,2030,2025,agr_tec2,all-year,all-week,early-peak,4.99330000000
3,fruits,21,2025,2020,agr_tec2,all-year,all-week,early-peak,0.72260000000
