timeslice,commodity,asset,year,technology,installed,month,day,hour,supply
0,fruits,18,2030,agr_tec2,2020,all-year,all-week,night,2.59000000000
0,fruits,18,2035,agr_tec2,2020,all-year,all-week,night,0.77480000000
0,fruits,19,2035,agr_tec2,2030,all-year,all-week,night,2.77500000000
0,fruits,20,2030,agr_tec2,2020,all-year,all-week,night,0.39790000000
0,fruits,20,2035,agr_tec2,2020,all-year,all-week,night,0.19900000000
0,fruits,21,2030,agr_tec2,2025,all-year,all-week,night,0.45380000000
0,fruits,21,2035,agr_tec2,2025,all-year,all-week,night,0.48620000000
0,fruits,22,2030,agr_tec2,2020,all-year,all-week,night,8.09670000000
0,fruits,22,2035,agr_tec2,2020,all-year,all-week,night,1.21910000000
0,fruits,23,2035,agr_tec2,2030,all-year,all-week,night,8.67500000000
0,fruits,24,2030,agr_tec2,2020,all-year,all-week,night,16.10000000000
0,fruits,24,2035,agr_tec2,2020,all-year,all-week,night,4.74480000000
0,fruits,25,2035,agr_tec2,2030,all-year,all-week,night,17.25000000000
0,fruits,26,2030,agr_tec2,2020,all-year,all-week,night,3.12420000000
0,fruits,26,2035,agr_tec2,2020,all-year,all-week,night,1.56210000000
0,fruits,27,2030,agr_tec2,2025,all-year,all-week,night,4.21170000000
0,fruits,27,2035,agr_tec2,2025,all-year,all-week,night,4.51250000000
0,fruits,28,2030,agr_tec2,2020,all-year,all-week,night,19.60000000000
0,fruits,28,2035,agr_tec2,2020,all-year,all-week,night,4.37500000000
0,fruits,29,2035,agr_tec2,2030,all-year,all-week,night,21.00000000000
0,fruits,30,2030,agr_tec2,2020,all-year,all-week,night,4.03590000000
0,fruits,30,2035,agr_tec2,2020,all-year,all-week,night,2.01790000000
0,fruits,31,2030,agr_tec2,2025,all-year,all-week,night,4.99330000000
0,fruits,31,2035,agr_tec2,2025,all-year,all-week,night,5.35000000000
0,fruits,32,2030,agr_tec2,2020,all-year,all-week,night,0.77820000000
0,fruits,32,2035,agr_tec2,2020,all-year,all-week,night,0.63080000000
0,fruits,33,2035,agr_tec2,2030,all-year,all-week,night,0.83380000000
0,fruits,34,2030,agr_tec2,2020,all-year,all-week,night,8.28230000000
0,fruits,34,2035,agr_tec2,2020,all-year,all-week,night,4.14120000000
0,fruits,35,2030,agr_tec2,2025,all-year,all-week,night,8.29500000000
0,fruits,35,2035,agr_tec2,2025,all-year,all-week,night,8.88750000000
0,livestock,0,2030,agr_tec,2020,all-year,all-week,night,0.05180000000
0,livestock,0,2035,agr_tec,2020,all-year,all-week,night,0.05550000000
0,livestock,1,2035,agr_tec,2030,all-year,all-week,night,0.05550000000
0,livestock,2,2030,agr_tec,2020,all-year,all-week,night,0.00910000000
0,livestock,2,2035,agr_tec,2020,all-year,all-week,night,0.00970000000
0,livestock,3,2030,agr_tec,2025,all-year,all-week,night,0.00910000000
0,livestock,3,2035,agr_tec,2025,all-year,all-week,night,0.00970000000
0,livestock,4,2030,agr_tec,2020,all-year,all-week,night,0.16220000000
0,livestock,4,2035,agr_tec,2020,all-year,all-week,night,0.17380000000
0,livestock,5,2035,agr_tec,2030,all-year,all-week,night,0.17380000000
0,livestock,6,2030,agr_tec,2020,all-year,all-week,night,0.32200000000
0,livestock,6,2035,agr_tec,2020,all-year,all-week,night,0.34500000000
0,livestock,7,2035,agr_tec,2030,all-year,all-week,night,0.34500000000
0,livestock,8,2030,agr_tec,2020,all-year,all-week,night,0.08420000000
0,livestock,8,2035,agr_tec,2020,all-year,all-week,night,0.09020000000
0,livestock,9,2030,agr_tec,2025,all-year,all-week,night,0.08420000000
0,livestock,9,2035,agr_tec,2025,all-year,all-week,night,0.09020000000
0,livestock,10,2030,agr_tec,2020,all-year,all-week,night,0.39200000000
0,livestock,10,2035,agr_tec,2020,all-year,all-week,night,0.42000000000
0,livestock,11,2035,agr_tec,2030,all-year,all-week,night,0.42000000000
0,livestock,12,2030,agr_tec,2020,all-year,all-week,night,0.09990000000
0,livestock,12,2035,agr_tec,2020,all-year,all-week,night,0.10700000000
0,livestock,13,2030,agr_tec,2025,all-year,all-week,night,0.09990000000
0,livestock,13,2035,agr_tec,2025,all-year,all-week,night,0.10700000000
0,livestock,14,2030,agr_tec,2020,all-year,all-week,night,0.01550000000
0,livestock,14,2035,agr_tec,2020,all-year,all-week,night,0.01660000000
0,livestock,15,2035,agr_tec,2030,all-year,all-week,night,0.01660000000
0,livestock,16,2030,agr_tec,2020,all-year,all-week,night,0.16570000000
0,livestock,16,2035,agr_tec,2020,all-year,all-week,night,0.17750000000
0,livestock,17,2030,agr_tec,2025,all-year,all-week,night,0.16570000000
0,livestock,17,2035,agr_tec,2025,all-year,all-week,night,0.17750000000
1,fruits,18,2030,agr_tec2,2020,all-year,all-week,morning,2.59000000000
1,fruits,18,2035,agr_tec2,2020,all-year,all-week,morning,0.77480000000
