timeslice,commodity,asset,year,installed,technology,month,day,hour,supply
0,cement,2,2050,2045,indr_tec,all-year,all-week,night,9.99000000000
0,cement,2,2055,2045,indr_tec,all-year,all-week,night,9.99000000000
0,cement,3,2050,2045,indr_tec2,all-year,all-week,night,9.99000000000
0,cement,3,2055,2045,indr_tec2,all-year,all-week,night,9.99000000000
0,cement,6,2050,2040,indr_tec,all-year,all-week,night,1.75050000000
0,cement,7,2050,2040,indr_tec2,all-year,all-week,night,1.75050000000
0,cement,8,2055,2050,indr_tec,all-year,all-week,night,1.75050000000
0,cement,9,2055,2050,indr_tec2,all-year,all-week,night,1.75050000000
0,cement,12,2050,2040,indr_tec,all-year,all-week,night,31.26000000000
0,cement,13,2050,2040,indr_tec2,all-year,all-week,night,31.26000000000
0,cement,14,2055,2050,indr_tec,all-year,all-week,night,31.26000000000
0,cement,15,2055,2050,indr_tec2,all-year,all-week,night,31.26000000000
0,cement,18,2050,2045,indr_tec,all-year,all-week,night,62.10000000000
0,cement,18,2055,2045,indr_tec,all-year,all-week,night,62.10000000000
0,cement,19,2050,2045,indr_tec2,all-year,all-week,night,62.10000000000
0,cement,19,2055,2045,indr_tec2,all-year,all-week,night,62.10000000000
0,cement,22,2050,2040,indr_tec,all-year,all-week,night,16.24500000000
0,cement,23,2050,2040,indr_tec2,all-year,all-week,night,16.24500000000
0,cement,24,2055,2050,indr_tec,all-year,all-week,night,16.24500000000
0,cement,25,2055,2050,indr_tec2,all-year,all-week,night,16.24500000000
0,cement,28,2050,2045,indr_tec,all-year,all-week,night,75.60000000000
0,cement,28,2055,2045,indr_tec,all-year,all-week,night,75.60000000000
0,cement,29,2050,2045,indr_tec2,all-year,all-week,night,75.60000000000
0,cement,29,2055,2045,indr_tec2,all-year,all-week,night,75.60000000000
0,cement,32,2050,2040,indr_tec,all-year,all-week,night,19.26000000000
0,cement,33,2050,2040,indr_tec2,all-year,all-week,night,19.26000000000
0,cement,34,2055,2050,indr_tec,all-year,all-week,night,19.26000000000
0,cement,35,2055,2050,indr_tec2,all-year,all-week,night,19.26000000000
0,cement,38,2050,2045,indr_tec,all-year,all-week,night,2.99550000000
0,cement,38,2055,2045,indr_tec,all-year,all-week,night,2.99550000000
0,cement,39,2050,2045,indr_tec2,all-year,all-week,night,2.99550000000
0,cement,39,2055,2045,indr_tec2,all-year,all-week,night,2.99550000000
0,cement,42,2050,2040,indr_tec,all-year,all-week,night,31.96500000000
0,cement,43,2050,2040,indr_tec2,all-year,all-week,night,31.96500000000
0,cement,44,2055,2050,indr_tec,all-year,all-week,night,31.96500000000
0,cement,45,2055,2050,indr_tec2,all-year,all-week,night,31.96500000000
1,cement,2,2050,2045,indr_tec,all-year,all-week,morning,9.99000000000
1,cement,2,2055,2045,indr_tec,all-year,all-week,morning,9.99000000000
1,cement,3,2050,2045,indr_tec2,all-year,all-week,morning,9.99000000000
1,cement,3,2055,2045,indr_tec2,all-year,all-week,morning,9.99000000000
1,cement,6,2050,2040,indr_tec,all-year,all-week,morning,1.75050000000
1,cement,7,2050,2040,indr_tec2,all-year,all-week,morning,1.75050000000
1,cement,8,2055,2050,indr_tec,all-year,all-week,morning,1.75050000000
1,cement,9,2055,2050,indr_tec2,all-year,all-week,morning,1.75050000000
1,cement,12,2050,2040,indr_tec,all-year,all-week,morning,31.26000000000
1,cement,13,2050,2040,indr_tec2,all-year,all-week,morning,31.26000000000
1,cement,14,2055,2050,indr_tec,all-year,all-week,morning,31.26000000000
1,cement,15,2055,2050,indr_tec2,all-year,all-week,morning,31.26000000000
1,cement,18,2050,2045,indr_tec,all-year,all-week,morning,62.10000000000
1,cement,18,2055,2045,indr_tec,all-year,all-week,morning,62.10000000000
1,cement,19,2050,2045,indr_tec2,all-year,all-week,morning,62.10000000000
