timeslice,commodity,asset,year,dst_region,technology,installed,month,day,hour,supply
0,electricity,0,2025,BajaCalif,GAS_GT,2020,all-year,all-week,night,15.95800000000
0,electricity,0,2030,BajaCalif,GAS_GT,2020,all-year,all-week,night,11.96850000000
0,electricity,1,2025,BajaCalif,GEOTH,2020,all-year,all-week,night,3.83160000000
0,electricity,1,2030,BajaCalif,GEOTH,2020,all-year,all-week,night,2.87370000000
0,electricity,2,2025,BajaCalif,OIL,2020,all-year,all-week,night,0.01260000000
0,electricity,2,2030,BajaCalif,OIL,2020,all-year,all-week,night,0.00950000000
0,electricity,3,2025,BajaCalif,PV_GND,2020,all-year,all-week,night,0.00720000000
0,electricity,3,2030,BajaCalif,PV_GND,2020,all-year,all-week,night,0.00540000000
0,electricity,4,2025,BajaCalif,WIND_ON,2020,all-year,all-week,night,0.01580000000
0,electricity,4,2030,BajaCalif,WIND_ON,2020,all-year,all-week,night,0.01180000000
0,electricity,5,2025,BajaCalifSouth,GAS_GT,2020,all-year,all-week,night,0.80180000000
0,electricity,5,2030,BajaCalifSouth,GAS_GT,2020,all-year,all-week,night,0.60140000000
0,electricity,6,2025,BajaCalifSouth,OIL,2020,all-year,all-week,night,2.99590000000
0,electricity,6,2030,BajaCalifSouth,OIL,2020,all-year,all-week,night,2.24690000000
0,electricity,7,2025,BajaCalifSouth,PV_GND,2020,all-year,all-week,night,0.08510000000
0,electricity,7,2030,BajaCalifSouth,PV_GND,2020,all-year,all-week,night,0.06380000000
0,electricity,9,2025,BajaCalifSouth,WIND_ON,2020,all-year,all-week,night,0.07880000000
0,electricity,9,2030,BajaCalifSouth,WIND_ON,2020,all-year,all-week,night,0.05910000000
0,electricity,10,2025,Central,BIO,2020,all-year,all-week,night,0.00390000000
0,electricity,10,2030,Central,BIO,2020,all-year,all-week,night,0.00300000000
0,electricity,11,2025,Central,GAS_GT,2020,all-year,all-week,night,29.63830000000
0,electricity,11,2025,Eastern,GAS_GT,2020,all-year,all-week,night,8.03080000000
0,electricity,11,2025,Western,GAS_GT,2020,all-year,all-week,night,9.60030000000
0,electricity,11,2030,Central,GAS_GT,2020,all-year,all-week,night,22.22870000000
0,electricity,11,2030,Eastern,GAS_GT,2020,all-year,all-week,night,6.02310000000
0,electricity,11,2030,Western,GAS_GT,2020,all-year,all-week,night,7.20030000000
0,electricity,13,2025,Central,HYD,2020,all-year,all-week,night,0.57470000000
0,electricity,13,2030,Central,HYD,2020,all-year,all-week,night,0.43110000000
0,electricity,14,2025,Central,OIL,2020,all-year,all-week,night,0.87040000000
0,electricity,14,2030,Central,OIL,2020,all-year,all-week,night,0.65280000000
0,electricity,15,2025,Central,PV_GND,2020,all-year,all-week,night,0.02150000000
0,electricity,15,2030,Central,PV_GND,2020,all-year,all-week,night,0.01610000000
0,electricity,16,2025,Eastern,BIO,2020,all-year,all-week,night,0.65040000000
0,electricity,16,2030,Eastern,BIO,2020,all-year,all-week,night,0.48780000000
0,electricity,17,2025,Eastern,GAS_GT,2020,all-year,all-week,night,32.12320000000
0,electricity,17,2025,Peninsular,GAS_GT,2020,all-year,all-week,night,6.27610000000
0,electricity,17,2030,Eastern,GAS_GT,2020,all-year,all-week,night,24.09240000000
0,electricity,17,2030,Peninsular,GAS_GT,2020,all-year,all-week,night,4.70700000000
0,electricity,18,2025,Eastern,HYD,2020,all-year,all-week,night,47.47670000000
0,electricity,18,2030,Eastern,HYD,2020,all-year,all-week,night,35.60750000000
0,electricity,19,2025,Eastern,NUCL,2020,all-year,all-week,night,11.49490000000
0,electricity,19,2030,Eastern,NUCL,2020,all-year,all-week,night,8.62120000000
0,electricity,20,2025,Eastern,OIL,2020,all-year,all-week,night,1.84170000000
0,electricity,20,2030,Eastern,OIL,2020,all-year,all-week,night,1.38130000000
0,electricity,21,2025,Eastern,WIND_ON,2020,all-year,all-week,night,4.36460000000
0,electricity,21,2030,Eastern,WIND_ON,2020,all-year,all-week,night,3.27340000000
0,electricity,23,2025,North,BIO,2020,all-year,all-week,night,0.03550000000
0,electricity,23,2030,North,BIO,2020,all-year,all-week,night,0.02660000000
0,electricity,24,2025,North,GAS_GT,2020,all-year,all-week,night,31.03620000000
0,electricity,24,2030,North,GAS_GT,2020,all-year,all-week,night,23.27710000000
0,electricity,25,2025,North,HYD,2020,all-year,all-week,night,0.19870000000
0,electricity,25,2030,North,HYD,2020,all-year,all-week,night,0.14900000000
0,electricity,27,2025,North,OIL,2020,all-year,all-week,night,0.72530000000
0,electricity,27,2030,North,OIL,2020,all-year,all-week,night,0.54400000000
0,electricity,28,2025,North,PV_GND,2020,all-year,all-week,night,1.16330000000
0,electricity,28,2030,North,PV_GND,2020,all-year,all-week,night,0.87250000000
0,electricity,29,2025,Northeast,BIO,2020,all-year,all-week,night,0.07490000000
0,electricity,29,2030,Northeast,BIO,2020,all-year,all-week,night,0.05620000000
0,electricity,30,2025,Northeast,COAL,2020,all-year,all-week,night,7.28480000000
0,electricity,30,2030,Northeast,COAL,2020,all-year,all-week,night,5.46360000000
0,electricity,31,2025,Northeast,GAS_GT,2020,all-year,all-week,night,101.88570000000
0,electricity,31,2030,Northeast,GAS_GT,2020,all-year,all-week,night,76.41430000000
0,electricity,33,2025,Northeast,HYD,2020,all-year,all-week,night,0.83730000000
0,electricity,33,2030,Northeast,HYD,2020,all-year,all-week,night,0.62800000000
0,electricity,35,2025,Northeast,OIL,2020,all-year,all-week,night,1.41280000000
0,electricity,35,2030,Northeast,OIL,2020,all-year,all-week,night,1.05960000000
0,electricity,36,2025,Northeast,PV_GND,2020,all-year,all-week,night,0.47560000000
0,electricity,36,2030,Northeast,PV_GND,2020,all-year,all-week,night,0.35670000000
0,electricity,37,2025,Northeast,WIND_ON,2020,all-year,all-week,night,3.97670000000
0,electricity,37,2030,Northeast,WIND_ON,2020,all-year,all-week,night,2.98250000000
0,electricity,39,2025,Northwest,GAS_GT,2020,all-year,all-week,night,33.14500000000
0,electricity,39,2025,North,GAS_GT,2020,all-year,all-week,night,9.31080000000
0,electricity,39,2030,Northwest,GAS_GT,2020,all-year,all-week,night,24.85870000000
0,electricity,39,2030,North,GAS_GT,2020,all-year,all-week,night,6.98310000000
0,electricity,40,2025,Northwest,HYD,2020,all-year,all-week,night,6.81180000000
0,electricity,40,2030,Northwest,HYD,2020,all-year,all-week,night,5.10880000000
0,electricity,41,2025,Northwest,OIL,2020,all-year,all-week,night,0.35320000000
0,electricity,41,2030,Northwest,OIL,2020,all-year,all-week,night,0.26490000000
0,electricity,42,2025,Northwest,PV_GND,2020,all-year,all-week,night,0.46740000000
0,electricity,42,2030,Northwest,PV_GND,2020,all-year,all-week,night,0.35050000000
0,electricity,43,2025,Northwest,WIND_ON,2020,all-year,all-week,night,0.00320000000
0,electricity,43,2030,Northwest,WIND_ON,2020,all-year,all-week,night,0.00240000000
0,electricity,44,2025,Peninsular,GAS_GT,2020,all-year,all-week,night,6.27610000000
0,electricity,44,2030,Peninsular,GAS_GT,2020,all-year,all-week,night,4.70700000000
0,electricity,45,2025,Peninsular,OIL,2020,all-year,all-week,night,0.10090000000
0,electricity,45,2030,Peninsular,OIL,2020,all-year,all-week,night,0.07570000000
0,electricity,46,2025,Peninsular,PV_GND,2020,all-year,all-week,night,0.71330000000
0,electricity,46,2030,Peninsular,PV_GND,2020,all-year,all-week,night,0.53500000000
0,electricity,47,2025,Peninsular,PV_RFT,2020,all-year,all-week,night,0.00610000000
0,electricity,47,2030,Peninsular,PV_RFT,2020,all-year,all-week,night,0.00460000000
0,electricity,48,2025,Peninsular,WIND_ON,2020,all-year,all-week,night,0.40370000000
0,electricity,48,2030,Peninsular,WIND_ON,2020,all-year,all-week,night,0.30270000000
0,electricity,49,2025,Western,BIO,2020,all-year,all-week,night,0.15770000000
0,electricity,49,2030,Western,BIO,2020,all-year,all-week,night,0.11830000000
0,electricity,51,2025,Western,COAL,2020,all-year,all-week,night,18.48800000000
0,electricity,51,2030,Western,COAL,2020,all-year,all-week,night,13.86600000000
0,electricity,53,2025,Western,GAS_GT,2020,all-year,all-week,night,38.40140000000
0,electricity,53,2025,Northwest,GAS_GT,2020,all-year,all-week,night,8.28620000000
0,electricity,53,2030,Western,GAS_GT,2020,all-year,all-week,night,28.80100000000
0,electricity,53,2030,Northwest,GAS_GT,2020,all-year,all-week,night,6.21470000000
0,electricity,55,2025,Western,GEOTH,2020,all-year,all-week,night,2.23510000000
