asset,year,region,installed,technology,capacity
0,2025,BajaCalif,2020,bus_battery,1000.70140000000
0,2030,BajaCalif,2020,bus_battery,1000.70100000000
0,2031,BajaCalif,2020,bus_battery,1000.70100000000
0,2032,BajaCalif,2020,bus_battery,1000.70090000000
0,2034,BajaCalif,2020,bus_battery,1000.70080000000
0,2035,BajaCalif,2020,bus_battery,1000.70070000000
0,2036,BajaCalif,2020,bus_battery,1000.70060000000
0,2037,BajaCalif,2020,bus_battery,1000.70060000000
0,2039,BajaCalif,2020,bus_battery,1000.70040000000
1,2025,BajaCalif,2020,bus_cng,1000.70140000000
1,2030,BajaCalif,2020,bus_cng,1000.70100000000
1,2031,BajaCalif,2020,bus_cng,1000.70100000000
1,2032,BajaCalif,2020,bus_cng,1000.70090000000
1,2034,BajaCalif,2020,bus_cng,1000.70080000000
1,2035,BajaCalif,2020,bus_cng,1000.70070000000
1,2036,BajaCalif,2020,bus_cng,1000.70060000000
1,2037,BajaCalif,2020,bus_cng,1000.70060000000
1,2039,BajaCalif,2020,bus_cng,1000.70040000000
2,2025,BajaCalif,2020,bus_diesel,1005.53100000000
2,2030,BajaCalif,2020,bus_diesel,1005.52830000000
2,2031,BajaCalif,2020,bus_diesel,1005.52770000000
2,2032,BajaCalif,2020,bus_diesel,1005.52720000000
2,2034,BajaCalif,2020,bus_diesel,1005.52610000000
2,2035,BajaCalif,2020,bus_diesel,1005.52550000000
2,2036,BajaCalif,2020,bus_diesel,1005.52500000000
2,2037,BajaCalif,2020,bus_diesel,1005.52440000000
2,2039,BajaCalif,2020,bus_diesel,1005.52330000000
3,2025,BajaCalif,2020,bus_hybriddiesel,1000.70140000000
3,2030,BajaCalif,2020,bus_hybriddiesel,1000.70100000000
3,2031,BajaCalif,2020,bus_hybriddiesel,1000.70100000000
3,2032,BajaCalif,2020,bus_hybriddiesel,1000.70090000000
3,2034,BajaCalif,2020,bus_hybriddiesel,1000.70080000000
3,2035,BajaCalif,2020,bus_hybriddiesel,1000.70070000000
3,2036,BajaCalif,2020,bus_hybriddiesel,1000.70060000000
3,2037,BajaCalif,2020,bus_hybriddiesel,1000.70060000000
3,2039,BajaCalif,2020,bus_hybriddiesel,1000.70040000000
4,2025,BajaCalif,2020,bus_hybridhydrogenfc,2000.00000000000
4,2030,BajaCalif,2020,bus_hybridhydrogenfc,2000.00000000000
4,2031,BajaCalif,2020,bus_hybridhydrogenfc,2000.00000000000
4,2032,BajaCalif,2020,bus_hybridhydrogenfc,2000.00000000000
4,2034,BajaCalif,2020,bus_hybridhydrogenfc,2000.00000000000
4,2035,BajaCalif,2020,bus_hybridhydrogenfc,2000.00000000000
4,2036,BajaCalif,2020,bus_hybridhydrogenfc,2000.00000000000
4,2037,BajaCalif,2020,bus_hybridhydrogenfc,2000.00000000000
4,2039,BajaCalif,2020,bus_hybridhydrogenfc,2000.00000000000
5,2025,BajaCalif,2020,cars_battery,0.00380000000
5,2030,BajaCalif,2020,cars_battery,0.00260000000
5,2031,BajaCalif,2020,cars_battery,0.00230000000
5,2032,BajaCalif,2020,cars_battery,0.00200000000
5,2034,BajaCalif,2020,cars_battery,0.00150000000
5,2035,BajaCalif,2020,cars_battery,0.00130000000
5,2036,BajaCalif,2020,cars_battery,0.00100000000
5,2037,BajaCalif,2020,cars_battery,0.00080000000
5,2039,BajaCalif,2020,cars_battery,0.00030000000
6,2025,BajaCalif,2020,cars_diesel,0.01160000000
6,2030,BajaCalif,2020,cars_diesel,0.00770000000
6,2031,BajaCalif,2020,cars_diesel,0.00690000000
6,2032,BajaCalif,2020,cars_diesel,0.00620000000
6,2034,BajaCalif,2020,cars_diesel,0.00460000000
6,2035,BajaCalif,2020,cars_diesel,0.00380000000
6,2036,BajaCalif,2020,cars_diesel,0.00310000000
6,2037,BajaCalif,2020,cars_diesel,0.00230000000
6,2039,BajaCalif,2020,cars_diesel,0.00080000000
7,2025,BajaCalif,2020,cars_hybriddiesel,0.00190000000
7,2030,BajaCalif,2020,cars_hybriddiesel,0.00130000000
7,2031,BajaCalif,2020,cars_hybriddiesel,0.00120000000
7,2032,BajaCalif,2020,cars_hybriddiesel,0.00100000000
7,2034,BajaCalif,2020,cars_hybriddiesel,0.00080000000
7,2035,BajaCalif,2020,cars_hybriddiesel,0.00060000000
7,2036,BajaCalif,2020,cars_hybriddiesel,0.00050000000
7,2037,BajaCalif,2020,cars_hybriddiesel,0.00040000000
7,2039,BajaCalif,2020,cars_hybriddiesel,0.00010000000
8,2025,BajaCalif,2020,cars_hybridpetrol,0.00380000000
8,2030,BajaCalif,2020,cars_hybridpetrol,0.00260000000
8,2031,BajaCalif,2020,cars_hybridpetrol,0.00230000000
8,2032,BajaCalif,2020,cars_hybridpetrol,0.00200000000
8,2034,BajaCalif,2020,cars_hybridpetrol,0.00150000000
8,2035,BajaCalif,2020,cars_hybridpetrol,0.00130000000
8,2036,BajaCalif,2020,cars_hybridpetrol,0.00100000000
8,2037,BajaCalif,2020,cars_hybridpetrol,0.00080000000
8,2039,BajaCalif,2020,cars_hybridpetrol,0.00030000000
9,2025,BajaCalif,2020,cars_lpg,0.00100000000
9,2030,BajaCalif,2020,cars_lpg,0.00060000000
9,2031,BajaCalif,2020,cars_lpg,0.00060000000
9,2032,BajaCalif,2020,cars_lpg,0.00050000000
9,2034,BajaCalif,2020,cars_lpg,0.00040000000
9,2035,BajaCalif,2020,cars_lpg,0.00030000000
9,2036,BajaCalif,2020,cars_lpg,0.00030000000
9,2037,BajaCalif,2020,cars_lpg,0.00020000000
9,2039,BajaCalif,2020,cars_lpg,0.00010000000
10,2025,BajaCalif,2020,cars_petrol,0.16760000000
10,2030,BajaCalif,2020,cars_petrol,0.11180000000
10,2031,BajaCalif,2020,cars_petrol,0.10060000000
10,2032,BajaCalif,2020,cars_petrol,0.08940000000
10,2034,BajaCalif,2020,cars_petrol,0.06710000000
10,2035,BajaCalif,2020,cars_petrol,0.05590000000
10,2036,BajaCalif,2020,cars_petrol,0.04470000000
10,2037,BajaCalif,2020,cars_petrol,0.03350000000
10,2039,BajaCalif,2020,cars_petrol,0.01120000000
11,2025,BajaCalif,2020,cars_pluginhybriddiesel,0.00190000000
11,2030,BajaCalif,2020,cars_pluginhybriddiesel,0.00130000000
11,2031,BajaCalif,2020,cars_pluginhybriddiesel,0.00120000000
11,2032,BajaCalif,2020,cars_pluginhybriddiesel,0.00100000000
11,2034,BajaCalif,2020,cars_pluginhybriddiesel,0.00080000000
