timeslice,commodity,asset,year,installed,technology,month,day,hour,supply
0,cars,5,2025,2020,cars_battery,all-year,all-week,night,0.00010000000
0,cars,6,2025,2020,cars_diesel,all-year,all-week,night,0.00020000000
0,cars,6,2030,2020,cars_diesel,all-year,all-week,night,0.00010000000
0,cars,7,2025,2020,cars_hybridpetrol,all-year,all-week,night,0.00010000000
0,cars,8,2025,2020,cars_petrol,all-year,all-week,night,0.00180000000
0,cars,8,2030,2020,cars_petrol,all-year,all-week,night,0.00150000000
0,cars,26,2030,2025,cars_battery,all-year,all-week,night,0.00190000000
0,cars,27,2030,2025,cars_cng,all-year,all-week,night,0.00190000000
0,cars,28,2030,2025,cars_diesel,all-year,all-week,night,0.00190000000
0,cars,29,2030,2025,cars_flexiblefuel,all-year,all-week,night,0.00190000000
0,cars,30,2030,2025,cars_hybridpetrol,all-year,all-week,night,0.00190000000
0,cars,31,2030,2025,cars_hydrogenfc,all-year,all-week,night,0.00190000000
0,cars,32,2030,2025,cars_petrol,all-year,all-week,night,0.00190000000
0,cars,41,2025,2020,cars_petrol,all-year,all-week,night,0.00030000000
0,cars,41,2030,2020,cars_petrol,all-year,all-week,night,0.00040000000
0,cars,74,2025,2020,cars_battery,all-year,all-week,night,0.03470000000
0,cars,74,2030,2020,cars_battery,all-year,all-week,night,0.03730000000
0,cars,75,2025,2020,cars_cng,all-year,all-week,night,0.03470000000
0,cars,75,2030,2020,cars_cng,all-year,all-week,night,0.03730000000
0,cars,76,2025,2020,cars_diesel,all-year,all-week,night,0.03470000000
0,cars,76,2030,2020,cars_diesel,all-year,all-week,night,0.03730000000
0,cars,77,2025,2020,cars_flexiblefuel,all-year,all-week,night,0.03470000000
0,cars,77,2030,2020,cars_flexiblefuel,all-year,all-week,night,0.03730000000
0,cars,78,2025,2020,cars_hybridpetrol,all-year,all-week,night,0.03470000000
0,cars,78,2030,2020,cars_hybridpetrol,all-year,all-week,night,0.03730000000
0,cars,79,2025,2020,cars_hydrogenfc,all-year,all-week,night,0.03470000000
0,cars,79,2030,2020,cars_hydrogenfc,all-year,all-week,night,0.03730000000
0,cars,80,2025,2020,cars_petrol,all-year,all-week,night,0.03470000000
0,cars,80,2030,2020,cars_petrol,all-year,all-week,night,0.03730000000
0,cars,104,2025,2020,cars_battery,all-year,all-week,night,0.00020000000
0,cars,104,2030,2020,cars_battery,all-year,all-week,night,0.00010000000
0,cars,105,2025,2020,cars_diesel,all-year,all-week,night,0.00050000000
0,cars,105,2030,2020,cars_diesel,all-year,all-week,night,0.00030000000
0,cars,106,2025,2020,cars_hybridpetrol,all-year,all-week,night,0.00020000000
0,cars,106,2030,2020,cars_hybridpetrol,all-year,all-week,night,0.00010000000
0,cars,107,2025,2020,cars_petrol,all-year,all-week,night,0.00380000000
0,cars,107,2030,2020,cars_petrol,all-year,all-week,night,0.00410000000
0,cars,132,2025,2020,cars_battery,all-year,all-week,night,0.00010000000
0,cars,133,2025,2020,cars_diesel,all-year,all-week,night,0.00020000000
0,cars,133,2030,2020,cars_diesel,all-year,all-week,night,0.00010000000
0,cars,134,2025,2020,cars_hybridpetrol,all-year,all-week,night,0.00010000000
0,cars,135,2025,2020,cars_petrol,all-year,all-week,night,0.00050000000
0,cars,135,2030,2020,cars_petrol,all-year,all-week,night,0.00050000000
0,cars,172,2025,2020,cars_battery,all-year,all-week,night,0.00010000000
