timeslice,commodity,asset,year,technology,installed,month,day,hour,supply
0,cars,55,2040,cars_battery,2025,all-year,all-week,night,0.00220000000
0,cars,56,2045,cars_battery,2040,all-year,all-week,night,0.00230000000
0,cars,58,2040,cars_battery,2030,all-year,all-week,night,0.00040000000
0,cars,58,2045,cars_battery,2030,all-year,all-week,night,0.00040000000
0,cars,59,2040,cars_battery,2035,all-year,all-week,night,0.04270000000
0,cars,59,2045,cars_battery,2035,all-year,all-week,night,0.04530000000
0,cars,60,2040,cars_battery,2030,all-year,all-week,night,0.00470000000
0,cars,60,2045,cars_battery,2030,all-year,all-week,night,0.00500000000
0,cars,62,2040,cars_battery,2035,all-year,all-week,night,0.00060000000
0,cars,62,2045,cars_battery,2035,all-year,all-week,night,0.00060000000
0,cars,63,2040,cars_battery,2025,all-year,all-week,night,0.00490000000
0,cars,64,2045,cars_battery,2040,all-year,all-week,night,0.00520000000
0,cars,65,2040,cars_battery,2025,all-year,all-week,night,0.00250000000
0,cars,66,2045,cars_battery,2040,all-year,all-week,night,0.00270000000
0,cars,67,2040,cars_battery,2025,all-year,all-week,night,0.00170000000
0,cars,68,2045,cars_battery,2040,all-year,all-week,night,0.00180000000
0,cars,69,2040,cars_battery,2030,all-year,all-week,night,0.00890000000
0,cars,69,2045,cars_battery,2030,all-year,all-week,night,0.00940000000
0,cars,70,2040,cars_cng,2025,all-year,all-week,night,0.00220000000
0,cars,71,2045,cars_cng,2040,all-year,all-week,night,0.00230000000
0,cars,72,2040,cars_cng,2030,all-year,all-week,night,0.00040000000
0,cars,72,2045,cars_cng,2030,all-year,all-week,night,0.00040000000
0,cars,73,2040,cars_cng,2035,all-year,all-week,night,0.04270000000
0,cars,73,2045,cars_cng,2035,all-year,all-week,night,0.04530000000
0,cars,74,2040,cars_cng,2030,all-year,all-week,night,0.00470000000
0,cars,74,2045,cars_cng,2030,all-year,all-week,night,0.00500000000
0,cars,75,2040,cars_cng,2035,all-year,all-week,night,0.00060000000
0,cars,75,2045,cars_cng,2035,all-year,all-week,night,0.00060000000
0,cars,76,2040,cars_cng,2025,all-year,all-week,night,0.00490000000
0,cars,77,2045,cars_cng,2040,all-year,all-week,night,0.00520000000
0,cars,78,2040,cars_cng,2025,all-year,all-week,night,0.00250000000
0,cars,79,2045,cars_cng,2040,all-year,all-week,night,0.00270000000
0,cars,80,2040,cars_cng,2025,all-year,all-week,night,0.00170000000
0,cars,81,2045,cars_cng,2040,all-year,all-week,night,0.00180000000
0,cars,82,2040,cars_cng,2030,all-year,all-week,night,0.00890000000
0,cars,82,2045,cars_cng,2030,all-year,all-week,night,0.00940000000
0,cars,83,2040,cars_diesel,2025,all-year,all-week,night,0.00220000000
0,cars,84,2045,cars_diesel,2040,all-year,all-week,night,0.00230000000
0,cars,86,2040,cars_diesel,2030,all-year,all-week,night,0.00040000000
0,cars,86,2045,cars_diesel,2030,all-year,all-week,night,0.00040000000
0,cars,87,2040,cars_diesel,2035,all-year,all-week,night,0.04270000000
0,cars,87,2045,cars_diesel,2035,all-year,all-week,night,0.04530000000
0,cars,88,2040,cars_diesel,2030,all-year,all-week,night,0.00470000000
0,cars,88,2045,cars_diesel,2030,all-year,all-week,night,0.00500000000
0,cars,90,2040,cars_diesel,2035,all-year,all-week,night,0.00060000000
0,cars,90,2045,cars_diesel,2035,all-year,all-week,night,0.00060000000
0,cars,91,2040,cars_diesel,2025,all-year,all-week,night,0.00490000000
0,cars,92,2045,cars_diesel,2040,all-year,all-week,night,0.00520000000
0,cars,93,2040,cars_diesel,2025,all-year,all-week,night,0.00250000000
0,cars,94,2045,cars_diesel,2040,all-year,all-week,night,0.00270000000
0,cars,95,2040,cars_diesel,2025,all-year,all-week,night,0.00170000000
0,cars,96,2045,cars_diesel,2040,all-year,all-week,night,0.00180000000
0,cars,97,2040,cars_diesel,2030,all-year,all-week,night,0.00890000000
0,cars,97,2045,cars_diesel,2030,all-year,all-week,night,0.00940000000
0,cars,98,2040,cars_flexiblefuel,2025,all-year,all-week,night,0.00220000000
0,cars,99,2045,cars_flexiblefuel,2040,all-year,all-week,night,0.00230000000
0,cars,100,2040,cars_flexiblefuel,2030,all-year,all-week,night,0.00040000000
0,cars,100,2045,cars_flexiblefuel,2030,all-year,all-week,night,0.00040000000
0,cars,101,2040,cars_flexiblefuel,2035,all-year,all-week,night,0.04270000000
0,cars,101,2045,cars_flexiblefuel,2035,all-year,all-week,night,0.04530000000
0,cars,102,2040,cars_flexiblefuel,2030,all-year,all-week,night,0.00470000000
0,cars,102,2045,cars_flexiblefuel,2030,all-year,all-week,night,0.00500000000
0,cars,103,2040,cars_flexiblefuel,2035,all-year,all-week,night,0.00060000000
0,cars,103,2045,cars_flexiblefuel,2035,all-year,all-week,night,0.00060000000
0,cars,104,2040,cars_flexiblefuel,2025,all-year,all-week,night,0.00490000000
0,cars,105,2045,cars_flexiblefuel,2040,all-year,all-week,night,0.00520000000
