timeslice,commodity,asset,year,installed,technology,month,day,hour,supply
0,appl,0,2035,2020,com_tec,all-year,all-week,night,2.21380000000
0,appl,1,2035,2020,com_tec2,all-year,all-week,night,1.10690000000
0,appl,2,2035,2025,com_tec,all-year,all-week,night,8.33370000000
0,appl,3,2035,2025,com_tec2,all-year,all-week,night,8.33370000000
0,appl,4,2040,2035,com_tec,all-year,all-week,night,8.88930000000
0,appl,5,2040,2035,com_tec2,all-year,all-week,night,8.88930000000
0,appl,6,2035,2020,com_tec,all-year,all-week,night,0.56840000000
0,appl,7,2035,2020,com_tec2,all-year,all-week,night,0.28420000000
0,appl,8,2035,2030,com_tec,all-year,all-week,night,1.45750000000
0,appl,8,2040,2030,com_tec,all-year,all-week,night,1.55470000000
0,appl,9,2035,2030,com_tec2,all-year,all-week,night,1.45750000000
0,appl,9,2040,2030,com_tec2,all-year,all-week,night,1.55470000000
0,appl,10,2035,2020,com_tec,all-year,all-week,night,3.48320000000
0,appl,11,2035,2020,com_tec2,all-year,all-week,night,1.74160000000
0,appl,12,2035,2030,com_tec,all-year,all-week,night,26.03750000000
0,appl,12,2040,2030,com_tec,all-year,all-week,night,27.77330000000
0,appl,13,2035,2030,com_tec2,all-year,all-week,night,26.03750000000
0,appl,13,2040,2030,com_tec2,all-year,all-week,night,27.77330000000
0,appl,14,2035,2020,com_tec,all-year,all-week,night,13.55650000000
0,appl,15,2035,2020,com_tec2,all-year,all-week,night,6.77830000000
0,appl,16,2035,2025,com_tec,all-year,all-week,night,51.67500000000
0,appl,17,2035,2025,com_tec2,all-year,all-week,night,51.67500000000
0,appl,18,2040,2035,com_tec,all-year,all-week,night,55.12000000000
0,appl,19,2040,2035,com_tec2,all-year,all-week,night,55.12000000000
0,appl,20,2035,2020,com_tec,all-year,all-week,night,4.46310000000
0,appl,21,2035,2020,com_tec2,all-year,all-week,night,2.23160000000
0,appl,22,2035,2030,com_tec,all-year,all-week,night,13.55000000000
0,appl,22,2040,2030,com_tec,all-year,all-week,night,14.45330000000
0,appl,23,2035,2030,com_tec2,all-year,all-week,night,13.55000000000
0,appl,23,2040,2030,com_tec2,all-year,all-week,night,14.45330000000
0,appl,24,2035,2020,com_tec,all-year,all-week,night,12.50010000000
0,appl,25,2035,2020,com_tec2,all-year,all-week,night,6.25000000000
0,appl,26,2035,2025,com_tec,all-year,all-week,night,62.91250000000
0,appl,27,2035,2025,com_tec2,all-year,all-week,night,62.91250000000
0,appl,28,2040,2035,com_tec,all-year,all-week,night,67.10670000000
0,appl,29,2040,2035,com_tec2,all-year,all-week,night,67.10670000000
0,appl,30,2035,2020,com_tec,all-year,all-week,night,5.76560000000
0,appl,31,2035,2020,com_tec2,all-year,all-week,night,2.88280000000
0,appl,32,2035,2030,com_tec,all-year,all-week,night,16.03750000000
0,appl,32,2040,2030,com_tec,all-year,all-week,night,17.10670000000
0,appl,33,2035,2030,com_tec2,all-year,all-week,night,16.03750000000
0,appl,33,2040,2030,com_tec2,all-year,all-week,night,17.10670000000
0,appl,34,2035,2020,com_tec,all-year,all-week,night,1.80220000000
0,appl,35,2035,2020,com_tec2,all-year,all-week,night,0.90110000000
0,appl,36,2040,2035,com_tec,all-year,all-week,night,2.66670000000
0,appl,37,2040,2035,com_tec2,all-year,all-week,night,2.66670000000
0,appl,38,2035,2020,com_tec,all-year,all-week,night,11.83190000000
0,appl,39,2035,2020,com_tec2,all-year,all-week,night,5.91600000000
0,appl,40,2035,2030,com_tec,all-year,all-week,night,26.67500000000
0,appl,40,2040,2030,com_tec,all-year,all-week,night,28.45330000000
0,appl,41,2035,2030,com_tec2,all-year,all-week,night,26.67500000000
0,appl,41,2040,2030,com_tec2,all-year,all-week,night,28.45330000000
1,appl,0,2035,2020,com_tec,all-year,all-week,morning,2.21380000000
1,appl,1,2035,2020,com_tec2,all-year,all-week,morning,1.10690000000
1,appl,2,2035,2025,com_tec,all-year,all-week,morning,8.33370000000
1,appl,3,2035,2025,com_tec2,all-year,all-week,morning,8.33370000000
1,appl,4,2040,2035,com_tec,all-year,all-week,morning,8.88930000000
1,appl,5,2040,2035,com_tec2,all-year,all-week,morning,8.88930000000
1,appl,6,2035,2020,com_tec,all-year,all-week,morning,0.56840000000
1,appl,7,2035,2020,com_tec2,all-year,all-week,morning,0.28420000000
1,appl,8,2035,2030,com_tec,all-year,all-week,morning,1.45750000000
1,appl,8,2040,2030,com_tec,all-year,all-week,morning,1.55470000000
1,appl,9,2035,2030,com_tec2,all-year,all-week,morning,1.45750000000
1,appl,9,2040,2030,com_tec2,all-year,all-week,morning,1.55470000000
1,appl,10,2035,2020,com_tec,all-year,all-week,morning,3.48320000000
1,appl,11,2035,2020,com_tec2,all-year,all-week,morning,1.74160000000
1,appl,12,2035,2030,com_tec,all-year,all-week,morning,26.03750000000
1,appl,12,2040,2030,com_tec,all-year,all-week,morning,27.77330000000
1,appl,13,2035,2030,com_tec2,all-year,all-week,morning,26.03750000000
1,appl,13,2040,2030,com_tec2,all-year,all-week,morning,27.77330000000
1,appl,14,2035,2020,com_tec,all-year,all-week,morning,13.55650000000
1,appl,15,2035,2020,com_tec2,all-year,all-week,morning,6.77830000000
1,appl,16,2035,2025,com_tec,all-year,all-week,morning,51.67500000000
1,appl,17,2035,2025,com_tec2,all-year,all-week,morning,51.67500000000
1,appl,18,2040,2035,com_tec,all-year,all-week,morning,55.12000000000
1,appl,19,2040,2035,com_tec2,all-year,all-week,morning,55.12000000000
1,appl,20,2035,2020,com_tec,all-year,all-week,morning,4.46310000000
1,appl,21,2035,2020,com_tec2,all-year,all-week,morning,2.23160000000
1,appl,22,2035,2030,com_tec,all-year,all-week,morning,13.55000000000
1,appl,22,2040,2030,com_tec,all-year,all-week,morning,14.45330000000
1,appl,23,2035,2030,com_tec2,all-year,all-week,morning,13.55000000000
1,appl,23,2040,2030,com_tec2,all-year,all-week,morning,14.45330000000
1,appl,24,2035,2020,com_tec,all-year,all-week,morning,12.50010000000
1,appl,25,2035,2020,com_tec2,all-year,all-week,morning,6.25000000000
1,appl,26,2035,2025,com_tec,all-year,all-week,morning,62.91250000000
1,appl,27,2035,2025,com_tec2,all-year,all-week,morning,62.91250000000
1,appl,28,2040,2035,com_tec,all-year,all-week,morning,67.10670000000
