timeslice,commodity,asset,year,technology,installed,month,day,hour,supply
0,cars,45,2020,cars_battery,2020,all-year,all-week,night,0.00010000000
0,cars,45,2025,cars_battery,2020,all-year,all-week,night,0.00010000000
0,cars,47,2020,cars_battery,2020,all-year,all-week,night,0.00060000000
0,cars,47,2025,cars_battery,2020,all-year,all-week,night,0.03690000000
0,cars,48,2020,cars_battery,2020,all-year,all-week,night,0.00020000000
0,cars,48,2025,cars_battery,2020,all-year,all-week,night,0.00020000000
0,cars,49,2020,cars_battery,2020,all-year,all-week,night,0.00010000000
0,cars,49,2025,cars_battery,2020,all-year,all-week,night,0.00010000000
0,cars,50,2020,cars_battery,2020,all-year,all-week,night,0.00020000000
0,cars,50,2025,cars_battery,2020,all-year,all-week,night,0.00010000000
0,cars,51,2020,cars_battery,2020,all-year,all-week,night,0.00010000000
0,cars,51,2025,cars_battery,2020,all-year,all-week,night,0.00010000000
0,cars,52,2020,cars_battery,2020,all-year,all-week,night,0.00010000000
0,cars,53,2020,cars_battery,2020,all-year,all-week,night,0.00030000000
0,cars,53,2025,cars_battery,2020,all-year,all-week,night,0.00030000000
0,cars,54,2025,cars_cng,2020,all-year,all-week,night,0.03690000000
0,cars,55,2020,cars_diesel,2020,all-year,all-week,night,0.00020000000
0,cars,55,2025,cars_diesel,2020,all-year,all-week,night,0.00020000000
0,cars,56,2020,cars_diesel,2020,all-year,all-week,night,0.00010000000
0,cars,57,2020,cars_diesel,2020,all-year,all-week,night,0.00190000000
0,cars,57,2025,cars_diesel,2020,all-year,all-week,night,0.03690000000
0,cars,58,2020,cars_diesel,2020,all-year,all-week,night,0.00070000000
0,cars,58,2025,cars_diesel,2020,all-year,all-week,night,0.00050000000
0,cars,59,2020,cars_diesel,2020,all-year,all-week,night,0.00020000000
0,cars,59,2025,cars_diesel,2020,all-year,all-week,night,0.00020000000
0,cars,60,2020,cars_diesel,2020,all-year,all-week,night,0.00050000000
0,cars,60,2025,cars_diesel,2020,all-year,all-week,night,0.00040000000
0,cars,61,2020,cars_diesel,2020,all-year,all-week,night,0.00020000000
0,cars,61,2025,cars_diesel,2020,all-year,all-week,night,0.00020000000
0,cars,62,2020,cars_diesel,2020,all-year,all-week,night,0.00020000000
0,cars,62,2025,cars_diesel,2020,all-year,all-week,night,0.00010000000
0,cars,63,2020,cars_diesel,2020,all-year,all-week,night,0.00100000000
0,cars,63,2025,cars_diesel,2020,all-year,all-week,night,0.00080000000
0,cars,64,2025,cars_flexiblefuel,2020,all-year,all-week,night,0.03690000000
0,cars,65,2020,cars_hybridpetrol,2020,all-year,all-week,night,0.00010000000
0,cars,65,2025,cars_hybridpetrol,2020,all-year,all-week,night,0.00010000000
0,cars,67,2020,cars_hybridpetrol,2020,all-year,all-week,night,0.00060000000
0,cars,67,2025,cars_hybridpetrol,2020,all-year,all-week,night,0.03690000000
0,cars,68,2020,cars_hybridpetrol,2020,all-year,all-week,night,0.00020000000
0,cars,68,2025,cars_hybridpetrol,2020,all-year,all-week,night,0.00020000000
0,cars,69,2020,cars_hybridpetrol,2020,all-year,all-week,night,0.00010000000
0,cars,69,2025,cars_hybridpetrol,2020,all-year,all-week,night,0.00010000000
0,cars,70,2020,cars_hybridpetrol,2020,all-year,all-week,night,0.00020000000
0,cars,70,2025,cars_hybridpetrol,2020,all-year,all-week,night,0.00010000000
0,cars,71,2020,cars_hybridpetrol,2020,all-year,all-week,night,0.00010000000
0,cars,71,2025,cars_hybridpetrol,2020,all-year,all-week,night,0.00010000000
0,cars,72,2020,cars_hybridpetrol,2020,all-year,all-week,night,0.00010000000
0,cars,73,2020,cars_hybridpetrol,2020,all-year,all-week,night,0.00030000000
0,cars,73,2025,cars_hybridpetrol,2020,all-year,all-week,night,0.00030000000
0,cars,74,2025,cars_hydrogenfc,2020,all-year,all-week,night,0.03690000000
0,cars,75,2020,cars_petrol,2020,all-year,all-week,night,0.00160000000
0,cars,75,2025,cars_petrol,2020,all-year,all-week,night,0.00190000000
0,cars,76,2020,cars_petrol,2020,all-year,all-week,night,0.00030000000
0,cars,76,2025,cars_petrol,2020,all-year,all-week,night,0.00040000000
0,cars,77,2020,cars_petrol,2020,all-year,all-week,night,0.02740000000
0,cars,77,2025,cars_petrol,2020,all-year,all-week,night,0.03690000000
0,cars,78,2020,cars_petrol,2020,all-year,all-week,night,0.00360000000
0,cars,78,2025,cars_petrol,2020,all-year,all-week,night,0.00410000000
0,cars,79,2020,cars_petrol,2020,all-year,all-week,night,0.00040000000
0,cars,79,2025,cars_petrol,2020,all-year,all-week,night,0.00050000000
0,cars,80,2020,cars_petrol,2020,all-year,all-week,night,0.00370000000
0,cars,80,2025,cars_petrol,2020,all-year,all-week,night,0.00420000000
0,cars,81,2020,cars_petrol,2020,all-year,all-week,night,0.00190000000
0,cars,81,2025,cars_petrol,2020,all-year,all-week,night,0.00220000000
0,cars,82,2020,cars_petrol,2020,all-year,all-week,night,0.00120000000
0,cars,82,2025,cars_petrol,2020,all-year,all-week,night,0.00140000000
0,cars,83,2020,cars_petrol,2020,all-year,all-week,night,0.00660000000
0,cars,83,2025,cars_petrol,2020,all-year,all-week,night,0.00760000000
0,buses,0,2020,bus_battery,2020,all-year,all-week,night,0.00020000000
0,buses,0,2025,bus_battery,2020,all-year,all-week,night,0.01140000000
0,buses,1,2020,bus_battery,2020,all-year,all-week,night,0.00010000000
0,buses,1,2025,bus_battery,2020,all-year,all-week,night,0.00270000000
0,buses,2,2020,bus_battery,2020,all-year,all-week,night,0.00090000000
0,buses,2,2025,bus_battery,2020,all-year,all-week,night,0.04750000000
0,buses,3,2020,bus_battery,2020,all-year,all-week,night,0.00090000000
0,buses,3,2025,bus_battery,2020,all-year,all-week,night,0.09750000000
0,buses,4,2020,bus_battery,2020,all-year,all-week,night,0.00030000000
0,buses,4,2025,bus_battery,2020,all-year,all-week,night,0.02640000000
0,buses,5,2020,bus_battery,2020,all-year,all-week,night,0.00050000000
0,buses,5,2025,bus_battery,2020,all-year,all-week,night,0.34080000000
0,buses,6,2020,bus_battery,2020,all-year,all-week,night,0.00040000000
0,buses,6,2025,bus_battery,2020,all-year,all-week,night,0.03710000000
0,buses,7,2020,bus_battery,2020,all-year,all-week,night,0.00010000000
0,buses,7,2025,bus_battery,2020,all-year,all-week,night,0.00300000000
0,buses,8,2020,bus_battery,2020,all-year,all-week,night,0.00170000000
0,buses,8,2025,bus_battery,2020,all-year,all-week,night,0.05510000000
0,buses,9,2020,bus_cng,2020,all-year,all-week,night,0.00020000000
0,buses,9,2025,bus_cng,2020,all-year,all-week,night,0.01140000000
0,buses,10,2020,bus_cng,2020,all-year,all-week,night,0.00010000000
0,buses,10,2025,bus_cng,2020,all-year,all-week,night,0.00270000000
0,buses,11,2020,bus_cng,2020,all-year,all-week,night,0.00090000000
0,buses,11,2025,bus_cng,2020,all-year,all-week,night,0.04750000000
0,buses,12,2020,bus_cng,2020,all-year,all-week,night,0.00090000000
0,buses,12,2025,bus_cng,2020,all-year,all-week,night,0.09750000000
0,buses,13,2020,bus_cng,2020,all-year,all-week,night,0.00030000000
0,buses,13,2025,bus_cng,2020,all-year,all-week,night,0.02640000000
0,buses,14,2020,bus_cng,2020,all-year,all-week,night,0.00050000000
0,buses,14,2025,bus_cng,2020,all-year,all-week,night,0.34080000000
0,buses,15,2020,bus_cng,2020,all-year,all-week,night,0.00040000000
0,buses,15,2025,bus_cng,2020,all-year,all-week,night,0.03710000000
0,buses,16,2020,bus_cng,2020,all-year,all-week,night,0.00010000000
0,buses,16,2025,bus_cng,2020,all-year,all-week,night,0.00300000000
0,buses,17,2020,bus_cng,2020,all-year,all-week,night,0.00170000000
0,buses,17,2025,bus_cng,2020,all-year,all-week,night,0.05510000000
0,buses,18,2020,bus_diesel,2020,all-year,all-week,night,0.00150000000
0,buses,18,2025,bus_diesel,2020,all-year,all-week,night,0.01140000000
0,buses,19,2020,bus_diesel,2020,all-year,all-week,night,0.00050000000
0,buses,19,2025,bus_diesel,2020,all-year,all-week,night,0.00270000000
0,buses,20,2020,bus_diesel,2020,all-year,all-week,night,0.00700000000
0,buses,20,2025,bus_diesel,2020,all-year,all-week,night,0.04750000000
0,buses,21,2020,bus_diesel,2020,all-year,all-week,night,0.00740000000
0,buses,21,2025,bus_diesel,2020,all-year,all-week,night,0.09750000000
0,buses,22,2020,bus_diesel,2020,all-year,all-week,night,0.00240000000
0,buses,22,2025,bus_diesel,2020,all-year,all-week,night,0.02640000000
0,buses,23,2020,bus_diesel,2020,all-year,all-week,night,0.00430000000
0,buses,23,2025,bus_diesel,2020,all-year,all-week,night,0.34080000000
0,buses,24,2020,bus_diesel,2020,all-year,all-week,night,0.00310000000
0,buses,24,2025,bus_diesel,2020,all-year,all-week,night,0.03710000000
0,buses,25,2020,bus_diesel,2020,all-year,all-week,night,0.00120000000
0,buses,25,2025,bus_diesel,2020,all-year,all-week,night,0.00300000000
0,buses,26,2020,bus_diesel,2020,all-year,all-week,night,0.01360000000
0,buses,26,2025,bus_diesel,2020,all-year,all-week,night,0.05510000000
0,buses,27,2020,bus_hybriddiesel,2020,all-year,all-week,night,0.00020000000
0,buses,27,2025,bus_hybriddiesel,2020,all-year,all-week,night,0.01140000000
0,buses,28,2020,bus_hybriddiesel,2020,all-year,all-week,night,0.00010000000
0,buses,28,2025,bus_hybriddiesel,2020,all-year,all-week,night,0.00270000000
0,buses,29,2020,bus_hybriddiesel,2020,all-year,all-week,night,0.00090000000
0,buses,29,2025,bus_hybriddiesel,2020,all-year,all-week,night,0.04750000000
0,buses,30,2020,bus_hybriddiesel,2020,all-year,all-week,night,0.00090000000
0,buses,30,2025,bus_hybriddiesel,2020,all-year,all-week,night,0.09750000000
0,buses,31,2020,bus_hybriddiesel,2020,all-year,all-week,night,0.00030000000
0,buses,31,2025,bus_hybriddiesel,2020,all-year,all-week,night,0.02640000000
0,buses,32,2020,bus_hybriddiesel,2020,all-year,all-week,night,0.00050000000
0,buses,32,2025,bus_hybriddiesel,2020,all-year,all-week,night,0.34080000000
0,buses,33,2020,bus_hybriddiesel,2020,all-year,all-week,night,0.00040000000
0,buses,33,2025,bus_hybriddiesel,2020,all-year,all-week,night,0.03710000000
0,buses,34,2020,bus_hybriddiesel,2020,all-year,all-week,night,0.00010000000
0,buses,34,2025,bus_hybriddiesel,2020,all-year,all-week,night,0.00300000000
0,buses,35,2020,bus_hybriddiesel,2020,all-year,all-week,night,0.00170000000
0,buses,35,2025,bus_hybriddiesel,2020,all-year,all-week,night,0.05510000000
0,buses,36,2025,bus_hybridhydrogenfc,2020,all-year,all-week,night,0.01140000000
