asset,year,region,installed,technology,capacity
0,2040,R1,2020,gassupply1,9.91680000000
0,2045,R1,2020,gassupply1,9.91680000000
0,2050,R1,2020,gassupply1,9.91680000000
0,2059,R1,2020,gassupply1,9.91680000000
1,2040,R1,2025,gassupply1,10.69810000000
1,2045,R1,2025,gassupply1,10.69810000000
1,2050,R1,2025,gassupply1,10.69810000000
1,2059,R1,2025,gassupply1,10.69810000000
1,2060,R1,2025,gassupply1,10.69810000000
1,2064,R1,2025,gassupply1,10.69810000000
2,2040,R1,2030,gassupply1,3.17510000000
2,2045,R1,2030,gassupply1,3.17510000000
2,2050,R1,2030,gassupply1,3.17510000000
2,2059,R1,2030,gassupply1,3.17510000000
2,2060,R1,2030,gassupply1,3.17510000000
2,2064,R1,2030,gassupply1,3.17510000000
2,2065,R1,2030,gassupply1,3.17510000000
2,2069,R1,2030,gassupply1,3.17510000000
