technology,dst_region,region,agent,sector,type,year,capacity,,,,,
electric_stove,R1,R1,A1,residential,retrofit,2020,10,,,,,
gasboiler,R1,R1,A1,residential,retrofit,2020,10,,,,,
gasCCGT,R1,R1,A1,power,retrofit,2020,1,,,,,
gassupply1,R1,R1,A1,gas,retrofit,2020,15,,,,,
electric_stove,R1,R1,A1,residential,retrofit,2025,17,,,,,
gas_stove,R1,R1,A1,residential,retrofit,2025,7,,,,,
gasboiler,R1,R1,A1,residential,retrofit,2025,5,,,,,
heatpump,R1,R1,A1,residential,retrofit,2025,4,,,,,
gasCCGT,R1,R1,A1,power,retrofit,2025,5.8413,,,,,
windturbine,R1,R1,A1,power,retrofit,2025,14.0525,,,,,
gassupply1,R1,R1,A1,gas,retrofit,2025,24.9168,,,,,
electric_stove,R1,R1,A1,residential,retrofit,2030,12,,,,,
electric_stove,R1,R1,A1,residential,retrofit,2030,7,,,,,
gas_stove,R1,R1,A1,residential,retrofit,2030,7,,,,,
heatpump,R1,R1,A1,residential,retrofit,2030,4,,,,,
gasCCGT,R1,R1,A1,power,retrofit,2030,4.8413,,sector,residential,,
gasCCGT,R1,R1,A1,power,retrofit,2030,3.6824,,,,,
windturbine,R1,R1,A1,power,retrofit,2030,14.0525,,Suma de capacity,Etiquetas de columna,,
gassupply1,R1,R1,A1,gas,retrofit,2030,17.4168,,Etiquetas de fila,electric_stove,gas_stove,Total general
gassupply1,R1,R1,A1,gas,retrofit,2030,10.6981,,2020,10,,10
electric_stove,R1,R1,A1,residential,retrofit,2035,7,,2025,17,7,24
electric_stove,R1,R1,A1,residential,retrofit,2035,19.9,,2030,19,7,26
gas_stove,R1,R1,A1,residential,retrofit,2035,4.7,,2035,26.9,4.7,31.6
heatpump,R1,R1,A1,residential,retrofit,2035,4.4,,2040,32.9,4.7,37.6
gasCCGT,R1,R1,A1,power,retrofit,2035,4.8413,,2045,42.19,0.97,43.16
gasCCGT,R1,R1,A1,power,retrofit,2035,3.6824,,2050,48.19,0.97,49.16
gasCCGT,R1,R1,A1,power,retrofit,2035,0.3725,,Total general,196.18,25.34,221.52
windturbine,R1,R1,A1,power,retrofit,2035,14.0525,,,,,
windturbine,R1,R1,A1,power,retrofit,2035,10,,,,,
gassupply1,R1,R1,A1,gas,retrofit,2035,9.9168,,,,,
gassupply1,R1,R1,A1,gas,retrofit,2035,10.6981,,,,,
gassupply1,R1,R1,A1,gas,retrofit,2035,3.1751,,,,,
electric_stove,R1,R1,A1,residential,retrofit,2040,19.9,,,,,
electric_stove,R1,R1,A1,residential,retrofit,2040,13,,,,,
gas_stove,R1,R1,A1,residential,retrofit,2040,4.7,,,,,
heatpump,R1,R1,A1,residential,retrofit,2040,4.4,,,,,
gasCCGT,R1,R1,A1,power,retrofit,2040,4.8413,,,,,
gasCCGT,R1,R1,A1,power,retrofit,2040,3.6824,,,,,
gasCCGT,R1,R1,A1,power,retrofit,2040,0.3725,,,,,
windturbine,R1,R1,A1,power,retrofit,2040,14.0525,,,,,
windturbine,R1,R1,A1,power,retrofit,2040,10,,,,,
windturbine,R1,R1,A1,power,retrofit,2040,7.231,,,,,
gassupply1,R1,R1,A1,gas,retrofit,2040,9.9168,,,,,
gassupply1,R1,R1,A1,gas,retrofit,2040,10.6981,,,,,
gassupply1,R1,R1,A1,gas,retrofit,2040,3.1751,,,,,
electric_stove,R1,R1,A1,residential,retrofit,2045,13,,,,,
electric_stove,R1,R1,A1,residential,retrofit,2045,29.19,,,,,
gas_stove,R1,R1,A1,residential,retrofit,2045,0.97,,,,,
heatpump,R1,R1,A1,residential,retrofit,2045,4.84,,,,,
gasCCGT,R1,R1,A1,power,retrofit,2045,4.8413,,,,,
gasCCGT,R1,R1,A1,power,retrofit,2045,3.6824,,,,,
gasCCGT,R1,R1,A1,power,retrofit,2045,0.3725,,,,,
gasCCGT,R1,R1,A1,power,retrofit,2045,1.0435,,,,,
windturbine,R1,R1,A1,power,retrofit,2045,14.0525,,,,,
windturbine,R1,R1,A1,power,retrofit,2045,10,,,,,
windturbine,R1,R1,A1,power,retrofit,2045,7.231,,,,,
windturbine,R1,R1,A1,power,retrofit,2045,10,,,,,
gassupply1,R1,R1,A1,gas,retrofit,2045,9.9168,,,,,
gassupply1,R1,R1,A1,gas,retrofit,2045,10.6981,,,,,
gassupply1,R1,R1,A1,gas,retrofit,2045,3.1751,,,,,
electric_stove,R1,R1,A1,residential,retrofit,2050,29.19,,,,,
electric_stove,R1,R1,A1,residential,retrofit,2050,19,,,,,
gas_stove,R1,R1,A1,residential,retrofit,2050,0.97,,,,,
heatpump,R1,R1,A1,residential,retrofit,2050,4.84,,,,,
gasCCGT,R1,R1,A1,power,retrofit,2050,4.8413,,,,,
gasCCGT,R1,R1,A1,power,retrofit,2050,3.6824,,,,,
gasCCGT,R1,R1,A1,power,retrofit,2050,0.3725,,,,,
gasCCGT,R1,R1,A1,power,retrofit,2050,1.0435,,,,,
gasCCGT,R1,R1,A1,power,retrofit,2050,1.8011,,,,,
windturbine,R1,R1,A1,power,retrofit,2050,10,,,,,
windturbine,R1,R1,A1,power,retrofit,2050,7.231,,,,,
windturbine,R1,R1,A1,power,retrofit,2050,10,,,,,
windturbine,R1,R1,A1,power,retrofit,2050,17.0269,,,,,
gassupply1,R1,R1,A1,gas,retrofit,2050,9.9168,,,,,
gassupply1,R1,R1,A1,gas,retrofit,2050,10.6981,,,,,
gassupply1,R1,R1,A1,gas,retrofit,2050,3.1751,,,,,
