asset,year,region,technology,installed,capacity
0,2045,R1,gasCCGT,2020,4.84130000000
0,2049,R1,gasCCGT,2020,4.84130000000
0,2050,R1,gasCCGT,2020,4.84130000000
0,2059,R1,gasCCGT,2020,4.84130000000
1,2045,R1,gasCCGT,2025,3.68240000000
1,2049,R1,gasCCGT,2025,3.68240000000
1,2050,R1,gasCCGT,2025,3.68240000000
1,2059,R1,gasCCGT,2025,3.68240000000
1,2060,R1,gasCCGT,2025,3.68240000000
1,2064,R1,gasCCGT,2025,3.68240000000
2,2045,R1,gasCCGT,2030,0.37250000000
2,2049,R1,gasCCGT,2030,0.37250000000
2,2050,R1,gasCCGT,2030,0.37250000000
2,2059,R1,gasCCGT,2030,0.37250000000
2,2060,R1,gasCCGT,2030,0.37250000000
2,2064,R1,gasCCGT,2030,0.37250000000
2,2065,R1,gasCCGT,2030,0.37250000000
2,2069,R1,gasCCGT,2030,0.37250000000
3,2045,R1,gasCCGT,2040,1.04350000000
3,2049,R1,gasCCGT,2040,1.04350000000
3,2050,R1,gasCCGT,2040,1.04350000000
3,2059,R1,gasCCGT,2040,1.04350000000
3,2060,R1,gasCCGT,2040,1.04350000000
3,2064,R1,gasCCGT,2040,1.04350000000
3,2065,R1,gasCCGT,2040,1.04350000000
3,2069,R1,gasCCGT,2040,1.04350000000
3,2070,R1,gasCCGT,2040,1.04350000000
3,2074,R1,gasCCGT,2040,1.04350000000
3,2075,R1,gasCCGT,2040,1.04350000000
3,2079,R1,gasCCGT,2040,1.04350000000
4,2050,R1,gasCCGT,2045,1.80110000000
4,2059,R1,gasCCGT,2045,1.80110000000
4,2060,R1,gasCCGT,2045,1.80110000000
4,2064,R1,gasCCGT,2045,1.80110000000
4,2065,R1,gasCCGT,2045,1.80110000000
4,2069,R1,gasCCGT,2045,1.80110000000
4,2070,R1,gasCCGT,2045,1.80110000000
4,2074,R1,gasCCGT,2045,1.80110000000
4,2075,R1,gasCCGT,2045,1.80110000000
4,2079,R1,gasCCGT,2045,1.80110000000
4,2080,R1,gasCCGT,2045,1.80110000000
4,2084,R1,gasCCGT,2045,1.80110000000
5,2045,R1,windturbine,2020,14.05250000000
5,2049,R1,windturbine,2020,14.05250000000
6,2045,R1,windturbine,2030,10.00000000000
6,2049,R1,windturbine,2030,10.00000000000
6,2050,R1,windturbine,2030,10.00000000000
6,2059,R1,windturbine,2030,10.00000000000
7,2045,R1,windturbine,2035,7.23100000000
7,2049,R1,windturbine,2035,7.23100000000
7,2050,R1,windturbine,2035,7.23100000000
7,2059,R1,windturbine,2035,7.23100000000
7,2060,R1,windturbine,2035,7.23100000000
7,2064,R1,windturbine,2035,7.23100000000
8,2045,R1,windturbine,2040,10.00000000000
8,2049,R1,windturbine,2040,10.00000000000
8,2050,R1,windturbine,2040,10.00000000000
8,2059,R1,windturbine,2040,10.00000000000
8,2060,R1,windturbine,2040,10.00000000000
8,2064,R1,windturbine,2040,10.00000000000
8,2065,R1,windturbine,2040,10.00000000000
8,2069,R1,windturbine,2040,10.00000000000
9,2050,R1,windturbine,2045,17.02690000000
9,2059,R1,windturbine,2045,17.02690000000
9,2060,R1,windturbine,2045,17.02690000000
9,2064,R1,windturbine,2045,17.02690000000
9,2065,R1,windturbine,2045,17.02690000000
9,2069,R1,windturbine,2045,17.02690000000
9,2070,R1,windturbine,2045,17.02690000000
9,2074,R1,windturbine,2045,17.02690000000
