asset,year,region,installed,technology,capacity
0,2050,R1,2020,gasCCGT,4.84130000000
0,2055,R1,2020,gasCCGT,4.84130000000
0,2059,R1,2020,gasCCGT,4.84130000000
2,2050,R1,2025,gasCCGT,3.68240000000
2,2055,R1,2025,gasCCGT,3.68240000000
2,2059,R1,2025,gasCCGT,3.68240000000
2,2060,R1,2025,gasCCGT,3.68240000000
2,2064,R1,2025,gasCCGT,3.68240000000
3,2050,R1,2030,gasCCGT,0.37250000000
3,2055,R1,2030,gasCCGT,0.37250000000
3,2059,R1,2030,gasCCGT,0.37250000000
3,2060,R1,2030,gasCCGT,0.37250000000
3,2064,R1,2030,gasCCGT,0.37250000000
3,2065,R1,2030,gasCCGT,0.37250000000
3,2069,R1,2030,gasCCGT,0.37250000000
4,2050,R1,2030,windturbine,10.00000000000
4,2055,R1,2030,windturbine,10.00000000000
4,2059,R1,2030,windturbine,10.00000000000
5,2050,R1,2035,windturbine,7.23100000000
5,2055,R1,2035,windturbine,7.23100000000
5,2059,R1,2035,windturbine,7.23100000000
5,2060,R1,2035,windturbine,7.23100000000
5,2064,R1,2035,windturbine,7.23100000000
6,2050,R1,2040,gasCCGT,1.04350000000
6,2055,R1,2040,gasCCGT,1.04350000000
6,2059,R1,2040,gasCCGT,1.04350000000
6,2060,R1,2040,gasCCGT,1.04350000000
6,2064,R1,2040,gasCCGT,1.04350000000
6,2065,R1,2040,gasCCGT,1.04350000000
6,2069,R1,2040,gasCCGT,1.04350000000
6,2070,R1,2040,gasCCGT,1.04350000000
6,2074,R1,2040,gasCCGT,1.04350000000
6,2075,R1,2040,gasCCGT,1.04350000000
6,2079,R1,2040,gasCCGT,1.04350000000
7,2050,R1,2040,windturbine,10.00000000000
7,2055,R1,2040,windturbine,10.00000000000
7,2059,R1,2040,windturbine,10.00000000000
7,2060,R1,2040,windturbine,10.00000000000
7,2064,R1,2040,windturbine,10.00000000000
7,2065,R1,2040,windturbine,10.00000000000
7,2069,R1,2040,windturbine,10.00000000000
8,2050,R1,2045,gasCCGT,1.80110000000
8,2055,R1,2045,gasCCGT,1.80110000000
8,2059,R1,2045,gasCCGT,1.80110000000
8,2060,R1,2045,gasCCGT,1.80110000000
8,2064,R1,2045,gasCCGT,1.80110000000
8,2065,R1,2045,gasCCGT,1.80110000000
8,2069,R1,2045,gasCCGT,1.80110000000
8,2070,R1,2045,gasCCGT,1.80110000000
8,2074,R1,2045,gasCCGT,1.80110000000
8,2075,R1,2045,gasCCGT,1.80110000000
8,2079,R1,2045,gasCCGT,1.80110000000
8,2080,R1,2045,gasCCGT,1.80110000000
8,2084,R1,2045,gasCCGT,1.80110000000
9,2050,R1,2045,windturbine,17.02690000000
9,2055,R1,2045,windturbine,17.02690000000
9,2059,R1,2045,windturbine,17.02690000000
9,2060,R1,2045,windturbine,17.02690000000
9,2064,R1,2045,windturbine,17.02690000000
9,2065,R1,2045,windturbine,17.02690000000
9,2069,R1,2045,windturbine,17.02690000000
9,2070,R1,2045,windturbine,17.02690000000
9,2074,R1,2045,windturbine,17.02690000000
10,2055,R1,2050,windturbine,1.32520000000
10,2059,R1,2050,windturbine,1.32520000000
10,2060,R1,2050,windturbine,1.32520000000
10,2064,R1,2050,windturbine,1.32520000000
10,2065,R1,2050,windturbine,1.32520000000
10,2069,R1,2050,windturbine,1.32520000000
10,2070,R1,2050,windturbine,1.32520000000
10,2074,R1,2050,windturbine,1.32520000000
10,2075,R1,2050,windturbine,1.32520000000
10,2079,R1,2050,windturbine,1.32520000000
