timeslice,commodity,year,asset,region,technology,installed,month,day,hour,supply
0,heat,2045,0,R1,electric_stove,2035,all-year,all-week,night,0.72220000000
0,heat,2045,1,R1,electric_stove,2040,all-year,all-week,night,1.62170000000
0,heat,2045,3,R1,gas_stove,2040,all-year,all-week,night,0.05390000000
0,heat,2045,4,R1,heatpump,2040,all-year,all-week,night,0.26890000000
0,heat,2050,1,R1,electric_stove,2040,all-year,all-week,night,1.62170000000
0,heat,2050,2,R1,electric_stove,2045,all-year,all-week,night,1.05560000000
0,heat,2050,3,R1,gas_stove,2040,all-year,all-week,night,0.05390000000
0,heat,2050,4,R1,heatpump,2040,all-year,all-week,night,0.26890000000
0,CO2f,2045,3,R1,gas_stove,2040,all-year,all-week,night,6.15340000000
0,CO2f,2050,3,R1,gas_stove,2040,all-year,all-week,night,6.04080000000
0,cook,2045,0,R1,electric_stove,2035,all-year,all-week,night,0.55220000000
0,cook,2045,1,R1,electric_stove,2040,all-year,all-week,night,1.23990000000
0,cook,2045,3,R1,gas_stove,2040,all-year,all-week,night,0.04120000000
0,cook,2050,1,R1,electric_stove,2040,all-year,all-week,night,1.18760000000
0,cook,2050,2,R1,electric_stove,2045,all-year,all-week,night,0.77300000000
0,cook,2050,3,R1,gas_stove,2040,all-year,all-week,night,0.03950000000
1,heat,2045,0,R1,electric_stove,2035,all-year,all-week,morning,1.08330000000
1,heat,2045,1,R1,electric_stove,2040,all-year,all-week,morning,2.43250000000
1,heat,2045,3,R1,gas_stove,2040,all-year,all-week,morning,0.08080000000
1,heat,2045,4,R1,heatpump,2040,all-year,all-week,morning,0.40330000000
1,heat,2050,1,R1,electric_stove,2040,all-year,all-week,morning,2.43250000000
1,heat,2050,2,R1,electric_stove,2045,all-year,all-week,morning,1.58330000000
1,heat,2050,3,R1,gas_stove,2040,all-year,all-week,morning,0.08080000000
1,heat,2050,4,R1,heatpump,2040,all-year,all-week,morning,0.40330000000
1,CO2f,2045,3,R1,gas_stove,2040,all-year,all-week,morning,9.35130000000
1,CO2f,2050,3,R1,gas_stove,2040,all-year,all-week,morning,9.06120000000
1,cook,2045,0,R1,electric_stove,2035,all-year,all-week,morning,0.85340000000
1,cook,2045,1,R1,electric_stove,2040,all-year,all-week,morning,1.91620000000
1,cook,2045,3,R1,gas_stove,2040,all-year,all-week,morning,0.06370000000
1,cook,2050,1,R1,electric_stove,2040,all-year,all-week,morning,1.78130000000
1,cook,2050,2,R1,electric_stove,2045,all-year,all-week,morning,1.15950000000
1,cook,2050,3,R1,gas_stove,2040,all-year,all-week,morning,0.05920000000
2,heat,2045,0,R1,electric_stove,2035,all-year,all-week,afternoon,0.72220000000
2,heat,2045,1,R1,electric_stove,2040,all-year,all-week,afternoon,1.62170000000
2,heat,2045,3,R1,gas_stove,2040,all-year,all-week,afternoon,0.05390000000
2,heat,2045,4,R1,heatpump,2040,all-year,all-week,afternoon,0.26890000000
2,heat,2050,1,R1,electric_stove,2040,all-year,all-week,afternoon,1.62170000000
2,heat,2050,2,R1,electric_stove,2045,all-year,all-week,afternoon,1.05560000000
2,heat,2050,3,R1,gas_stove,2040,all-year,all-week,afternoon,0.05390000000
