asset,year,region,installed,technology,capacity
0,2050,Eastern,2020,gassupply1,2233.73030000000
0,2055,Eastern,2020,gassupply1,1733.73030000000
0,2059,Eastern,2020,gassupply1,1733.73030000000
1,2050,Eastern,2025,gassupply1,1288.31470000000
1,2055,Eastern,2025,gassupply1,1288.31470000000
1,2059,Eastern,2025,gassupply1,1288.31470000000
1,2060,Eastern,2025,gassupply1,1288.31470000000
1,2064,Eastern,2025,gassupply1,1288.31470000000
2,2050,Eastern,2035,gassupply1,411.28830000000
2,2055,Eastern,2035,gassupply1,411.28830000000
2,2059,Eastern,2035,gassupply1,411.28830000000
2,2060,Eastern,2035,gassupply1,411.28830000000
2,2064,Eastern,2035,gassupply1,411.28830000000
2,2065,Eastern,2035,gassupply1,411.28830000000
2,2074,Eastern,2035,gassupply1,411.28830000000
3,2050,Eastern,2040,gassupply1,444.44440000000
3,2055,Eastern,2040,gassupply1,444.44440000000
3,2059,Eastern,2040,gassupply1,444.44440000000
3,2060,Eastern,2040,gassupply1,444.44440000000
3,2064,Eastern,2040,gassupply1,444.44440000000
3,2065,Eastern,2040,gassupply1,444.44440000000
3,2074,Eastern,2040,gassupply1,444.44440000000
3,2075,Eastern,2040,gassupply1,444.44440000000
3,2079,Eastern,2040,gassupply1,444.44440000000
4,2050,Eastern,2045,gassupply1,1222.22220000000
4,2055,Eastern,2045,gassupply1,1222.22220000000
4,2059,Eastern,2045,gassupply1,1222.22220000000
4,2060,Eastern,2045,gassupply1,1222.22220000000
4,2064,Eastern,2045,gassupply1,1222.22220000000
4,2065,Eastern,2045,gassupply1,1222.22220000000
4,2074,Eastern,2045,gassupply1,1222.22220000000
4,2075,Eastern,2045,gassupply1,1222.22220000000
4,2079,Eastern,2045,gassupply1,1222.22220000000
4,2080,Eastern,2045,gassupply1,1222.22220000000
4,2084,Eastern,2045,gassupply1,1222.22220000000
5,2050,Western,2020,gassupply1,2233.73030000000
5,2055,Western,2020,gassupply1,1733.73030000000
5,2059,Western,2020,gassupply1,1733.73030000000
6,2050,Western,2025,gassupply1,1288.31470000000
6,2055,Western,2025,gassupply1,1288.31470000000
6,2059,Western,2025,gassupply1,1288.31470000000
6,2060,Western,2025,gassupply1,1288.31470000000
6,2064,Western,2025,gassupply1,1288.31470000000
7,2050,Western,2035,gassupply1,411.28830000000
7,2055,Western,2035,gassupply1,411.28830000000
7,2059,Western,2035,gassupply1,411.28830000000
7,2060,Western,2035,gassupply1,411.28830000000
7,2064,Western,2035,gassupply1,411.28830000000
7,2065,Western,2035,gassupply1,411.28830000000
7,2074,Western,2035,gassupply1,411.28830000000
8,2050,Western,2040,gassupply1,444.44440000000
8,2055,Western,2040,gassupply1,444.44440000000
8,2059,Western,2040,gassupply1,444.44440000000
8,2060,Western,2040,gassupply1,444.44440000000
8,2064,Western,2040,gassupply1,444.44440000000
8,2065,Western,2040,gassupply1,444.44440000000
8,2074,Western,2040,gassupply1,444.44440000000
8,2075,Western,2040,gassupply1,444.44440000000
8,2079,Western,2040,gassupply1,444.44440000000
9,2050,Western,2045,gassupply1,1222.22220000000
9,2055,Western,2045,gassupply1,1222.22220000000
9,2059,Western,2045,gassupply1,1222.22220000000
9,2060,Western,2045,gassupply1,1222.22220000000
9,2064,Western,2045,gassupply1,1222.22220000000
9,2065,Western,2045,gassupply1,1222.22220000000
9,2074,Western,2045,gassupply1,1222.22220000000
9,2075,Western,2045,gassupply1,1222.22220000000
9,2079,Western,2045,gassupply1,1222.22220000000
9,2080,Western,2045,gassupply1,1222.22220000000
9,2084,Western,2045,gassupply1,1222.22220000000
