asset,year,technology,region,installed,capacity
0,2025,e_tec,Eastern,2020,70.00000000000
0,2030,e_tec,Eastern,2020,50.00000000000
0,2034,e_tec,Eastern,2020,10.00000000000
1,2025,e_tec,Western,2020,70.00000000000
1,2030,e_tec,Western,2020,50.00000000000
1,2034,e_tec,Western,2020,10.00000000000
2,2025,e_tec2,Eastern,2020,630.00000000000
2,2030,e_tec2,Eastern,2020,570.00000000000
2,2034,e_tec2,Eastern,2020,538.00000000000
3,2030,e_tec2,Eastern,2025,180.00000000000
3,2034,e_tec2,Eastern,2025,180.00000000000
3,2035,e_tec2,Eastern,2025,180.00000000000
3,2039,e_tec2,Eastern,2025,180.00000000000
4,2025,e_tec2,Western,2020,630.00000000000
4,2030,e_tec2,Western,2020,570.00000000000
4,2034,e_tec2,Western,2020,538.00000000000
5,2030,e_tec2,Western,2025,180.00000000000
5,2034,e_tec2,Western,2025,180.00000000000
5,2035,e_tec2,Western,2025,180.00000000000
5,2039,e_tec2,Western,2025,180.00000000000
