asset,year,region,installed,technology,capacity
1,2050,Eastern,2040,e_tec2,820.00000000000
1,2054,Eastern,2040,e_tec2,820.00000000000
2,2050,Eastern,2045,e_tec2,380.00000000000
2,2054,Eastern,2045,e_tec2,380.00000000000
2,2055,Eastern,2045,e_tec2,380.00000000000
2,2059,Eastern,2045,e_tec2,380.00000000000
3,2055,Eastern,2050,e_tec2,820.00000000000
3,2059,Eastern,2050,e_tec2,820.00000000000
3,2060,Eastern,2050,e_tec2,820.00000000000
3,2064,Eastern,2050,e_tec2,820.00000000000
5,2050,Western,2040,e_tec2,820.00000000000
5,2054,Western,2040,e_tec2,820.00000000000
6,2050,Western,2045,e_tec2,380.00000000000
6,2054,Western,2045,e_tec2,380.00000000000
6,2055,Western,2045,e_tec2,380.00000000000
6,2059,Western,2045,e_tec2,380.00000000000
7,2055,Western,2050,e_tec2,820.00000000000
7,2059,Western,2050,e_tec2,820.00000000000
7,2060,Western,2050,e_tec2,820.00000000000
7,2064,Western,2050,e_tec2,820.00000000000
