timeslice,commodity,asset,year,technology,installed,month,day,hour,supply
0,e_demand,0,2025,e_tec,2020,all-year,all-week,night,17.50000000000
0,e_demand,0,2030,e_tec,2020,all-year,all-week,night,12.50000000000
0,e_demand,1,2025,e_tec,2020,all-year,all-week,night,7.00000000000
0,e_demand,1,2030,e_tec,2020,all-year,all-week,night,5.00000000000
0,e_demand,2,2025,e_tec2,2020,all-year,all-week,night,70.00000000000
0,e_demand,2,2030,e_tec2,2020,all-year,all-week,night,80.00000000000
0,e_demand,3,2030,e_tec2,2025,all-year,all-week,night,45.00000000000
0,e_demand,4,2025,e_tec2,2020,all-year,all-week,night,23.33330000000
0,e_demand,4,2030,e_tec2,2020,all-year,all-week,night,26.66670000000
0,e_demand,5,2030,e_tec2,2025,all-year,all-week,night,18.00000000000
1,e_demand,0,2025,e_tec,2020,all-year,all-week,morning,11.66670000000
1,e_demand,0,2030,e_tec,2020,all-year,all-week,morning,8.33330000000
1,e_demand,1,2025,e_tec,2020,all-year,all-week,morning,14.00000000000
1,e_demand,1,2030,e_tec,2020,all-year,all-week,morning,10.00000000000
1,e_demand,2,2025,e_tec2,2020,all-year,all-week,morning,46.66670000000
1,e_demand,2,2030,e_tec2,2020,all-year,all-week,morning,53.33330000000
1,e_demand,3,2030,e_tec2,2025,all-year,all-week,morning,30.00000000000
1,e_demand,4,2025,e_tec2,2020,all-year,all-week,morning,46.66670000000
1,e_demand,4,2030,e_tec2,2020,all-year,all-week,morning,53.33330000000
1,e_demand,5,2030,e_tec2,2025,all-year,all-week,morning,36.00000000000
2,e_demand,0,2025,e_tec,2020,all-year,all-week,afternoon,29.16670000000
2,e_demand,0,2030,e_tec,2020,all-year,all-week,afternoon,20.83330000000
2,e_demand,1,2025,e_tec,2020,all-year,all-week,afternoon,35.00000000000
2,e_demand,1,2030,e_tec,2020,all-year,all-week,afternoon,25.00000000000
2,e_demand,2,2025,e_tec2,2020,all-year,all-week,afternoon,116.66670000000
2,e_demand,2,2030,e_tec2,2020,all-year,all-week,afternoon,133.33330000000
2,e_demand,3,2030,e_tec2,2025,all-year,all-week,afternoon,75.00000000000
2,e_demand,4,2025,e_tec2,2020,all-year,all-week,afternoon,116.66670000000
2,e_demand,4,2030,e_tec2,2020,all-year,all-week,afternoon,133.33330000000
2,e_demand,5,2030,e_tec2,2025,all-year,all-week,afternoon,90.00000000000
3,e_demand,0,2025,e_tec,2020,all-year,all-week,early-peak,5.83330000000
3,e_demand,0,2030,e_tec,2020,all-year,all-week,early-peak,4.16670000000
3,e_demand,1,2025,e_tec,2020,all-year,all-week,early-peak,7.00000000000
3,e_demand,1,2030,e_tec,2020,all-year,all-week,early-peak,5.00000000000
3,e_demand,2,2025,e_tec2,2020,all-year,all-week,early-peak,23.33330000000
3,e_demand,2,2030,e_tec2,2020,all-year,all-week,early-peak,26.66670000000
3,e_demand,3,2030,e_tec2,2025,all-year,all-week,early-peak,15.00000000000
3,e_demand,4,2025,e_tec2,2020,all-year,all-week,early-peak,23.33330000000
3,e_demand,4,2030,e_tec2,2020,all-year,all-week,early-peak,26.66670000000
3,e_demand,5,2030,e_tec2,2025,all-year,all-week,early-peak,18.00000000000
4,e_demand,0,2025,e_tec,2020,all-year,all-week,late-peak,2.91670000000
4,e_demand,0,2030,e_tec,2020,all-year,all-week,late-peak,2.08330000000
4,e_demand,1,2025,e_tec,2020,all-year,all-week,late-peak,3.50000000000
4,e_demand,1,2030,e_tec,2020,all-year,all-week,late-peak,2.50000000000
4,e_demand,2,2025,e_tec2,2020,all-year,all-week,late-peak,11.66670000000
4,e_demand,2,2030,e_tec2,2020,all-year,all-week,late-peak,13.33330000000
4,e_demand,3,2030,e_tec2,2025,all-year,all-week,late-peak,7.50000000000
4,e_demand,4,2025,e_tec2,2020,all-year,all-week,late-peak,11.66670000000
4,e_demand,4,2030,e_tec2,2020,all-year,all-week,late-peak,13.33330000000
4,e_demand,5,2030,e_tec2,2025,all-year,all-week,late-peak,9.00000000000
5,e_demand,0,2025,e_tec,2020,all-year,all-week,evening,2.91670000000
5,e_demand,0,2030,e_tec,2020,all-year,all-week,evening,2.08330000000
5,e_demand,1,2025,e_tec,2020,all-year,all-week,evening,3.50000000000
5,e_demand,1,2030,e_tec,2020,all-year,all-week,evening,2.50000000000
5,e_demand,2,2025,e_tec2,2020,all-year,all-week,evening,11.66670000000
5,e_demand,2,2030,e_tec2,2020,all-year,all-week,evening,13.33330000000
5,e_demand,3,2030,e_tec2,2025,all-year,all-week,evening,7.50000000000
5,e_demand,4,2025,e_tec2,2020,all-year,all-week,evening,11.66670000000
5,e_demand,4,2030,e_tec2,2020,all-year,all-week,evening,13.33330000000
5,e_demand,5,2030,e_tec2,2025,all-year,all-week,evening,9.00000000000
