ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit
Bioenergy,Eastern,2020,fixed,5,1,0,1,0,1,10000,100,10000,25,0.9,1000,40,0.1,energy,biomass,electricity,1
Coal,Eastern,2020,fixed,7,1,0,1,0,1,10000,100,10000,25,0.9,1000,40,0.1,energy,coal,electricity,1
CC,Eastern,2020,fixed,2,1,0,1,0,1,10000,100,10000,25,0.9,1000,40,0.1,energy,gas,electricity,1
CHP,Eastern,2020,fixed,2,1,0,1,0,1,10000,100,10000,25,0.9,1000,60,0.1,energy,gas,electricity,1
IC,Eastern,2020,fixed,3,1,0,1,0,1,10000,100,10000,25,0.9,1000,40,0.1,energy,diesel,electricity,1
Geothermal,Eastern,2020,fixed,4,1,0,1,0,1,10000,100,10000,25,0.9,1000,40,0.1,energy,heat,electricity,1
Hydroelectric,Eastern,2020,fixed,6,1,0,1,0,1,10000,100,10000,25,0.9,1000,100,0.1,energy,water,electricity,1
Thermoelectric,Eastern,2020,fixed,5,1,0,1,0,1,10000,100,10000,25,0.9,1000,40,0.1,energy,gas,electricity,1
Turbogas,Eastern,2020,fixed,4,1,0,1,0,1,10000,100,10000,25,0.9,1000,40,0.1,energy,gas,electricity,1
Wind,Eastern,2020,fixed,7,1,0,1,0,1,10000,100,10000,25,0.3,1000,100,0.1,energy,wind,electricity,1
Solar,Eastern,2020,fixed,6,1,0,1,0,1,10000,100,10000,25,0.3,1000,100,0.1,energy,sun,electricity,1
FB,Eastern,2020,fixed,6,1,0,1,0,1,10000,100,10000,25,0.9,1000,40,0.1,energy,coal,electricity,1
Nuclear,Eastern,2020,fixed,3,1,0,1,0,1,10000,100,10000,25,0.9,1000,50,0.1,energy,uranium,electricity,1
Bioenergy,Western,2020,fixed,5,1,0,1,0,1,10000,100,10000,25,0.9,1000,40,0.1,energy,biomass,electricity,1
Coal,Western,2020,fixed,7,1,0,1,0,1,10000,100,10000,25,0.9,1000,40,0.1,energy,coal,electricity,1
CC,Western,2020,fixed,8,1,0,1,0,1,10000,100,10000,25,0.9,1000,40,0.1,energy,gas,electricity,1
CHP,Western,2020,fixed,4,1,0,1,0,1,10000,100,10000,25,0.9,1000,40,0.1,energy,gas,electricity,1
IC,Western,2020,fixed,3,1,0,1,0,1,10000,100,10000,25,0.9,1000,40,0.1,energy,diesel,electricity,1
Geothermal,Western,2020,fixed,5,1,0,1,0,1,10000,100,10000,25,0.9,1000,40,0.1,energy,heat,electricity,1
Hydroelectric,Western,2020,fixed,8,1,0,1,0,1,10000,100,10000,25,0.9,1000,100,0.1,energy,water,electricity,1
Thermoelectric,Western,2020,fixed,4,1,0,1,0,1,10000,100,10000,25,0.9,1000,40,0.1,energy,gas,electricity,1
Turbogas,Western,2020,fixed,2,1,0,1,0,1,10000,100,10000,25,0.9,1000,40,0.1,energy,gas,electricity,1
Wind,Western,2020,fixed,8,1,0,1,0,1,10000,100,10000,25,0.3,1000,100,0.1,energy,wind,electricity,1
Solar,Western,2020,fixed,6,1,0,1,0,1,10000,100,10000,25,0.3,1000,100,0.1,energy,sun,electricity,1
FB,Western,2020,fixed,6,1,0,1,0,1,10000,100,10000,25,0.9,1000,40,0.1,energy,coal,electricity,1
Nuclear,Western,2020,fixed,3,1,0,1,0,1,10000,100,10000,25,0.9,1000,50,0.1,energy,uranium,electricity,1
