year,dst_region,asset,region,technology,installed,capacity
2025,Central,18,Central,BIO,2020,2.35260000000
2025,Central,20,Central,CC_GAS,2020,211.96100000000
2025,Central,23,Central,HYD_LS,2020,23.25020000000
2025,Central,24,Central,OC_GAS,2020,185.19770000000
2025,Central,25,Central,OC_OIL,2020,6.30720000000
2025,Central,26,Central,ON_WIND,2020,0.41690000000
2025,Central,27,Central,PV_GND,2020,8.77580000000
2025,Central,28,Central,PV_SSG,2020,15.16090000000
2025,Eastern,29,Eastern,BIO,2020,21.57440000000
2025,Eastern,31,Eastern,CC_GAS,2020,336.76350000000
2025,Eastern,33,Eastern,CC_OIL,2020,1.52630000000
2025,Eastern,34,Eastern,COAL,2020,175.23670000000
2025,Eastern,37,Eastern,CSP,2020,154.93640000000
2025,Eastern,40,Eastern,GEOTH,2020,6.81180000000
2025,Eastern,41,Eastern,HYD_LS,2020,407.91690000000
2025,Eastern,42,Eastern,NUCL,2020,103.05960000000
2025,Eastern,43,Eastern,OC_GAS,2020,98.32550000000
2025,Eastern,44,Eastern,OC_OIL,2020,222.65170000000
2025,Eastern,45,Eastern,ON_WIND,2020,194.95680000000
2025,Eastern,47,Eastern,PV_GND,2020,27.80210000000
2025,Eastern,48,Eastern,PV_SSG,2020,9.75950000000
2025,Western,95,Western,BIO,2020,12.72410000000
2025,Western,97,Western,CC_GAS,2020,407.19090000000
2025,Western,99,Western,CC_OIL,2020,44.55410000000
2025,Western,103,Western,FB,2020,36.58180000000
2025,Western,104,Western,GEOTH,2020,19.19660000000
2025,Western,105,Western,HYD_LS,2020,297.75600000000
2025,Western,107,Western,OC_GAS,2020,181.07850000000
2025,Western,108,Western,OC_OIL,2020,16.19750000000
2025,Western,109,Western,ON_WIND,2020,41.85330000000
2025,Western,110,Western,PV_GND,2020,144.90980000000
2025,Western,111,Western,PV_SSG,2020,48.69910000000
2025,Northwest,74,Northwest,CC_GAS,2020,289.92430000000
2025,Northwest,75,Northwest,CC_OIL,2020,0.60550000000
2025,Northwest,78,Northwest,HYD_LS,2020,59.36340000000
2025,Northwest,80,Northwest,OC_GAS,2020,98.89690000000
2025,Northwest,81,Northwest,OC_OIL,2020,40.46700000000
2025,Northwest,82,Northwest,ON_WIND,2020,0.12610000000
2025,Northwest,83,Northwest,PV_GND,2020,77.61890000000
2025,Northwest,84,Northwest,PV_SSG,2020,9.29660000000
2025,North,49,North,BIO,2020,0.71590000000
2025,North,50,North,CC_GAS,2020,298.92530000000
2025,North,51,North,COAL,2020,4.09970000000
2025,North,55,North,FC_H2,2020,584.92040000000
2025,North,57,North,HYD_LS,2020,3.01040000000
2025,North,58,North,HYD_SS,2020,706.40640000000
2025,North,60,North,OC_GAS,2020,15.01620000000
2025,North,61,North,OC_OIL,2020,46.78370000000
2025,North,62,North,PV_GND,2020,58.33280000000
2025,North,63,North,PV_SSG,2020,11.45270000000
2025,Northeast,64,Northeast,BIO,2020,5.33840000000
2025,Northeast,65,Northeast,CC_GAS,2020,788.94370000000
2025,Northeast,66,Northeast,COAL,2020,171.55580000000
2025,Northeast,67,Northeast,HYD_LS,2020,6.14950000000
2025,Northeast,69,Northeast,OC_GAS,2020,134.43100000000
2025,Northeast,70,Northeast,OC_OIL,2020,7.88720000000
2025,Northeast,71,Northeast,ON_WIND,2020,168.91940000000
2025,Northeast,72,Northeast,PV_GND,2020,54.97730000000
2025,Northeast,73,Northeast,PV_SSG,2020,20.95430000000
2025,BajaCalif,0,BajaCalif,CC_GAS,2020,236.08040000000
2025,BajaCalif,1,BajaCalif,GEOTH,2020,36.25690000000
2025,BajaCalif,2,BajaCalif,OC_GAS,2020,38.57290000000
2025,BajaCalif,4,BajaCalif,OC_OIL,2020,6.44970000000
