,RegionName,ProcessName,Timeslice,electricity,hfo,gas,geo,heat,CO2f,wind,cook,biomass,water,uranium,solar,coal,diesel,hydrogen,e_demand
0,Central,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.88888889
1,Central,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.88888889
2,Central,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.88888889
3,Central,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.88888889
4,Central,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.88888889
5,Central,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.88888889
0,Central,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.944444445
1,Central,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.944444445
2,Central,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.944444445
3,Central,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.944444445
4,Central,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.944444445
5,Central,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.944444445
0,Eastern,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.55555556
1,Eastern,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.55555556
2,Eastern,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.55555556
3,Eastern,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.55555556
4,Eastern,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.55555556
5,Eastern,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.55555556
0,Eastern,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.77777778
1,Eastern,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.77777778
2,Eastern,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.77777778
3,Eastern,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.77777778
4,Eastern,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.77777778
5,Eastern,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.77777778
0,Western,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.22222222
1,Western,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.22222222
2,Western,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.22222222
3,Western,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.22222222
4,Western,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.22222222
5,Western,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.22222222
0,Western,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.111111111
1,Western,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.111111111
2,Western,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.111111111
3,Western,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.111111111
4,Western,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.111111111
5,Western,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.111111111
0,Northwest,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.555555555
1,Northwest,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.555555555
2,Northwest,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.555555555
3,Northwest,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.555555555
4,Northwest,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.555555555
5,Northwest,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.555555555
0,Northwest,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.277777777
1,Northwest,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.277777777
2,Northwest,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.277777777
3,Northwest,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.277777777
4,Northwest,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.277777777
5,Northwest,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.277777777
0,North,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.222222223
1,North,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.222222223
2,North,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.222222223
3,North,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.222222223
4,North,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.222222223
5,North,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.222222223
0,North,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.611111111
1,North,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.611111111
2,North,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.611111111
3,North,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.611111111
