asset,year,technology,region,installed,capacity
0,2040,e_tec2,BajaCalif,2030,26.74220000000
0,2044,e_tec2,BajaCalif,2030,26.74220000000
1,2040,e_tec2,BajaCalif,2035,26.59110000000
1,2044,e_tec2,BajaCalif,2035,26.59110000000
1,2045,e_tec2,BajaCalif,2035,26.59110000000
1,2049,e_tec2,BajaCalif,2035,26.59110000000
2,2045,e_tec2,BajaCalif,2040,30.07560000000
2,2049,e_tec2,BajaCalif,2040,30.07560000000
2,2050,e_tec2,BajaCalif,2040,30.07560000000
2,2054,e_tec2,BajaCalif,2040,30.07560000000
3,2040,e_tec2,BajaCalifSouth,2030,3.14130000000
3,2044,e_tec2,BajaCalifSouth,2030,3.14130000000
4,2040,e_tec2,BajaCalifSouth,2035,6.19200000000
4,2044,e_tec2,BajaCalifSouth,2035,6.19200000000
4,2045,e_tec2,BajaCalifSouth,2035,6.19200000000
4,2049,e_tec2,BajaCalifSouth,2035,6.19200000000
5,2045,e_tec2,BajaCalifSouth,2040,3.72460000000
5,2049,e_tec2,BajaCalifSouth,2040,3.72460000000
5,2050,e_tec2,BajaCalifSouth,2040,3.72460000000
5,2054,e_tec2,BajaCalifSouth,2040,3.72460000000
6,2040,e_tec2,Central,2030,114.48500000000
6,2044,e_tec2,Central,2030,114.48500000000
7,2040,e_tec2,Central,2035,52.18170000000
7,2044,e_tec2,Central,2035,52.18170000000
7,2045,e_tec2,Central,2035,52.18170000000
7,2049,e_tec2,Central,2035,52.18170000000
8,2045,e_tec2,Central,2040,124.90160000000
8,2049,e_tec2,Central,2040,124.90160000000
8,2050,e_tec2,Central,2040,124.90160000000
8,2054,e_tec2,Central,2040,124.90160000000
9,2040,e_tec2,Eastern,2030,167.32450000000
9,2044,e_tec2,Eastern,2030,167.32450000000
10,2040,e_tec2,Eastern,2035,163.34220000000
10,2044,e_tec2,Eastern,2035,163.34220000000
10,2045,e_tec2,Eastern,2035,163.34220000000
10,2049,e_tec2,Eastern,2035,163.34220000000
11,2045,e_tec2,Eastern,2040,187.99120000000
11,2049,e_tec2,Eastern,2040,187.99120000000
11,2050,e_tec2,Eastern,2040,187.99120000000
11,2054,e_tec2,Eastern,2040,187.99120000000
12,2040,e_tec2,North,2030,35.66510000000
12,2044,e_tec2,North,2030,35.66510000000
13,2040,e_tec2,North,2035,51.00150000000
13,2044,e_tec2,North,2035,51.00150000000
13,2045,e_tec2,North,2035,51.00150000000
13,2049,e_tec2,North,2035,51.00150000000
14,2045,e_tec2,North,2040,41.08180000000
14,2049,e_tec2,North,2040,41.08180000000
14,2050,e_tec2,North,2040,41.08180000000
14,2054,e_tec2,North,2040,41.08180000000
15,2040,e_tec2,Northeast,2030,239.83260000000
15,2044,e_tec2,Northeast,2030,239.83260000000
16,2040,e_tec2,Northeast,2035,162.83410000000
16,2044,e_tec2,Northeast,2035,162.83410000000
16,2045,e_tec2,Northeast,2035,162.83410000000
16,2049,e_tec2,Northeast,2035,162.83410000000
17,2045,e_tec2,Northeast,2040,264.99930000000
17,2049,e_tec2,Northeast,2040,264.99930000000
17,2050,e_tec2,Northeast,2040,264.99930000000
17,2054,e_tec2,Northeast,2040,264.99930000000
18,2040,e_tec2,Northwest,2030,37.94320000000
18,2044,e_tec2,Northwest,2030,37.94320000000
19,2040,e_tec2,Northwest,2035,64.72350000000
19,2044,e_tec2,Northwest,2035,64.72350000000
19,2045,e_tec2,Northwest,2035,64.72350000000
19,2049,e_tec2,Northwest,2035,64.72350000000
20,2045,e_tec2,Northwest,2040,44.35990000000
20,2049,e_tec2,Northwest,2040,44.35990000000
20,2050,e_tec2,Northwest,2040,44.35990000000
20,2054,e_tec2,Northwest,2040,44.35990000000
21,2040,e_tec2,Peninsular,2030,6.89030000000
21,2044,e_tec2,Peninsular,2030,6.89030000000
22,2040,e_tec2,Peninsular,2035,9.10970000000
22,2044,e_tec2,Peninsular,2035,9.10970000000
22,2045,e_tec2,Peninsular,2035,9.10970000000
22,2049,e_tec2,Peninsular,2035,9.10970000000
23,2045,e_tec2,Peninsular,2040,7.89030000000
23,2049,e_tec2,Peninsular,2040,7.89030000000
23,2050,e_tec2,Peninsular,2040,7.89030000000
23,2054,e_tec2,Peninsular,2040,7.89030000000
24,2040,e_tec2,Western,2030,63.91030000000
24,2044,e_tec2,Western,2030,63.91030000000
25,2040,e_tec2,Western,2035,106.75640000000
25,2044,e_tec2,Western,2035,106.75640000000
25,2045,e_tec2,Western,2035,106.75640000000
25,2049,e_tec2,Western,2035,106.75640000000
26,2045,e_tec2,Western,2040,74.57690000000
26,2049,e_tec2,Western,2040,74.57690000000
26,2050,e_tec2,Western,2040,74.57690000000
26,2054,e_tec2,Western,2040,74.57690000000
