timeslice,commodity,asset,year,technology,installed,month,day,hour,supply
0,e_demand,0,2020,e_tec,2020,all-year,all-week,night,4.42770000000
0,e_demand,0,2025,e_tec,2020,all-year,all-week,night,3.32070000000
0,e_demand,1,2020,e_tec,2020,all-year,all-week,night,1.13690000000
0,e_demand,1,2025,e_tec,2020,all-year,all-week,night,0.85270000000
0,e_demand,2,2020,e_tec,2020,all-year,all-week,night,6.96630000000
0,e_demand,2,2025,e_tec,2020,all-year,all-week,night,5.22470000000
0,e_demand,3,2020,e_tec,2020,all-year,all-week,night,27.11310000000
0,e_demand,3,2025,e_tec,2020,all-year,all-week,night,20.33480000000
0,e_demand,4,2020,e_tec,2020,all-year,all-week,night,8.92630000000
0,e_demand,4,2025,e_tec,2020,all-year,all-week,night,6.69470000000
0,e_demand,5,2020,e_tec,2020,all-year,all-week,night,25.00020000000
0,e_demand,5,2025,e_tec,2020,all-year,all-week,night,18.75010000000
0,e_demand,6,2020,e_tec,2020,all-year,all-week,night,11.53110000000
0,e_demand,6,2025,e_tec,2020,all-year,all-week,night,8.64840000000
0,e_demand,7,2020,e_tec,2020,all-year,all-week,night,2.00000000000
0,e_demand,7,2025,e_tec,2020,all-year,all-week,night,2.16670000000
0,e_demand,8,2020,e_tec,2020,all-year,all-week,night,21.33330000000
0,e_demand,8,2025,e_tec,2020,all-year,all-week,night,17.74790000000
0,e_demand,9,2020,e_tec2,2020,all-year,all-week,night,2.21380000000
0,e_demand,9,2025,e_tec2,2020,all-year,all-week,night,3.90150000000
0,e_demand,10,2020,e_tec2,2020,all-year,all-week,night,0.56840000000
0,e_demand,10,2025,e_tec2,2020,all-year,all-week,night,0.42630000000
0,e_demand,11,2020,e_tec2,2020,all-year,all-week,night,3.48320000000
0,e_demand,11,2025,e_tec2,2020,all-year,all-week,night,17.34470000000
0,e_demand,12,2020,e_tec2,2020,all-year,all-week,night,13.55650000000
0,e_demand,12,2025,e_tec2,2020,all-year,all-week,night,24.44300000000
0,e_demand,13,2020,e_tec2,2020,all-year,all-week,night,4.46310000000
0,e_demand,13,2025,e_tec2,2020,all-year,all-week,night,5.04140000000
0,e_demand,14,2020,e_tec2,2020,all-year,all-week,night,12.50010000000
0,e_demand,14,2025,e_tec2,2020,all-year,all-week,night,35.77770000000
0,e_demand,15,2020,e_tec2,2020,all-year,all-week,night,5.76560000000
0,e_demand,15,2025,e_tec2,2020,all-year,all-week,night,5.25440000000
0,e_demand,16,2020,e_tec2,2020,all-year,all-week,night,1.80220000000
0,e_demand,16,2025,e_tec2,2020,all-year,all-week,night,1.35160000000
0,e_demand,17,2020,e_tec2,2020,all-year,all-week,night,11.83190000000
0,e_demand,17,2025,e_tec2,2020,all-year,all-week,night,8.87390000000
1,e_demand,0,2020,e_tec,2020,all-year,all-week,morning,4.42770000000
1,e_demand,0,2025,e_tec,2020,all-year,all-week,morning,3.32070000000
1,e_demand,1,2020,e_tec,2020,all-year,all-week,morning,1.13690000000
1,e_demand,1,2025,e_tec,2020,all-year,all-week,morning,0.85270000000
1,e_demand,2,2020,e_tec,2020,all-year,all-week,morning,6.96630000000
1,e_demand,2,2025,e_tec,2020,all-year,all-week,morning,5.22470000000
1,e_demand,3,2020,e_tec,2020,all-year,all-week,morning,27.11310000000
1,e_demand,3,2025,e_tec,2020,all-year,all-week,morning,20.33480000000
1,e_demand,4,2020,e_tec,2020,all-year,all-week,morning,8.92630000000
1,e_demand,4,2025,e_tec,2020,all-year,all-week,morning,6.69470000000
1,e_demand,5,2020,e_tec,2020,all-year,all-week,morning,25.00020000000
1,e_demand,5,2025,e_tec,2020,all-year,all-week,morning,18.75010000000
1,e_demand,6,2020,e_tec,2020,all-year,all-week,morning,11.53110000000
1,e_demand,6,2025,e_tec,2020,all-year,all-week,morning,8.64840000000
1,e_demand,7,2020,e_tec,2020,all-year,all-week,morning,2.00000000000
1,e_demand,7,2025,e_tec,2020,all-year,all-week,morning,2.16670000000
1,e_demand,8,2020,e_tec,2020,all-year,all-week,morning,21.33330000000
1,e_demand,8,2025,e_tec,2020,all-year,all-week,morning,17.74790000000
1,e_demand,9,2020,e_tec2,2020,all-year,all-week,morning,2.21380000000
1,e_demand,9,2025,e_tec2,2020,all-year,all-week,morning,3.90150000000
1,e_demand,10,2020,e_tec2,2020,all-year,all-week,morning,0.56840000000
1,e_demand,10,2025,e_tec2,2020,all-year,all-week,morning,0.42630000000
1,e_demand,11,2020,e_tec2,2020,all-year,all-week,morning,3.48320000000
1,e_demand,11,2025,e_tec2,2020,all-year,all-week,morning,17.34470000000
1,e_demand,12,2020,e_tec2,2020,all-year,all-week,morning,13.55650000000
1,e_demand,12,2025,e_tec2,2020,all-year,all-week,morning,24.44300000000
1,e_demand,13,2020,e_tec2,2020,all-year,all-week,morning,4.46310000000
1,e_demand,13,2025,e_tec2,2020,all-year,all-week,morning,5.04140000000
1,e_demand,14,2020,e_tec2,2020,all-year,all-week,morning,12.50010000000
1,e_demand,14,2025,e_tec2,2020,all-year,all-week,morning,35.77770000000
1,e_demand,15,2020,e_tec2,2020,all-year,all-week,morning,5.76560000000
1,e_demand,15,2025,e_tec2,2020,all-year,all-week,morning,5.25440000000
1,e_demand,16,2020,e_tec2,2020,all-year,all-week,morning,1.80220000000
1,e_demand,16,2025,e_tec2,2020,all-year,all-week,morning,1.35160000000
1,e_demand,17,2020,e_tec2,2020,all-year,all-week,morning,11.83190000000
1,e_demand,17,2025,e_tec2,2020,all-year,all-week,morning,8.87390000000
2,e_demand,0,2020,e_tec,2020,all-year,all-week,afternoon,4.42770000000
2,e_demand,0,2025,e_tec,2020,all-year,all-week,afternoon,3.32070000000
2,e_demand,1,2020,e_tec,2020,all-year,all-week,afternoon,1.13690000000
2,e_demand,1,2025,e_tec,2020,all-year,all-week,afternoon,0.85270000000
2,e_demand,2,2020,e_tec,2020,all-year,all-week,afternoon,6.96630000000
2,e_demand,2,2025,e_tec,2020,all-year,all-week,afternoon,5.22470000000
2,e_demand,3,2020,e_tec,2020,all-year,all-week,afternoon,27.11310000000
2,e_demand,3,2025,e_tec,2020,all-year,all-week,afternoon,20.33480000000
2,e_demand,4,2020,e_tec,2020,all-year,all-week,afternoon,8.92630000000
2,e_demand,4,2025,e_tec,2020,all-year,all-week,afternoon,6.69470000000
2,e_demand,5,2020,e_tec,2020,all-year,all-week,afternoon,25.00020000000
2,e_demand,5,2025,e_tec,2020,all-year,all-week,afternoon,18.75010000000
