Commodity,CommodityType,CommodityName,CommodityEmissionFactor_CO2,HeatRate,Unit
electricity,Energy,electricity,0,1,PJ
hfo,Energy,hfo,60,1,PJ
gas,Energy,gas,56.1,1,PJ
geo,Energy,geo,0,1,PJ
heat,Energy,heat,0,1,PJ
CO2f,Environmental,CO2f,0,1,kt
wind,Energy,wind,0,1,PJ
cook,Energy,cook,0,1,PJ
biomass,Energy,biomass,0,1,PJ
water,Energy,water,0,1,PJ
uranium,Energy,uranium,0,1,PJ
solar,Energy,solar,0,1,PJ
coal,Energy,coal,80,1,PJ
diesel,Energy,diesel,80,1,PJ
e_demand,Energy,e_demand,0,1,PJ
fruits,Demand,,,,Mt/Mha
vegt,Demand,,,,Mt/Mha
livestock,Demand,,,,Mt/Mha
dairy,Demand,,,,Mt/Mha
seeds,Demand,,,,Mt/Mha
cars,Demand,,,,pkm/PJ
buses,Demand,,,,pkm/PJ
psg_rail,Demand,,,,pkm/PJ
psg_air,Demand,,,,pkm/PJ
psg_mar,Demand,,,,pkm/PJ
lorries,Demand,,,,tkm/PJ
cargo_rail,Demand,,,,tkm/PJ
cargo_air,Demand,,,,tkm/PJ
cargo_mar,Demand,,,,tkm/PJ
light,Demand,,,,PJ
heat,Demand,,,,PJ
cool,Demand,,,,PJ
hwater,Demand,,,,PJ
cook,Demand,,,,PJ
appl,Demand,,,,PJ
