asset,year,region,installed,technology,capacity
0,2040,BajaCalif,2020,Proc_Diesel,300050.00000000000
0,2045,BajaCalif,2020,Proc_Diesel,300050.00000000000
0,2049,BajaCalif,2020,Proc_Diesel,300050.00000000000
1,2040,BajaCalif,2020,Proc_ethanol,200000.00000000000
1,2045,BajaCalif,2020,Proc_ethanol,200000.00000000000
1,2049,BajaCalif,2020,Proc_ethanol,200000.00000000000
2,2040,BajaCalif,2020,Proc_hydrogen,300050.00000000000
2,2045,BajaCalif,2020,Proc_hydrogen,300050.00000000000
2,2049,BajaCalif,2020,Proc_hydrogen,300050.00000000000
3,2040,BajaCalifSouth,2020,Proc_Diesel,300050.00000000000
3,2045,BajaCalifSouth,2020,Proc_Diesel,300050.00000000000
3,2049,BajaCalifSouth,2020,Proc_Diesel,300050.00000000000
4,2040,BajaCalifSouth,2020,Proc_ethanol,200000.00000000000
4,2045,BajaCalifSouth,2020,Proc_ethanol,200000.00000000000
4,2049,BajaCalifSouth,2020,Proc_ethanol,200000.00000000000
5,2040,BajaCalifSouth,2020,Proc_hydrogen,300050.00000000000
5,2045,BajaCalifSouth,2020,Proc_hydrogen,300050.00000000000
5,2049,BajaCalifSouth,2020,Proc_hydrogen,300050.00000000000
6,2040,Central,2020,Proc_Diesel,300050.00000000000
6,2045,Central,2020,Proc_Diesel,300050.00000000000
6,2049,Central,2020,Proc_Diesel,300050.00000000000
7,2040,Central,2020,Proc_ethanol,200000.00000000000
7,2045,Central,2020,Proc_ethanol,200000.00000000000
7,2049,Central,2020,Proc_ethanol,200000.00000000000
8,2040,Central,2020,Proc_hydrogen,300050.00000000000
8,2045,Central,2020,Proc_hydrogen,300050.00000000000
8,2049,Central,2020,Proc_hydrogen,300050.00000000000
9,2040,Eastern,2020,Proc_Diesel,300050.00000000000
9,2045,Eastern,2020,Proc_Diesel,300050.00000000000
9,2049,Eastern,2020,Proc_Diesel,300050.00000000000
10,2040,Eastern,2020,Proc_ethanol,200000.00000000000
10,2045,Eastern,2020,Proc_ethanol,200000.00000000000
10,2049,Eastern,2020,Proc_ethanol,200000.00000000000
11,2040,Eastern,2020,Proc_hydrogen,300050.00000000000
11,2045,Eastern,2020,Proc_hydrogen,300050.00000000000
11,2049,Eastern,2020,Proc_hydrogen,300050.00000000000
12,2040,North,2020,Proc_Diesel,300050.00000000000
12,2045,North,2020,Proc_Diesel,300050.00000000000
12,2049,North,2020,Proc_Diesel,300050.00000000000
13,2040,North,2020,Proc_ethanol,200000.00000000000
13,2045,North,2020,Proc_ethanol,200000.00000000000
13,2049,North,2020,Proc_ethanol,200000.00000000000
14,2040,North,2020,Proc_hydrogen,300050.00000000000
14,2045,North,2020,Proc_hydrogen,300050.00000000000
14,2049,North,2020,Proc_hydrogen,300050.00000000000
15,2040,Northeast,2020,Proc_Diesel,300050.00000000000
15,2045,Northeast,2020,Proc_Diesel,300050.00000000000
15,2049,Northeast,2020,Proc_Diesel,300050.00000000000
16,2040,Northeast,2020,Proc_ethanol,200000.00000000000
16,2045,Northeast,2020,Proc_ethanol,200000.00000000000
16,2049,Northeast,2020,Proc_ethanol,200000.00000000000
17,2040,Northeast,2020,Proc_hydrogen,300050.00000000000
17,2045,Northeast,2020,Proc_hydrogen,300050.00000000000
17,2049,Northeast,2020,Proc_hydrogen,300050.00000000000
18,2040,Northwest,2020,Proc_Diesel,300050.00000000000
18,2045,Northwest,2020,Proc_Diesel,300050.00000000000
18,2049,Northwest,2020,Proc_Diesel,300050.00000000000
19,2040,Northwest,2020,Proc_ethanol,200000.00000000000
19,2045,Northwest,2020,Proc_ethanol,200000.00000000000
19,2049,Northwest,2020,Proc_ethanol,200000.00000000000
20,2040,Northwest,2020,Proc_hydrogen,300050.00000000000
20,2045,Northwest,2020,Proc_hydrogen,300050.00000000000
20,2049,Northwest,2020,Proc_hydrogen,300050.00000000000
21,2040,Peninsular,2020,Proc_Diesel,300050.00000000000
21,2045,Peninsular,2020,Proc_Diesel,300050.00000000000
21,2049,Peninsular,2020,Proc_Diesel,300050.00000000000
22,2040,Peninsular,2020,Proc_ethanol,200000.00000000000
22,2045,Peninsular,2020,Proc_ethanol,200000.00000000000
22,2049,Peninsular,2020,Proc_ethanol,200000.00000000000
23,2040,Peninsular,2020,Proc_hydrogen,300050.00000000000
23,2045,Peninsular,2020,Proc_hydrogen,300050.00000000000
23,2049,Peninsular,2020,Proc_hydrogen,300050.00000000000
24,2040,Western,2020,Proc_Diesel,300050.00000000000
24,2045,Western,2020,Proc_Diesel,300050.00000000000
24,2049,Western,2020,Proc_Diesel,300050.00000000000
25,2040,Western,2020,Proc_ethanol,200000.00000000000
25,2045,Western,2020,Proc_ethanol,200000.00000000000
25,2049,Western,2020,Proc_ethanol,200000.00000000000
26,2040,Western,2020,Proc_hydrogen,300050.00000000000
26,2045,Western,2020,Proc_hydrogen,300050.00000000000
26,2049,Western,2020,Proc_hydrogen,300050.00000000000
