timeslice,commodity,asset,year,dst_region,technology,installed,month,day,hour,supply
0,electricity,0,2035,BajaCalif,GAS_GT,2020,all-year,all-week,night,8.95850000000
0,electricity,0,2040,BajaCalif,GAS_GT,2020,all-year,all-week,night,6.71210000000
0,electricity,1,2035,BajaCalif,GEOTH,2020,all-year,all-week,night,2.15100000000
0,electricity,1,2040,BajaCalif,GEOTH,2020,all-year,all-week,night,1.61160000000
0,electricity,2,2035,BajaCalif,OIL,2020,all-year,all-week,night,0.00710000000
0,electricity,2,2040,BajaCalif,OIL,2020,all-year,all-week,night,0.00530000000
0,electricity,3,2035,BajaCalif,PV_GND,2020,all-year,all-week,night,0.00400000000
0,electricity,3,2040,BajaCalif,PV_GND,2020,all-year,all-week,night,0.00300000000
0,electricity,4,2035,BajaCalif,WIND_ON,2020,all-year,all-week,night,0.00890000000
0,electricity,4,2040,BajaCalif,WIND_ON,2020,all-year,all-week,night,0.00660000000
0,electricity,5,2035,BajaCalifSouth,GAS_GT,2020,all-year,all-week,night,0.45010000000
0,electricity,5,2040,BajaCalifSouth,GAS_GT,2020,all-year,all-week,night,0.33720000000
0,electricity,6,2035,BajaCalifSouth,OIL,2020,all-year,all-week,night,1.68180000000
0,electricity,6,2040,BajaCalifSouth,OIL,2020,all-year,all-week,night,1.26010000000
0,electricity,7,2035,BajaCalifSouth,PV_GND,2020,all-year,all-week,night,0.04780000000
0,electricity,7,2040,BajaCalifSouth,PV_GND,2020,all-year,all-week,night,0.03580000000
0,electricity,9,2035,BajaCalifSouth,WIND_ON,2020,all-year,all-week,night,0.04430000000
0,electricity,9,2040,BajaCalifSouth,WIND_ON,2020,all-year,all-week,night,0.03320000000
0,electricity,10,2035,Central,BIO,2020,all-year,all-week,night,0.00220000000
0,electricity,10,2040,Central,BIO,2020,all-year,all-week,night,0.00170000000
0,electricity,11,2035,Central,GAS_GT,2020,all-year,all-week,night,16.63830000000
0,electricity,11,2035,Eastern,GAS_GT,2020,all-year,all-week,night,4.50830000000
0,electricity,11,2035,Western,GAS_GT,2020,all-year,all-week,night,5.38940000000
0,electricity,11,2040,Central,GAS_GT,2020,all-year,all-week,night,12.46620000000
