ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050,2055
resASHeatPump,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resASHeatPump_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resBoilerBiomass,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resBoilerBiomass_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resBoilerElectriciy_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resBoilerNG,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resBoilerNG_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resCHPBiomass,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resCHPNG,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resCookingBiomass,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resCookingCoal,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resCookingKerosene,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resCookingNG,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resDHBiomass,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resDHHeatPump,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resDHNG,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resDHSolarWater,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resDHThermalStorage,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resDHWasteHeatOfftake,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resElectricNightStorage,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA_storage,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resGSHeatPump,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resGSHeatPump_solarT,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resHWaterBiomass,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resHWaterNG,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resMicroCHPBiomass,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resMicroCHPNG,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resNGSA,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
resAppliancesAdv,BajaCalif,PJ/y,0,0,0,0,0,0,0,0
