timeslice,commodity,asset,year,dst_region,technology,installed,month,day,hour,supply
0,electricity,0,2025,BajaCalif,CC_GAS,2020,all-year,all-week,night,37.37940000000
0,electricity,0,2030,BajaCalif,CC_GAS,2020,all-year,all-week,night,26.46430000000
0,electricity,1,2030,BajaCalif,C_H2,2025,all-year,all-week,night,387.28250000000
0,electricity,2,2025,BajaCalif,GEOTH,2020,all-year,all-week,night,5.74070000000
0,electricity,3,2025,BajaCalif,OC_GAS,2020,all-year,all-week,night,6.10740000000
0,electricity,3,2030,BajaCalif,OC_GAS,2020,all-year,all-week,night,2.66210000000
0,electricity,4,2025,BajaCalif,OC_OIL,2020,all-year,all-week,night,1.02120000000
0,electricity,4,2030,BajaCalif,OC_OIL,2020,all-year,all-week,night,0.12810000000
0,electricity,5,2025,BajaCalif,ON_WIND,2020,all-year,all-week,night,1.95730000000
0,electricity,5,2030,BajaCalif,ON_WIND,2020,all-year,all-week,night,1.95730000000
0,electricity,6,2025,BajaCalif,PV_GND,2020,all-year,all-week,night,0.45600000000
0,electricity,6,2030,BajaCalif,PV_GND,2020,all-year,all-week,night,0.01040000000
0,electricity,7,2025,BajaCalif,PV_SSG,2020,all-year,all-week,night,0.66910000000
0,electricity,7,2030,BajaCalif,PV_SSG,2020,all-year,all-week,night,0.66910000000
0,electricity,8,2025,BajaCalifSouth,CC_OIL,2020,all-year,all-week,night,5.79700000000
0,electricity,9,2025,BajaCalifSouth,GEOTH,2020,all-year,all-week,night,0.09990000000
0,electricity,9,2030,BajaCalifSouth,GEOTH,2020,all-year,all-week,night,0.09990000000
0,electricity,10,2025,BajaCalifSouth,OC_GAS,2020,all-year,all-week,night,0.45940000000
0,electricity,10,2030,BajaCalifSouth,OC_GAS,2020,all-year,all-week,night,0.45940000000
0,electricity,11,2030,BajaCalif,OC_GAS,2025,all-year,all-week,night,1085.55510000000
0,electricity,12,2025,BajaCalifSouth,OC_OIL,2020,all-year,all-week,night,9.60160000000
0,electricity,12,2030,BajaCalifSouth,OC_OIL,2020,all-year,all-week,night,5.63040000000
0,electricity,13,2025,Northwest,ON_WIND,2020,all-year,all-week,night,666.49230000000
0,electricity,13,2030,Northwest,ON_WIND,2020,all-year,all-week,night,666.49230000000
0,electricity,14,2030,Northwest,ON_WIND,2025,all-year,all-week,night,1110.52810000000
0,electricity,15,2025,BajaCalifSouth,PV_GND,2020,all-year,all-week,night,0.55890000000
0,electricity,15,2030,BajaCalifSouth,PV_GND,2020,all-year,all-week,night,0.55890000000
0,electricity,16,2025,BajaCalifSouth,PV_SSG,2020,all-year,all-week,night,0.16970000000
0,electricity,16,2030,BajaCalifSouth,PV_SSG,2020,all-year,all-week,night,0.16970000000
0,electricity,17,2025,Central,BIO,2020,all-year,all-week,night,0.37250000000
0,electricity,17,2030,Central,BIO,2020,all-year,all-week,night,0.36280000000
0,electricity,18,2025,Central,CC_GAS,2020,all-year,all-week,night,33.56050000000
0,electricity,18,2030,Central,CC_GAS,2020,all-year,all-week,night,12.21040000000
0,electricity,20,2025,Peninsular,CSP,2020,all-year,all-week,night,485.14470000000
0,electricity,20,2030,Peninsular,CSP,2020,all-year,all-week,night,485.14470000000
0,electricity,21,2030,Peninsular,CSP,2025,all-year,all-week,night,397.12850000000
0,electricity,22,2025,Central,HYD_LS,2020,all-year,all-week,night,3.68130000000
0,electricity,22,2030,Central,HYD_LS,2020,all-year,all-week,night,2.98490000000
0,electricity,23,2025,Central,OC_GAS,2020,all-year,all-week,night,29.32300000000
0,electricity,23,2030,Central,OC_GAS,2020,all-year,all-week,night,11.26240000000
0,electricity,24,2025,Central,OC_OIL,2020,all-year,all-week,night,0.99860000000
0,electricity,24,2030,Central,OC_OIL,2020,all-year,all-week,night,0.72900000000
0,electricity,25,2025,Central,ON_WIND,2020,all-year,all-week,night,0.06600000000
