asset,year,region,installed,technology,capacity
3,2050,BajaCalif,2045,Proc_Diesel,400000.00000000000
3,2055,BajaCalif,2045,Proc_Diesel,400000.00000000000
3,2074,BajaCalif,2045,Proc_Diesel,400000.00000000000
4,2050,BajaCalif,2045,Proc_hydrogen,400000.00000000000
4,2055,BajaCalif,2045,Proc_hydrogen,400000.00000000000
4,2074,BajaCalif,2045,Proc_hydrogen,400000.00000000000
8,2050,BajaCalifSouth,2045,Proc_Diesel,400000.00000000000
8,2055,BajaCalifSouth,2045,Proc_Diesel,400000.00000000000
8,2074,BajaCalifSouth,2045,Proc_Diesel,400000.00000000000
9,2050,BajaCalifSouth,2045,Proc_hydrogen,400000.00000000000
9,2055,BajaCalifSouth,2045,Proc_hydrogen,400000.00000000000
9,2074,BajaCalifSouth,2045,Proc_hydrogen,400000.00000000000
13,2050,Central,2045,Proc_Diesel,400000.00000000000
13,2055,Central,2045,Proc_Diesel,400000.00000000000
13,2074,Central,2045,Proc_Diesel,400000.00000000000
14,2050,Central,2045,Proc_hydrogen,400000.00000000000
14,2055,Central,2045,Proc_hydrogen,400000.00000000000
14,2074,Central,2045,Proc_hydrogen,400000.00000000000
18,2050,Eastern,2045,Proc_Diesel,400000.00000000000
18,2055,Eastern,2045,Proc_Diesel,400000.00000000000
18,2074,Eastern,2045,Proc_Diesel,400000.00000000000
19,2050,Eastern,2045,Proc_hydrogen,400000.00000000000
19,2055,Eastern,2045,Proc_hydrogen,400000.00000000000
19,2074,Eastern,2045,Proc_hydrogen,400000.00000000000
23,2050,North,2045,Proc_Diesel,400000.00000000000
23,2055,North,2045,Proc_Diesel,400000.00000000000
23,2074,North,2045,Proc_Diesel,400000.00000000000
24,2050,North,2045,Proc_hydrogen,400000.00000000000
24,2055,North,2045,Proc_hydrogen,400000.00000000000
24,2074,North,2045,Proc_hydrogen,400000.00000000000
28,2050,Northeast,2045,Proc_Diesel,400000.00000000000
28,2055,Northeast,2045,Proc_Diesel,400000.00000000000
28,2074,Northeast,2045,Proc_Diesel,400000.00000000000
29,2050,Northeast,2045,Proc_hydrogen,400000.00000000000
29,2055,Northeast,2045,Proc_hydrogen,400000.00000000000
29,2074,Northeast,2045,Proc_hydrogen,400000.00000000000
33,2050,Northwest,2045,Proc_Diesel,400000.00000000000
33,2055,Northwest,2045,Proc_Diesel,400000.00000000000
33,2074,Northwest,2045,Proc_Diesel,400000.00000000000
34,2050,Northwest,2045,Proc_hydrogen,400000.00000000000
34,2055,Northwest,2045,Proc_hydrogen,400000.00000000000
34,2074,Northwest,2045,Proc_hydrogen,400000.00000000000
38,2050,Peninsular,2045,Proc_Diesel,400000.00000000000
38,2055,Peninsular,2045,Proc_Diesel,400000.00000000000
38,2074,Peninsular,2045,Proc_Diesel,400000.00000000000
39,2050,Peninsular,2045,Proc_hydrogen,400000.00000000000
39,2055,Peninsular,2045,Proc_hydrogen,400000.00000000000
39,2074,Peninsular,2045,Proc_hydrogen,400000.00000000000
43,2050,Western,2045,Proc_Diesel,400000.00000000000
43,2055,Western,2045,Proc_Diesel,400000.00000000000
43,2074,Western,2045,Proc_Diesel,400000.00000000000
44,2050,Western,2045,Proc_hydrogen,400000.00000000000
44,2055,Western,2045,Proc_hydrogen,400000.00000000000
44,2074,Western,2045,Proc_hydrogen,400000.00000000000
