asset,year,technology,region,installed,capacity
0,2035,com_tec,BajaCalif,2020,13.28300000000
1,2040,com_tec,BajaCalif,2035,26654.76460000000
1,2045,com_tec,BajaCalif,2035,26654.76460000000
1,2049,com_tec,BajaCalif,2035,26654.76460000000
2,2035,com_tec,BajaCalifSouth,2020,3.41060000000
3,2040,com_tec,BajaCalifSouth,2035,1708.71980000000
3,2045,com_tec,BajaCalifSouth,2035,1708.71980000000
3,2049,com_tec,BajaCalifSouth,2035,1708.71980000000
4,2035,com_tec,Central,2020,20.89890000000
5,2040,com_tec,Central,2035,30470.35250000000
5,2045,com_tec,Central,2035,30470.35250000000
5,2049,com_tec,Central,2035,30470.35250000000
6,2035,com_tec,Eastern,2020,81.33920000000
7,2040,com_tec,Eastern,2035,40000.00000000000
7,2045,com_tec,Eastern,2035,40000.00000000000
7,2049,com_tec,Eastern,2035,40000.00000000000
8,2035,com_tec,North,2020,26.77880000000
9,2040,com_tec,North,2035,33416.17600000000
9,2045,com_tec,North,2035,33416.17600000000
9,2049,com_tec,North,2035,33416.17600000000
10,2035,com_tec,Northeast,2020,75.00050000000
11,2040,com_tec,Northeast,2035,40000.00000000000
11,2045,com_tec,Northeast,2035,40000.00000000000
11,2049,com_tec,Northeast,2035,40000.00000000000
12,2035,com_tec,Northwest,2020,34.59340000000
13,2040,com_tec,Northwest,2035,37331.30100000000
13,2045,com_tec,Northwest,2035,37331.30100000000
13,2049,com_tec,Northwest,2035,37331.30100000000
14,2035,com_tec,Peninsular,2020,10.81290000000
15,2040,com_tec,Peninsular,2035,5417.26590000000
15,2045,com_tec,Peninsular,2035,5417.26590000000
15,2049,com_tec,Peninsular,2035,5417.26590000000
16,2035,com_tec,Western,2020,70.99150000000
17,2040,com_tec,Western,2035,40000.00000000000
17,2045,com_tec,Western,2035,40000.00000000000
17,2049,com_tec,Western,2035,40000.00000000000
18,2035,com_tec2,BajaCalif,2020,6.64150000000
19,2040,com_tec2,BajaCalif,2035,23327.38230000000
19,2045,com_tec2,BajaCalif,2035,23327.38230000000
19,2049,com_tec2,BajaCalif,2035,23327.38230000000
20,2035,com_tec2,BajaCalifSouth,2020,1.70530000000
21,2040,com_tec2,BajaCalifSouth,2035,854.35990000000
21,2045,com_tec2,BajaCalifSouth,2035,854.35990000000
21,2049,com_tec2,BajaCalifSouth,2035,854.35990000000
22,2035,com_tec2,Central,2020,10.44950000000
23,2040,com_tec2,Central,2035,25235.17630000000
23,2045,com_tec2,Central,2035,25235.17630000000
23,2049,com_tec2,Central,2035,25235.17630000000
24,2035,com_tec2,Eastern,2020,40.66960000000
25,2040,com_tec2,Eastern,2035,40000.00000000000
25,2045,com_tec2,Eastern,2035,40000.00000000000
25,2049,com_tec2,Eastern,2035,40000.00000000000
26,2035,com_tec2,North,2020,13.38940000000
27,2040,com_tec2,North,2035,26708.08800000000
27,2045,com_tec2,North,2035,26708.08800000000
27,2049,com_tec2,North,2035,26708.08800000000
28,2035,com_tec2,Northeast,2020,37.50020000000
29,2040,com_tec2,Northeast,2035,38787.62320000000
29,2045,com_tec2,Northeast,2035,38787.62320000000
29,2049,com_tec2,Northeast,2035,38787.62320000000
30,2035,com_tec2,Northwest,2020,17.29670000000
31,2040,com_tec2,Northwest,2035,28665.65050000000
31,2045,com_tec2,Northwest,2035,28665.65050000000
31,2049,com_tec2,Northwest,2035,28665.65050000000
32,2035,com_tec2,Peninsular,2020,5.40650000000
33,2040,com_tec2,Peninsular,2035,2708.63300000000
33,2045,com_tec2,Peninsular,2035,2708.63300000000
33,2049,com_tec2,Peninsular,2035,2708.63300000000
34,2035,com_tec2,Western,2020,35.49570000000
35,2040,com_tec2,Western,2035,37783.36520000000
35,2045,com_tec2,Western,2035,37783.36520000000
35,2049,com_tec2,Western,2035,37783.36520000000
