asset,year,region,installed,technology,capacity
0,2025,BajaCalif,2020,bus_battery,0.52000000000
0,2030,BajaCalif,2020,bus_battery,0.34000000000
0,2035,BajaCalif,2020,bus_battery,0.18000000000
1,2025,BajaCalif,2020,bus_cng,0.52000000000
1,2030,BajaCalif,2020,bus_cng,0.34000000000
1,2035,BajaCalif,2020,bus_cng,0.18000000000
2,2025,BajaCalif,2020,bus_diesel,4.14000000000
2,2030,BajaCalif,2020,bus_diesel,2.76000000000
2,2035,BajaCalif,2020,bus_diesel,1.38000000000
3,2025,BajaCalif,2020,bus_hybriddiesel,0.52000000000
3,2030,BajaCalif,2020,bus_hybriddiesel,0.34000000000
3,2035,BajaCalif,2020,bus_hybriddiesel,0.18000000000
4,2025,BajaCalif,2020,cars_battery,1.92000000000
4,2030,BajaCalif,2020,cars_battery,1.28000000000
4,2035,BajaCalif,2020,cars_battery,0.64000000000
5,2025,BajaCalif,2020,cars_diesel,5.78000000000
5,2030,BajaCalif,2020,cars_diesel,3.86000000000
5,2035,BajaCalif,2020,cars_diesel,1.92000000000
6,2025,BajaCalif,2020,cars_hybriddiesel,0.96000000000
6,2030,BajaCalif,2020,cars_hybriddiesel,0.64000000000
6,2035,BajaCalif,2020,cars_hybriddiesel,0.32000000000
7,2025,BajaCalif,2020,cars_hybridpetrol,1.92000000000
7,2030,BajaCalif,2020,cars_hybridpetrol,1.28000000000
7,2035,BajaCalif,2020,cars_hybridpetrol,0.64000000000
8,2025,BajaCalif,2020,cars_lpg,0.48000000000
8,2030,BajaCalif,2020,cars_lpg,0.32000000000
8,2035,BajaCalif,2020,cars_lpg,0.16000000000
9,2025,BajaCalif,2020,cars_petrol,83.82000000000
9,2030,BajaCalif,2020,cars_petrol,55.88000000000
9,2035,BajaCalif,2020,cars_petrol,27.94000000000
10,2025,BajaCalif,2020,cars_pluginhybriddiesel,0.96000000000
10,2030,BajaCalif,2020,cars_pluginhybriddiesel,0.64000000000
10,2035,BajaCalif,2020,cars_pluginhybriddiesel,0.32000000000
11,2025,BajaCalif,2020,freightjet_kerosene,0.40000000000
11,2030,BajaCalif,2020,freightjet_kerosene,0.26000000000
11,2035,BajaCalif,2020,freightjet_kerosene,0.14000000000
12,2025,BajaCalif,2020,freighttrain_diesel,1.42000000000
12,2030,BajaCalif,2020,freighttrain_diesel,0.94000000000
12,2035,BajaCalif,2020,freighttrain_diesel,0.48000000000
13,2025,BajaCalif,2020,freighttrain_electric,0.02000000000
13,2030,BajaCalif,2020,freighttrain_electric,0.02000000000
14,2025,BajaCalif,2020,heavylorry_cng,0.52000000000
14,2030,BajaCalif,2020,heavylorry_cng,0.34000000000
14,2035,BajaCalif,2020,heavylorry_cng,0.18000000000
15,2025,BajaCalif,2020,heavylorry_diesel,4.14000000000
15,2030,BajaCalif,2020,heavylorry_diesel,2.76000000000
15,2035,BajaCalif,2020,heavylorry_diesel,1.38000000000
16,2025,BajaCalif,2020,heavylorry_hybriddiesel,0.52000000000
16,2030,BajaCalif,2020,heavylorry_hybriddiesel,0.34000000000
16,2035,BajaCalif,2020,heavylorry_hybriddiesel,0.18000000000
17,2025,BajaCalif,2020,heavylorry_petrol,4.14000000000
17,2030,BajaCalif,2020,heavylorry_petrol,2.76000000000
17,2035,BajaCalif,2020,heavylorry_petrol,1.38000000000
18,2025,BajaCalif,2020,lightlorry_cng,0.52000000000
18,2030,BajaCalif,2020,lightlorry_cng,0.34000000000
18,2035,BajaCalif,2020,lightlorry_cng,0.18000000000
19,2025,BajaCalif,2020,lightlorry_diesel,4.14000000000
19,2030,BajaCalif,2020,lightlorry_diesel,2.76000000000
19,2035,BajaCalif,2020,lightlorry_diesel,1.38000000000
20,2025,BajaCalif,2020,lightlorry_hybriddiesel,0.52000000000
20,2030,BajaCalif,2020,lightlorry_hybriddiesel,0.34000000000
20,2035,BajaCalif,2020,lightlorry_hybriddiesel,0.18000000000
21,2025,BajaCalif,2020,lightlorry_hybridpetrol,0.38000000000
21,2030,BajaCalif,2020,lightlorry_hybridpetrol,0.26000000000
21,2035,BajaCalif,2020,lightlorry_hybridpetrol,0.12000000000
22,2025,BajaCalif,2020,lightlorry_lpg,0.52000000000
22,2030,BajaCalif,2020,lightlorry_lpg,0.34000000000
22,2035,BajaCalif,2020,lightlorry_lpg,0.18000000000
23,2025,BajaCalif,2020,lightlorry_petrol,4.14000000000
23,2030,BajaCalif,2020,lightlorry_petrol,2.76000000000
23,2035,BajaCalif,2020,lightlorry_petrol,1.38000000000
24,2025,BajaCalif,2020,lightlorry_pluginhybriddiesel,0.26000000000
24,2030,BajaCalif,2020,lightlorry_pluginhybriddiesel,0.18000000000
24,2035,BajaCalif,2020,lightlorry_pluginhybriddiesel,0.08000000000
25,2025,BajaCalif,2020,lightlorry_pluginhybridpetrol,0.38000000000
25,2030,BajaCalif,2020,lightlorry_pluginhybridpetrol,0.26000000000
25,2035,BajaCalif,2020,lightlorry_pluginhybridpetrol,0.12000000000
26,2025,BajaCalif,2020,passengerjet_kerosene,2.66000000000
26,2030,BajaCalif,2020,passengerjet_kerosene,1.78000000000
26,2035,BajaCalif,2020,passengerjet_kerosene,0.88000000000
27,2025,BajaCalif,2020,passengertrain_diesel,0.10000000000
27,2030,BajaCalif,2020,passengertrain_diesel,0.08000000000
27,2035,BajaCalif,2020,passengertrain_diesel,0.04000000000
28,2025,BajaCalif,2020,shipping_heavyoil,2.74000000000
28,2030,BajaCalif,2020,shipping_heavyoil,1.82000000000
28,2035,BajaCalif,2020,shipping_heavyoil,0.92000000000
29,2025,BajaCalifSouth,2020,bus_battery,0.18000000000
29,2030,BajaCalifSouth,2020,bus_battery,0.12000000000
29,2035,BajaCalifSouth,2020,bus_battery,0.06000000000
30,2025,BajaCalifSouth,2020,bus_cng,0.18000000000
30,2030,BajaCalifSouth,2020,bus_cng,0.12000000000
30,2035,BajaCalifSouth,2020,bus_cng,0.06000000000
31,2025,BajaCalifSouth,2020,bus_diesel,1.48000000000
31,2030,BajaCalifSouth,2020,bus_diesel,0.98000000000
31,2035,BajaCalifSouth,2020,bus_diesel,0.50000000000
32,2025,BajaCalifSouth,2020,bus_hybriddiesel,0.18000000000
32,2030,BajaCalifSouth,2020,bus_hybriddiesel,0.12000000000
32,2035,BajaCalifSouth,2020,bus_hybriddiesel,0.06000000000
33,2025,BajaCalifSouth,2020,cars_battery,0.50000000000
33,2030,BajaCalifSouth,2020,cars_battery,0.32000000000
33,2035,BajaCalifSouth,2020,cars_battery,0.16000000000
34,2025,BajaCalifSouth,2020,cars_diesel,1.48000000000
34,2030,BajaCalifSouth,2020,cars_diesel,0.98000000000
34,2035,BajaCalifSouth,2020,cars_diesel,0.50000000000
35,2025,BajaCalifSouth,2020,cars_hybriddiesel,0.24000000000
35,2030,BajaCalifSouth,2020,cars_hybriddiesel,0.16000000000
35,2035,BajaCalifSouth,2020,cars_hybriddiesel,0.08000000000
36,2025,BajaCalifSouth,2020,cars_hybridpetrol,0.50000000000
36,2030,BajaCalifSouth,2020,cars_hybridpetrol,0.32000000000
36,2035,BajaCalifSouth,2020,cars_hybridpetrol,0.16000000000
37,2025,BajaCalifSouth,2020,cars_lpg,0.12000000000
37,2030,BajaCalifSouth,2020,cars_lpg,0.08000000000
37,2035,BajaCalifSouth,2020,cars_lpg,0.04000000000
38,2025,BajaCalifSouth,2020,cars_petrol,21.40000000000
38,2030,BajaCalifSouth,2020,cars_petrol,14.26000000000
38,2035,BajaCalifSouth,2020,cars_petrol,7.14000000000
39,2025,BajaCalifSouth,2020,cars_pluginhybriddiesel,0.24000000000
39,2030,BajaCalifSouth,2020,cars_pluginhybriddiesel,0.16000000000
39,2035,BajaCalifSouth,2020,cars_pluginhybriddiesel,0.08000000000
40,2025,BajaCalifSouth,2020,freightjet_kerosene,2.84000000000
40,2030,BajaCalifSouth,2020,freightjet_kerosene,1.88000000000
40,2035,BajaCalifSouth,2020,freightjet_kerosene,0.94000000000
