ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050
cars_petrol,Central,PJ/y,513.68,385.26,256.84,128.42,0.00,0.00,0.00
cars_lpg,Central,PJ/y,2.95,2.21,1.48,0.74,0.00,0.00,0.00
cars_hybridpetrol,Central,PJ/y,11.81,8.86,5.90,2.95,0.00,0.00,0.00
cars_diesel,Central,PJ/y,35.43,26.57,17.71,8.86,0.00,0.00,0.00
cars_hybriddiesel,Central,PJ/y,5.90,4.43,2.95,1.48,0.00,0.00,0.00
cars_pluginhybriddiesel,Central,PJ/y,5.90,4.43,2.95,1.48,0.00,0.00,0.00
cars_hydrogenfc,Central,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
cars_hybridhydrogenfc,Central,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
cars_pluginhybridhydrogenfc,Central,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
cars_hybridliquidhydrogen,Central,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
cars_cng,Central,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
cars_flexiblefuel,Central,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
cars_battery,Central,PJ/y,11.81,8.86,5.90,2.95,0.00,0.00,0.00
bus_diesel,Central,PJ/y,13.05,9.79,6.52,3.26,0.00,0.00,0.00
bus_hybriddiesel,Central,PJ/y,1.63,1.22,0.82,0.41,0.00,0.00,0.00
bus_battery,Central,PJ/y,1.63,1.22,0.82,0.41,0.00,0.00,0.00
bus_cng,Central,PJ/y,1.63,1.22,0.82,0.41,0.00,0.00,0.00
bus_hybridhydrogenfc,Central,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lightlorry_diesel,Central,PJ/y,13.05,9.79,6.52,3.26,0.00,0.00,0.00
lightlorry_petrol,Central,PJ/y,13.05,9.79,6.52,3.26,0.00,0.00,0.00
lightlorry_hybridhydrogenfc,Central,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lightlorry_hybridliquidhydrogen,Central,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lightlorry_hybridpetrol,Central,PJ/y,1.22,0.92,0.61,0.31,0.00,0.00,0.00
lightlorry_pluginhybridpetrol,Central,PJ/y,1.22,0.92,0.61,0.31,0.00,0.00,0.00
lightlorry_hybriddiesel,Central,PJ/y,1.63,1.22,0.82,0.41,0.00,0.00,0.00
lightlorry_pluginhybriddiesel,Central,PJ/y,0.82,0.61,0.41,0.20,0.00,0.00,0.00
lightlorry_cng,Central,PJ/y,1.63,1.22,0.82,0.41,0.00,0.00,0.00
lightlorry_lpg,Central,PJ/y,1.63,1.22,0.82,0.41,0.00,0.00,0.00
heavylorry_diesel,Central,PJ/y,13.05,9.79,6.52,3.26,0.00,0.00,0.00
heavylorry_hybriddiesel,Central,PJ/y,1.63,1.22,0.82,0.41,0.00,0.00,0.00
heavylorry_hybridhydrogenfc,Central,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
heavylorry_cng,Central,PJ/y,1.63,1.22,0.82,0.41,0.00,0.00,0.00
heavylorry_petrol,Central,PJ/y,13.05,9.79,6.52,3.26,0.00,0.00,0.00
