timeslice,commodity,asset,year,installed,technology,month,day,hour,supply
0,fruits,1,2025,2020,agr_tec2,all-year,all-week,night,2.40740000000
0,fruits,1,2030,2020,agr_tec2,all-year,all-week,night,2.59260000000
0,fruits,3,2025,2020,agr_tec2,all-year,all-week,night,0.42130000000
0,fruits,3,2030,2020,agr_tec2,all-year,all-week,night,0.39790000000
0,fruits,5,2030,2025,agr_tec2,all-year,all-week,night,0.45370000000
0,fruits,7,2025,2020,agr_tec2,all-year,all-week,night,7.52310000000
0,fruits,7,2030,2020,agr_tec2,all-year,all-week,night,8.10190000000
0,fruits,9,2025,2020,agr_tec2,all-year,all-week,night,14.92590000000
0,fruits,9,2030,2020,agr_tec2,all-year,all-week,night,16.07410000000
0,fruits,11,2025,2020,agr_tec2,all-year,all-week,night,3.91200000000
0,fruits,11,2030,2020,agr_tec2,all-year,all-week,night,3.12420000000
0,fruits,13,2030,2025,agr_tec2,all-year,all-week,night,4.21300000000
0,fruits,15,2025,2020,agr_tec2,all-year,all-week,night,18.17590000000
0,fruits,15,2030,2020,agr_tec2,all-year,all-week,night,19.57410000000
0,fruits,17,2025,2020,agr_tec2,all-year,all-week,night,4.63430000000
0,fruits,17,2030,2020,agr_tec2,all-year,all-week,night,4.03590000000
0,fruits,19,2030,2025,agr_tec2,all-year,all-week,night,4.99070000000
0,fruits,21,2025,2020,agr_tec2,all-year,all-week,night,0.72220000000
0,fruits,21,2030,2020,agr_tec2,all-year,all-week,night,0.77780000000
0,fruits,23,2025,2020,agr_tec2,all-year,all-week,night,7.70370000000
0,fruits,23,2030,2020,agr_tec2,all-year,all-week,night,8.28230000000
0,fruits,25,2030,2025,agr_tec2,all-year,all-week,night,8.29630000000
0,livestock,0,2025,2020,agr_tec,all-year,all-week,night,0.09260000000
0,livestock,0,2030,2020,agr_tec,all-year,all-week,night,0.14070000000
0,livestock,2,2025,2020,agr_tec,all-year,all-week,night,0.01620000000
0,livestock,2,2030,2020,agr_tec,all-year,all-week,night,0.02460000000
0,livestock,4,2030,2025,agr_tec,all-year,all-week,night,0.02460000000
0,livestock,6,2025,2020,agr_tec,all-year,all-week,night,0.28940000000
0,livestock,6,2030,2020,agr_tec,all-year,all-week,night,0.43980000000
0,livestock,8,2025,2020,agr_tec,all-year,all-week,night,0.57410000000
0,livestock,8,2030,2020,agr_tec,all-year,all-week,night,0.87260000000
0,livestock,10,2025,2020,agr_tec,all-year,all-week,night,0.15050000000
0,livestock,10,2030,2020,agr_tec,all-year,all-week,night,0.22870000000
0,livestock,12,2030,2025,agr_tec,all-year,all-week,night,0.22870000000
0,livestock,14,2025,2020,agr_tec,all-year,all-week,night,0.69910000000
0,livestock,14,2030,2020,agr_tec,all-year,all-week,night,1.06260000000
0,livestock,16,2025,2020,agr_tec,all-year,all-week,night,0.17820000000
0,livestock,16,2030,2020,agr_tec,all-year,all-week,night,0.27090000000
0,livestock,18,2030,2025,agr_tec,all-year,all-week,night,0.27090000000
