timeslice,commodity,asset,year,dst_region,technology,installed,month,day,hour,supply
0,electricity,0,2050,BajaCalif,GAS_GT,2020,all-year,all-week,night,3.78690000000
0,electricity,1,2050,BajaCalif,GEOTH,2020,all-year,all-week,night,0.90930000000
0,electricity,2,2050,BajaCalif,OIL,2020,all-year,all-week,night,0.00300000000
0,electricity,4,2050,BajaCalif,PV_GND,2020,all-year,all-week,night,0.00170000000
0,electricity,7,2050,BajaCalif,WIND_ON,2020,all-year,all-week,night,0.00370000000
0,electricity,8,2050,BajaCalifSouth,GAS_GT,2020,all-year,all-week,night,0.19030000000
0,electricity,9,2050,BajaCalifSouth,OIL,2020,all-year,all-week,night,0.71090000000
0,electricity,11,2050,BajaCalifSouth,PV_GND,2020,all-year,all-week,night,0.02020000000
0,electricity,14,2050,BajaCalifSouth,WIND_ON,2020,all-year,all-week,night,0.01870000000
0,electricity,15,2050,Central,BIO,2020,all-year,all-week,night,0.00090000000
0,electricity,18,2050,Central,GAS_GT,2020,all-year,all-week,night,7.03330000000
0,electricity,18,2050,Eastern,GAS_GT,2020,all-year,all-week,night,1.90570000000
0,electricity,18,2050,Western,GAS_GT,2020,all-year,all-week,night,2.27820000000
0,electricity,20,2050,Central,HYD,2020,all-year,all-week,night,0.13640000000
0,electricity,21,2050,Central,OIL,2020,all-year,all-week,night,0.20650000000
0,electricity,22,2050,Central,PV_GND,2020,all-year,all-week,night,0.00510000000
0,electricity,23,2050,Eastern,BIO,2020,all-year,all-week,night,0.15440000000
0,electricity,27,2050,Eastern,GAS_GT,2020,all-year,all-week,night,7.62300000000
0,electricity,27,2050,Peninsular,GAS_GT,2020,all-year,all-week,night,1.48930000000
0,electricity,29,2050,Eastern,HYD,2020,all-year,all-week,night,11.26640000000
0,electricity,30,2050,Eastern,NUCL,2020,all-year,all-week,night,2.72780000000
0,electricity,31,2050,Eastern,OIL,2020,all-year,all-week,night,0.43700000000
0,electricity,33,2050,Eastern,WIND_ON,2020,all-year,all-week,night,1.03570000000
0,electricity,35,2050,North,BIO,2020,all-year,all-week,night,0.00840000000
0,electricity,37,2050,North,GAS_GT,2020,all-year,all-week,night,7.36500000000
0,electricity,39,2050,North,HYD,2020,all-year,all-week,night,0.04710000000
0,electricity,41,2050,North,OIL,2020,all-year,all-week,night,0.17210000000
0,electricity,42,2050,North,PV_GND,2020,all-year,all-week,night,0.27610000000
0,electricity,43,2050,Northeast,BIO,2020,all-year,all-week,night,0.01780000000
0,electricity,44,2050,Northeast,COAL,2020,all-year,all-week,night,1.72870000000
0,electricity,45,2050,Northeast,GAS_GT,2020,all-year,all-week,night,24.17800000000
0,electricity,47,2050,Northeast,HYD,2020,all-year,all-week,night,0.19870000000
0,electricity,49,2050,Northeast,OIL,2020,all-year,all-week,night,0.33530000000
0,electricity,50,2050,Northeast,PV_GND,2020,all-year,all-week,night,0.11290000000
0,electricity,51,2050,Northeast,WIND_ON,2020,all-year,all-week,night,0.94370000000
0,electricity,54,2050,Northwest,GAS_GT,2020,all-year,all-week,night,7.86550000000
0,electricity,54,2050,North,GAS_GT,2020,all-year,all-week,night,2.20950000000
0,electricity,56,2050,Northwest,HYD,2020,all-year,all-week,night,1.61650000000
0,electricity,58,2050,Northwest,OIL,2020,all-year,all-week,night,0.08380000000
0,electricity,59,2050,Northwest,PV_GND,2020,all-year,all-week,night,0.11090000000
0,electricity,60,2050,Northwest,WIND_ON,2020,all-year,all-week,night,0.00070000000
0,electricity,61,2050,Peninsular,GAS_GT,2020,all-year,all-week,night,1.48930000000
0,electricity,62,2050,Peninsular,OIL,2020,all-year,all-week,night,0.02390000000
0,electricity,63,2050,Peninsular,PV_GND,2020,all-year,all-week,night,0.16930000000
0,electricity,64,2050,Peninsular,PV_RFT,2020,all-year,all-week,night,0.00150000000
0,electricity,66,2050,Peninsular,WIND_ON,2020,all-year,all-week,night,0.09580000000
0,electricity,68,2050,Western,BIO,2020,all-year,all-week,night,0.03740000000
0,electricity,70,2050,Western,COAL,2020,all-year,all-week,night,4.38730000000
0,electricity,73,2050,Western,GAS_GT,2020,all-year,all-week,night,9.11280000000
0,electricity,73,2050,Northwest,GAS_GT,2020,all-year,all-week,night,1.96640000000
0,electricity,75,2050,Western,GEOTH,2020,all-year,all-week,night,0.53040000000
0,electricity,76,2050,Western,HYD,2020,all-year,all-week,night,8.27260000000
0,electricity,77,2050,Western,OIL,2020,all-year,all-week,night,1.23630000000
0,electricity,78,2050,Western,PV_GND,2020,all-year,all-week,night,0.18730000000
0,electricity,79,2050,Western,WIND_ON,2020,all-year,all-week,night,0.38540000000
1,electricity,0,2050,BajaCalif,GAS_GT,2020,all-year,all-week,morning,3.78690000000
1,electricity,1,2050,BajaCalif,GEOTH,2020,all-year,all-week,morning,0.90930000000
1,electricity,2,2050,BajaCalif,OIL,2020,all-year,all-week,morning,0.00300000000
1,electricity,4,2050,BajaCalif,PV_GND,2020,all-year,all-week,morning,0.00170000000
1,electricity,7,2050,BajaCalif,WIND_ON,2020,all-year,all-week,morning,0.00370000000
1,electricity,8,2050,BajaCalifSouth,GAS_GT,2020,all-year,all-week,morning,0.19030000000
1,electricity,9,2050,BajaCalifSouth,OIL,2020,all-year,all-week,morning,0.71090000000
1,electricity,11,2050,BajaCalifSouth,PV_GND,2020,all-year,all-week,morning,0.02020000000
1,electricity,14,2050,BajaCalifSouth,WIND_ON,2020,all-year,all-week,morning,0.01870000000
1,electricity,15,2050,Central,BIO,2020,all-year,all-week,morning,0.00090000000
1,electricity,18,2050,Central,GAS_GT,2020,all-year,all-week,morning,7.03330000000
1,electricity,18,2050,Eastern,GAS_GT,2020,all-year,all-week,morning,1.90570000000
1,electricity,18,2050,Western,GAS_GT,2020,all-year,all-week,morning,2.27820000000
1,electricity,20,2050,Central,HYD,2020,all-year,all-week,morning,0.13640000000
1,electricity,21,2050,Central,OIL,2020,all-year,all-week,morning,0.20650000000
1,electricity,22,2050,Central,PV_GND,2020,all-year,all-week,morning,0.00510000000
1,electricity,23,2050,Eastern,BIO,2020,all-year,all-week,morning,0.15440000000
1,electricity,27,2050,Eastern,GAS_GT,2020,all-year,all-week,morning,7.62300000000
1,electricity,27,2050,Peninsular,GAS_GT,2020,all-year,all-week,morning,1.48930000000
1,electricity,29,2050,Eastern,HYD,2020,all-year,all-week,morning,11.26640000000
1,electricity,30,2050,Eastern,NUCL,2020,all-year,all-week,morning,2.72780000000
1,electricity,31,2050,Eastern,OIL,2020,all-year,all-week,morning,0.43700000000
1,electricity,33,2050,Eastern,WIND_ON,2020,all-year,all-week,morning,1.03570000000
1,electricity,35,2050,North,BIO,2020,all-year,all-week,morning,0.00840000000
1,electricity,37,2050,North,GAS_GT,2020,all-year,all-week,morning,7.36500000000
1,electricity,39,2050,North,HYD,2020,all-year,all-week,morning,0.04710000000
1,electricity,41,2050,North,OIL,2020,all-year,all-week,morning,0.17210000000
1,electricity,42,2050,North,PV_GND,2020,all-year,all-week,morning,0.27610000000
1,electricity,43,2050,Northeast,BIO,2020,all-year,all-week,morning,0.01780000000
1,electricity,44,2050,Northeast,COAL,2020,all-year,all-week,morning,1.72870000000
1,electricity,45,2050,Northeast,GAS_GT,2020,all-year,all-week,morning,24.17800000000
1,electricity,47,2050,Northeast,HYD,2020,all-year,all-week,morning,0.19870000000
1,electricity,49,2050,Northeast,OIL,2020,all-year,all-week,morning,0.33530000000
1,electricity,50,2050,Northeast,PV_GND,2020,all-year,all-week,morning,0.11290000000
1,electricity,51,2050,Northeast,WIND_ON,2020,all-year,all-week,morning,0.94370000000
1,electricity,54,2050,Northwest,GAS_GT,2020,all-year,all-week,morning,7.86550000000
1,electricity,54,2050,North,GAS_GT,2020,all-year,all-week,morning,2.20950000000
1,electricity,56,2050,Northwest,HYD,2020,all-year,all-week,morning,1.61650000000
1,electricity,58,2050,Northwest,OIL,2020,all-year,all-week,morning,0.08380000000
1,electricity,59,2050,Northwest,PV_GND,2020,all-year,all-week,morning,0.11090000000
1,electricity,60,2050,Northwest,WIND_ON,2020,all-year,all-week,morning,0.00070000000
1,electricity,61,2050,Peninsular,GAS_GT,2020,all-year,all-week,morning,1.48930000000
1,electricity,62,2050,Peninsular,OIL,2020,all-year,all-week,morning,0.02390000000
1,electricity,63,2050,Peninsular,PV_GND,2020,all-year,all-week,morning,0.16930000000
1,electricity,64,2050,Peninsular,PV_RFT,2020,all-year,all-week,morning,0.00150000000
1,electricity,66,2050,Peninsular,WIND_ON,2020,all-year,all-week,morning,0.09580000000
1,electricity,68,2050,Western,BIO,2020,all-year,all-week,morning,0.03740000000
1,electricity,70,2050,Western,COAL,2020,all-year,all-week,morning,4.38730000000
1,electricity,73,2050,Western,GAS_GT,2020,all-year,all-week,morning,9.11280000000
1,electricity,73,2050,Northwest,GAS_GT,2020,all-year,all-week,morning,1.96640000000
1,electricity,75,2050,Western,GEOTH,2020,all-year,all-week,morning,0.53040000000
1,electricity,76,2050,Western,HYD,2020,all-year,all-week,morning,8.27260000000
1,electricity,77,2050,Western,OIL,2020,all-year,all-week,morning,1.23630000000
1,electricity,78,2050,Western,PV_GND,2020,all-year,all-week,morning,0.18730000000
1,electricity,79,2050,Western,WIND_ON,2020,all-year,all-week,morning,0.38540000000
2,electricity,0,2050,BajaCalif,GAS_GT,2020,all-year,all-week,afternoon,3.78690000000
2,electricity,1,2050,BajaCalif,GEOTH,2020,all-year,all-week,afternoon,0.90930000000
2,electricity,2,2050,BajaCalif,OIL,2020,all-year,all-week,afternoon,0.00300000000
2,electricity,4,2050,BajaCalif,PV_GND,2020,all-year,all-week,afternoon,0.00170000000
2,electricity,7,2050,BajaCalif,WIND_ON,2020,all-year,all-week,afternoon,0.00370000000
2,electricity,8,2050,BajaCalifSouth,GAS_GT,2020,all-year,all-week,afternoon,0.19030000000
2,electricity,9,2050,BajaCalifSouth,OIL,2020,all-year,all-week,afternoon,0.71090000000
2,electricity,11,2050,BajaCalifSouth,PV_GND,2020,all-year,all-week,afternoon,0.02020000000
2,electricity,14,2050,BajaCalifSouth,WIND_ON,2020,all-year,all-week,afternoon,0.01870000000
2,electricity,15,2050,Central,BIO,2020,all-year,all-week,afternoon,0.00090000000
2,electricity,18,2050,Central,GAS_GT,2020,all-year,all-week,afternoon,7.03330000000
2,electricity,18,2050,Eastern,GAS_GT,2020,all-year,all-week,afternoon,1.90570000000
2,electricity,18,2050,Western,GAS_GT,2020,all-year,all-week,afternoon,2.27820000000
2,electricity,20,2050,Central,HYD,2020,all-year,all-week,afternoon,0.13640000000
2,electricity,21,2050,Central,OIL,2020,all-year,all-week,afternoon,0.20650000000
2,electricity,22,2050,Central,PV_GND,2020,all-year,all-week,afternoon,0.00510000000
2,electricity,23,2050,Eastern,BIO,2020,all-year,all-week,afternoon,0.15440000000
2,electricity,27,2050,Eastern,GAS_GT,2020,all-year,all-week,afternoon,7.62300000000
2,electricity,27,2050,Peninsular,GAS_GT,2020,all-year,all-week,afternoon,1.48930000000
2,electricity,29,2050,Eastern,HYD,2020,all-year,all-week,afternoon,11.26640000000
2,electricity,30,2050,Eastern,NUCL,2020,all-year,all-week,afternoon,2.72780000000
2,electricity,31,2050,Eastern,OIL,2020,all-year,all-week,afternoon,0.43700000000
2,electricity,33,2050,Eastern,WIND_ON,2020,all-year,all-week,afternoon,1.03570000000
2,electricity,35,2050,North,BIO,2020,all-year,all-week,afternoon,0.00840000000
2,electricity,37,2050,North,GAS_GT,2020,all-year,all-week,afternoon,7.36500000000
2,electricity,39,2050,North,HYD,2020,all-year,all-week,afternoon,0.04710000000
2,electricity,41,2050,North,OIL,2020,all-year,all-week,afternoon,0.17210000000
2,electricity,42,2050,North,PV_GND,2020,all-year,all-week,afternoon,0.27610000000
2,electricity,43,2050,Northeast,BIO,2020,all-year,all-week,afternoon,0.01780000000
2,electricity,44,2050,Northeast,COAL,2020,all-year,all-week,afternoon,1.72870000000
2,electricity,45,2050,Northeast,GAS_GT,2020,all-year,all-week,afternoon,24.17800000000
2,electricity,47,2050,Northeast,HYD,2020,all-year,all-week,afternoon,0.19870000000
2,electricity,49,2050,Northeast,OIL,2020,all-year,all-week,afternoon,0.33530000000
2,electricity,50,2050,Northeast,PV_GND,2020,all-year,all-week,afternoon,0.11290000000
2,electricity,51,2050,Northeast,WIND_ON,2020,all-year,all-week,afternoon,0.94370000000
2,electricity,54,2050,Northwest,GAS_GT,2020,all-year,all-week,afternoon,7.86550000000
2,electricity,54,2050,North,GAS_GT,2020,all-year,all-week,afternoon,2.20950000000
2,electricity,56,2050,Northwest,HYD,2020,all-year,all-week,afternoon,1.61650000000
2,electricity,58,2050,Northwest,OIL,2020,all-year,all-week,afternoon,0.08380000000
2,electricity,59,2050,Northwest,PV_GND,2020,all-year,all-week,afternoon,0.11090000000
2,electricity,60,2050,Northwest,WIND_ON,2020,all-year,all-week,afternoon,0.00070000000
2,electricity,61,2050,Peninsular,GAS_GT,2020,all-year,all-week,afternoon,1.48930000000
2,electricity,62,2050,Peninsular,OIL,2020,all-year,all-week,afternoon,0.02390000000
2,electricity,63,2050,Peninsular,PV_GND,2020,all-year,all-week,afternoon,0.16930000000
2,electricity,64,2050,Peninsular,PV_RFT,2020,all-year,all-week,afternoon,0.00150000000
2,electricity,66,2050,Peninsular,WIND_ON,2020,all-year,all-week,afternoon,0.09580000000
2,electricity,68,2050,Western,BIO,2020,all-year,all-week,afternoon,0.03740000000
2,electricity,70,2050,Western,COAL,2020,all-year,all-week,afternoon,4.38730000000
2,electricity,73,2050,Western,GAS_GT,2020,all-year,all-week,afternoon,9.11280000000
2,electricity,73,2050,Northwest,GAS_GT,2020,all-year,all-week,afternoon,1.96640000000
2,electricity,75,2050,Western,GEOTH,2020,all-year,all-week,afternoon,0.53040000000
2,electricity,76,2050,Western,HYD,2020,all-year,all-week,afternoon,8.27260000000
2,electricity,77,2050,Western,OIL,2020,all-year,all-week,afternoon,1.23630000000
2,electricity,78,2050,Western,PV_GND,2020,all-year,all-week,afternoon,0.18730000000
2,electricity,79,2050,Western,WIND_ON,2020,all-year,all-week,afternoon,0.38540000000
3,electricity,0,2050,BajaCalif,GAS_GT,2020,all-year,all-week,early-peak,3.78690000000
3,electricity,1,2050,BajaCalif,GEOTH,2020,all-year,all-week,early-peak,0.90930000000
3,electricity,2,2050,BajaCalif,OIL,2020,all-year,all-week,early-peak,0.00300000000
3,electricity,4,2050,BajaCalif,PV_GND,2020,all-year,all-week,early-peak,0.00170000000
3,electricity,7,2050,BajaCalif,WIND_ON,2020,all-year,all-week,early-peak,0.00370000000
3,electricity,8,2050,BajaCalifSouth,GAS_GT,2020,all-year,all-week,early-peak,0.19030000000
3,electricity,9,2050,BajaCalifSouth,OIL,2020,all-year,all-week,early-peak,0.71090000000
3,electricity,11,2050,BajaCalifSouth,PV_GND,2020,all-year,all-week,early-peak,0.02020000000
3,electricity,14,2050,BajaCalifSouth,WIND_ON,2020,all-year,all-week,early-peak,0.01870000000
3,electricity,15,2050,Central,BIO,2020,all-year,all-week,early-peak,0.00090000000
3,electricity,18,2050,Central,GAS_GT,2020,all-year,all-week,early-peak,7.03330000000
3,electricity,18,2050,Eastern,GAS_GT,2020,all-year,all-week,early-peak,1.90570000000
3,electricity,18,2050,Western,GAS_GT,2020,all-year,all-week,early-peak,2.27820000000
3,electricity,20,2050,Central,HYD,2020,all-year,all-week,early-peak,0.13640000000
3,electricity,21,2050,Central,OIL,2020,all-year,all-week,early-peak,0.20650000000
3,electricity,22,2050,Central,PV_GND,2020,all-year,all-week,early-peak,0.00510000000
3,electricity,23,2050,Eastern,BIO,2020,all-year,all-week,early-peak,0.15440000000
3,electricity,27,2050,Eastern,GAS_GT,2020,all-year,all-week,early-peak,7.62300000000
3,electricity,27,2050,Peninsular,GAS_GT,2020,all-year,all-week,early-peak,1.48930000000
3,electricity,29,2050,Eastern,HYD,2020,all-year,all-week,early-peak,11.26640000000
3,electricity,30,2050,Eastern,NUCL,2020,all-year,all-week,early-peak,2.72780000000
3,electricity,31,2050,Eastern,OIL,2020,all-year,all-week,early-peak,0.43700000000
3,electricity,33,2050,Eastern,WIND_ON,2020,all-year,all-week,early-peak,1.03570000000
3,electricity,35,2050,North,BIO,2020,all-year,all-week,early-peak,0.00840000000
3,electricity,37,2050,North,GAS_GT,2020,all-year,all-week,early-peak,7.36500000000
3,electricity,39,2050,North,HYD,2020,all-year,all-week,early-peak,0.04710000000
3,electricity,41,2050,North,OIL,2020,all-year,all-week,early-peak,0.17210000000
3,electricity,42,2050,North,PV_GND,2020,all-year,all-week,early-peak,0.27610000000
3,electricity,43,2050,Northeast,BIO,2020,all-year,all-week,early-peak,0.01780000000
3,electricity,44,2050,Northeast,COAL,2020,all-year,all-week,early-peak,1.72870000000
3,electricity,45,2050,Northeast,GAS_GT,2020,all-year,all-week,early-peak,24.17800000000
3,electricity,47,2050,Northeast,HYD,2020,all-year,all-week,early-peak,0.19870000000
3,electricity,49,2050,Northeast,OIL,2020,all-year,all-week,early-peak,0.33530000000
3,electricity,50,2050,Northeast,PV_GND,2020,all-year,all-week,early-peak,0.11290000000
3,electricity,51,2050,Northeast,WIND_ON,2020,all-year,all-week,early-peak,0.94370000000
3,electricity,54,2050,Northwest,GAS_GT,2020,all-year,all-week,early-peak,7.86550000000
3,electricity,54,2050,North,GAS_GT,2020,all-year,all-week,early-peak,2.20950000000
3,electricity,56,2050,Northwest,HYD,2020,all-year,all-week,early-peak,1.61650000000
3,electricity,58,2050,Northwest,OIL,2020,all-year,all-week,early-peak,0.08380000000
3,electricity,59,2050,Northwest,PV_GND,2020,all-year,all-week,early-peak,0.11090000000
3,electricity,60,2050,Northwest,WIND_ON,2020,all-year,all-week,early-peak,0.00070000000
3,electricity,61,2050,Peninsular,GAS_GT,2020,all-year,all-week,early-peak,1.48930000000
3,electricity,62,2050,Peninsular,OIL,2020,all-year,all-week,early-peak,0.02390000000
3,electricity,63,2050,Peninsular,PV_GND,2020,all-year,all-week,early-peak,0.16930000000
3,electricity,64,2050,Peninsular,PV_RFT,2020,all-year,all-week,early-peak,0.00150000000
3,electricity,66,2050,Peninsular,WIND_ON,2020,all-year,all-week,early-peak,0.09580000000
3,electricity,68,2050,Western,BIO,2020,all-year,all-week,early-peak,0.03740000000
3,electricity,70,2050,Western,COAL,2020,all-year,all-week,early-peak,4.38730000000
3,electricity,73,2050,Western,GAS_GT,2020,all-year,all-week,early-peak,9.11280000000
3,electricity,73,2050,Northwest,GAS_GT,2020,all-year,all-week,early-peak,1.96640000000
3,electricity,75,2050,Western,GEOTH,2020,all-year,all-week,early-peak,0.53040000000
3,electricity,76,2050,Western,HYD,2020,all-year,all-week,early-peak,8.27260000000
3,electricity,77,2050,Western,OIL,2020,all-year,all-week,early-peak,1.23630000000
3,electricity,78,2050,Western,PV_GND,2020,all-year,all-week,early-peak,0.18730000000
3,electricity,79,2050,Western,WIND_ON,2020,all-year,all-week,early-peak,0.38540000000
4,electricity,0,2050,BajaCalif,GAS_GT,2020,all-year,all-week,late-peak,3.78690000000
4,electricity,1,2050,BajaCalif,GEOTH,2020,all-year,all-week,late-peak,0.90930000000
4,electricity,2,2050,BajaCalif,OIL,2020,all-year,all-week,late-peak,0.00300000000
4,electricity,4,2050,BajaCalif,PV_GND,2020,all-year,all-week,late-peak,0.00170000000
4,electricity,7,2050,BajaCalif,WIND_ON,2020,all-year,all-week,late-peak,0.00370000000
4,electricity,8,2050,BajaCalifSouth,GAS_GT,2020,all-year,all-week,late-peak,0.19030000000
4,electricity,9,2050,BajaCalifSouth,OIL,2020,all-year,all-week,late-peak,0.71090000000
4,electricity,11,2050,BajaCalifSouth,PV_GND,2020,all-year,all-week,late-peak,0.02020000000
4,electricity,14,2050,BajaCalifSouth,WIND_ON,2020,all-year,all-week,late-peak,0.01870000000
4,electricity,15,2050,Central,BIO,2020,all-year,all-week,late-peak,0.00090000000
4,electricity,18,2050,Central,GAS_GT,2020,all-year,all-week,late-peak,7.03330000000
4,electricity,18,2050,Eastern,GAS_GT,2020,all-year,all-week,late-peak,1.90570000000
4,electricity,18,2050,Western,GAS_GT,2020,all-year,all-week,late-peak,2.27820000000
4,electricity,20,2050,Central,HYD,2020,all-year,all-week,late-peak,0.13640000000
4,electricity,21,2050,Central,OIL,2020,all-year,all-week,late-peak,0.20650000000
4,electricity,22,2050,Central,PV_GND,2020,all-year,all-week,late-peak,0.00510000000
4,electricity,23,2050,Eastern,BIO,2020,all-year,all-week,late-peak,0.15440000000
4,electricity,27,2050,Eastern,GAS_GT,2020,all-year,all-week,late-peak,7.62300000000
4,electricity,27,2050,Peninsular,GAS_GT,2020,all-year,all-week,late-peak,1.48930000000
4,electricity,29,2050,Eastern,HYD,2020,all-year,all-week,late-peak,11.26640000000
4,electricity,30,2050,Eastern,NUCL,2020,all-year,all-week,late-peak,2.72780000000
4,electricity,31,2050,Eastern,OIL,2020,all-year,all-week,late-peak,0.43700000000
4,electricity,33,2050,Eastern,WIND_ON,2020,all-year,all-week,late-peak,1.03570000000
4,electricity,35,2050,North,BIO,2020,all-year,all-week,late-peak,0.00840000000
4,electricity,37,2050,North,GAS_GT,2020,all-year,all-week,late-peak,7.36500000000
4,electricity,39,2050,North,HYD,2020,all-year,all-week,late-peak,0.04710000000
4,electricity,41,2050,North,OIL,2020,all-year,all-week,late-peak,0.17210000000
4,electricity,42,2050,North,PV_GND,2020,all-year,all-week,late-peak,0.27610000000
4,electricity,43,2050,Northeast,BIO,2020,all-year,all-week,late-peak,0.01780000000
4,electricity,44,2050,Northeast,COAL,2020,all-year,all-week,late-peak,1.72870000000
4,electricity,45,2050,Northeast,GAS_GT,2020,all-year,all-week,late-peak,24.17800000000
