asset,year,region,installed,technology,capacity
0,2030,BajaCalif,2020,bus_battery,0.97370000000
0,2035,BajaCalif,2020,bus_battery,0.48690000000
0,2036,BajaCalif,2020,bus_battery,0.38950000000
0,2037,BajaCalif,2020,bus_battery,0.29210000000
1,2030,BajaCalif,2020,bus_cng,0.97570000000
1,2035,BajaCalif,2020,bus_cng,0.48790000000
1,2036,BajaCalif,2020,bus_cng,0.39030000000
1,2037,BajaCalif,2020,bus_cng,0.29270000000
2,2030,BajaCalif,2020,bus_diesel,7.65020000000
2,2035,BajaCalif,2020,bus_diesel,3.82510000000
2,2036,BajaCalif,2020,bus_diesel,3.06010000000
2,2037,BajaCalif,2020,bus_diesel,2.29510000000
3,2030,BajaCalif,2020,bus_hybriddiesel,0.97180000000
3,2035,BajaCalif,2020,bus_hybriddiesel,0.48590000000
3,2036,BajaCalif,2020,bus_hybriddiesel,0.38870000000
3,2037,BajaCalif,2020,bus_hybriddiesel,0.29150000000
4,2030,BajaCalif,2020,cars_battery,1120000000015.89501953125
4,2035,BajaCalif,2020,cars_battery,1120000000014.12890625000
4,2036,BajaCalif,2020,cars_battery,1120000000013.77563476562
4,2037,BajaCalif,2020,cars_battery,1.05960000000
5,2030,BajaCalif,2020,cars_cng,2240000000000.00000000000
5,2035,BajaCalif,2020,cars_cng,2240000000000.00000000000
5,2036,BajaCalif,2020,cars_cng,2240000000000.00000000000
6,2030,BajaCalif,2020,cars_diesel,1120000000046.32128906250
6,2035,BajaCalif,2020,cars_diesel,1120000000041.17456054688
6,2036,BajaCalif,2020,cars_diesel,1120000000040.14501953125
6,2037,BajaCalif,2020,cars_diesel,3.08810000000
7,2030,BajaCalif,2020,cars_flexiblefuel,2240000000000.00000000000
7,2035,BajaCalif,2020,cars_flexiblefuel,2240000000000.00000000000
7,2036,BajaCalif,2020,cars_flexiblefuel,2240000000000.00000000000
8,2030,BajaCalif,2020,cars_hybriddiesel,1120000000007.88940429688
8,2035,BajaCalif,2020,cars_hybriddiesel,1120000000007.01269531250
8,2036,BajaCalif,2020,cars_hybriddiesel,1120000000006.83740234375
8,2037,BajaCalif,2020,cars_hybriddiesel,0.52590000000
9,2030,BajaCalif,2020,cars_hybridhydrogenfc,2240000000000.00000000000
9,2035,BajaCalif,2020,cars_hybridhydrogenfc,2240000000000.00000000000
9,2036,BajaCalif,2020,cars_hybridhydrogenfc,2240000000000.00000000000
10,2030,BajaCalif,2020,cars_hybridliquidhydrogen,2240000000000.00000000000
10,2035,BajaCalif,2020,cars_hybridliquidhydrogen,2240000000000.00000000000
10,2036,BajaCalif,2020,cars_hybridliquidhydrogen,2240000000000.00000000000
11,2030,BajaCalif,2020,cars_hybridpetrol,1120000000015.33081054688
11,2035,BajaCalif,2020,cars_hybridpetrol,1120000000013.62744140625
11,2036,BajaCalif,2020,cars_hybridpetrol,1120000000013.28662109375
11,2037,BajaCalif,2020,cars_hybridpetrol,1.02200000000
12,2030,BajaCalif,2020,cars_hydrogenfc,2240000000000.00000000000
12,2035,BajaCalif,2020,cars_hydrogenfc,2240000000000.00000000000
12,2036,BajaCalif,2020,cars_hydrogenfc,2240000000000.00000000000
13,2030,BajaCalif,2020,cars_lpg,1120000000003.82592773438
13,2035,BajaCalif,2020,cars_lpg,1120000000003.40087890625
13,2036,BajaCalif,2020,cars_lpg,1120000000003.31591796875
13,2037,BajaCalif,2020,cars_lpg,0.25510000000
14,2030,BajaCalif,2020,cars_petrol,1120000000508.45825195312
14,2035,BajaCalif,2020,cars_petrol,1120000000451.91674804688
14,2036,BajaCalif,2020,cars_petrol,1120000000440.60839843750
14,2037,BajaCalif,2020,cars_petrol,33.92500000000
15,2030,BajaCalif,2020,cars_pluginhybriddiesel,1120000000007.91821289062
15,2035,BajaCalif,2020,cars_pluginhybriddiesel,1120000000007.03857421875
15,2036,BajaCalif,2020,cars_pluginhybriddiesel,1120000000006.86254882812
15,2037,BajaCalif,2020,cars_pluginhybriddiesel,0.52780000000
16,2030,BajaCalif,2020,cars_pluginhybridhydrogenfc,2240000000000.00000000000
16,2035,BajaCalif,2020,cars_pluginhybridhydrogenfc,2240000000000.00000000000
16,2036,BajaCalif,2020,cars_pluginhybridhydrogenfc,2240000000000.00000000000
17,2030,BajaCalif,2020,freightjet_kerosene,800535652.20000004768
17,2035,BajaCalif,2020,freightjet_kerosene,800535652.20000004768
17,2036,BajaCalif,2020,freightjet_kerosene,800535652.20000004768
17,2037,BajaCalif,2020,freightjet_kerosene,800535652.20000004768
17,2040,BajaCalif,2020,freightjet_kerosene,800535652.20000004768
17,2045,BajaCalif,2020,freightjet_kerosene,800535652.20000004768
17,2050,BajaCalif,2020,freightjet_kerosene,800535652.20000004768
17,2054,BajaCalif,2020,freightjet_kerosene,800535652.20000004768
18,2030,BajaCalif,2020,freighttrain_addtrackelec,44345160000.00000000000
18,2035,BajaCalif,2020,freighttrain_addtrackelec,44345160000.00000000000
18,2036,BajaCalif,2020,freighttrain_addtrackelec,44345160000.00000000000
18,2037,BajaCalif,2020,freighttrain_addtrackelec,44345160000.00000000000
18,2040,BajaCalif,2020,freighttrain_addtrackelec,44345160000.00000000000
18,2045,BajaCalif,2020,freighttrain_addtrackelec,44345160000.00000000000
18,2050,BajaCalif,2020,freighttrain_addtrackelec,44345160000.00000000000
18,2054,BajaCalif,2020,freighttrain_addtrackelec,44345160000.00000000000
18,2055,BajaCalif,2020,freighttrain_addtrackelec,44345160000.00000000000
18,2064,BajaCalif,2020,freighttrain_addtrackelec,44345160000.00000000000
19,2030,BajaCalif,2020,freighttrain_coal,44345160000.00000000000
19,2035,BajaCalif,2020,freighttrain_coal,44345160000.00000000000
19,2036,BajaCalif,2020,freighttrain_coal,44345160000.00000000000
19,2037,BajaCalif,2020,freighttrain_coal,44345160000.00000000000
19,2040,BajaCalif,2020,freighttrain_coal,44345160000.00000000000
19,2045,BajaCalif,2020,freighttrain_coal,44345160000.00000000000
19,2050,BajaCalif,2020,freighttrain_coal,44345160000.00000000000
19,2054,BajaCalif,2020,freighttrain_coal,44345160000.00000000000
19,2055,BajaCalif,2020,freighttrain_coal,44345160000.00000000000
19,2064,BajaCalif,2020,freighttrain_coal,44345160000.00000000000
20,2030,BajaCalif,2020,freighttrain_diesel,22172580013.10779953003
20,2035,BajaCalif,2020,freighttrain_diesel,22172580011.65140151978
20,2036,BajaCalif,2020,freighttrain_diesel,22172580011.36009979248
20,2037,BajaCalif,2020,freighttrain_diesel,22172580011.06880187988
20,2040,BajaCalif,2020,freighttrain_diesel,22172580010.19499969482
20,2045,BajaCalif,2020,freighttrain_diesel,22172580010.19499969482
20,2050,BajaCalif,2020,freighttrain_diesel,22172580010.19499969482
20,2054,BajaCalif,2020,freighttrain_diesel,22172580010.19499969482
20,2055,BajaCalif,2020,freighttrain_diesel,22172580010.19499969482
20,2064,BajaCalif,2020,freighttrain_diesel,22172580010.19499969482
21,2030,BajaCalif,2020,freighttrain_electric,22172580000.14329910278
21,2035,BajaCalif,2020,freighttrain_electric,22172580000.12739944458
21,2036,BajaCalif,2020,freighttrain_electric,22172580000.12419891357
21,2037,BajaCalif,2020,freighttrain_electric,22172580000.12099838257
21,2040,BajaCalif,2020,freighttrain_electric,22172580000.11149978638
21,2045,BajaCalif,2020,freighttrain_electric,22172580000.11149978638
21,2050,BajaCalif,2020,freighttrain_electric,22172580000.11149978638
21,2054,BajaCalif,2020,freighttrain_electric,22172580000.11149978638
21,2055,BajaCalif,2020,freighttrain_electric,22172580000.11149978638
21,2064,BajaCalif,2020,freighttrain_electric,22172580000.11149978638
22,2030,BajaCalif,2020,freighttrain_hydrogenfc,44345160000.00000000000
22,2035,BajaCalif,2020,freighttrain_hydrogenfc,44345160000.00000000000
22,2036,BajaCalif,2020,freighttrain_hydrogenfc,44345160000.00000000000
22,2037,BajaCalif,2020,freighttrain_hydrogenfc,44345160000.00000000000
22,2040,BajaCalif,2020,freighttrain_hydrogenfc,44345160000.00000000000
22,2045,BajaCalif,2020,freighttrain_hydrogenfc,44345160000.00000000000
22,2050,BajaCalif,2020,freighttrain_hydrogenfc,44345160000.00000000000
22,2054,BajaCalif,2020,freighttrain_hydrogenfc,44345160000.00000000000
22,2055,BajaCalif,2020,freighttrain_hydrogenfc,44345160000.00000000000
22,2064,BajaCalif,2020,freighttrain_hydrogenfc,44345160000.00000000000
23,2030,BajaCalif,2020,heavylorry_cng,1.04130000000
23,2035,BajaCalif,2020,heavylorry_cng,0.52070000000
23,2036,BajaCalif,2020,heavylorry_cng,0.41650000000
23,2037,BajaCalif,2020,heavylorry_cng,0.31240000000
24,2030,BajaCalif,2020,heavylorry_diesel,8.17110000000
24,2035,BajaCalif,2020,heavylorry_diesel,4.08560000000
24,2036,BajaCalif,2020,heavylorry_diesel,3.26840000000
24,2037,BajaCalif,2020,heavylorry_diesel,2.45130000000
25,2030,BajaCalif,2020,heavylorry_hybriddiesel,1.03910000000
25,2035,BajaCalif,2020,heavylorry_hybriddiesel,0.51950000000
25,2036,BajaCalif,2020,heavylorry_hybriddiesel,0.41560000000
25,2037,BajaCalif,2020,heavylorry_hybriddiesel,0.31170000000
26,2030,BajaCalif,2020,heavylorry_petrol,8.34880000000
26,2035,BajaCalif,2020,heavylorry_petrol,4.17440000000
26,2036,BajaCalif,2020,heavylorry_petrol,3.33950000000
26,2037,BajaCalif,2020,heavylorry_petrol,2.50460000000
27,2030,BajaCalif,2020,lightlorry_cng,1.01710000000
27,2035,BajaCalif,2020,lightlorry_cng,0.50850000000
27,2036,BajaCalif,2020,lightlorry_cng,0.40680000000
27,2037,BajaCalif,2020,lightlorry_cng,0.30510000000
28,2030,BajaCalif,2020,lightlorry_diesel,7.82160000000
28,2035,BajaCalif,2020,lightlorry_diesel,3.91080000000
28,2036,BajaCalif,2020,lightlorry_diesel,3.12860000000
28,2037,BajaCalif,2020,lightlorry_diesel,2.34650000000
29,2030,BajaCalif,2020,lightlorry_hybriddiesel,1.01380000000
29,2035,BajaCalif,2020,lightlorry_hybriddiesel,0.50690000000
29,2036,BajaCalif,2020,lightlorry_hybriddiesel,0.40550000000
29,2037,BajaCalif,2020,lightlorry_hybriddiesel,0.30420000000
30,2030,BajaCalif,2020,lightlorry_hybridpetrol,0.75800000000
30,2035,BajaCalif,2020,lightlorry_hybridpetrol,0.37900000000
30,2036,BajaCalif,2020,lightlorry_hybridpetrol,0.30320000000
30,2037,BajaCalif,2020,lightlorry_hybridpetrol,0.22740000000
31,2030,BajaCalif,2020,lightlorry_lpg,1.01920000000
31,2035,BajaCalif,2020,lightlorry_lpg,0.50960000000
31,2036,BajaCalif,2020,lightlorry_lpg,0.40770000000
31,2037,BajaCalif,2020,lightlorry_lpg,0.30580000000
32,2030,BajaCalif,2020,lightlorry_petrol,7.95120000000
32,2035,BajaCalif,2020,lightlorry_petrol,3.97560000000
32,2036,BajaCalif,2020,lightlorry_petrol,3.18050000000
32,2037,BajaCalif,2020,lightlorry_petrol,2.38530000000
33,2030,BajaCalif,2020,lightlorry_pluginhybriddiesel,0.50800000000
33,2035,BajaCalif,2020,lightlorry_pluginhybriddiesel,0.25400000000
33,2036,BajaCalif,2020,lightlorry_pluginhybriddiesel,0.20320000000
33,2037,BajaCalif,2020,lightlorry_pluginhybriddiesel,0.15240000000
34,2030,BajaCalif,2020,lightlorry_pluginhybridpetrol,0.75920000000
34,2035,BajaCalif,2020,lightlorry_pluginhybridpetrol,0.37960000000
34,2036,BajaCalif,2020,lightlorry_pluginhybridpetrol,0.30370000000
34,2037,BajaCalif,2020,lightlorry_pluginhybridpetrol,0.22780000000
35,2030,BajaCalif,2020,passengerjet_kerosene,5653372277.72809982300
35,2035,BajaCalif,2020,passengerjet_kerosene,5653372274.53610038757
35,2036,BajaCalif,2020,passengerjet_kerosene,5653372273.89770030975
35,2037,BajaCalif,2020,passengerjet_kerosene,5653372273.25930023193
35,2040,BajaCalif,2020,passengerjet_kerosene,5653372271.34409999847
35,2045,BajaCalif,2020,passengerjet_kerosene,5653372271.34409999847
35,2050,BajaCalif,2020,passengerjet_kerosene,5653372271.34409999847
35,2054,BajaCalif,2020,passengerjet_kerosene,5653372271.34409999847
36,2030,BajaCalif,2020,passengertrain_addtrackelec,24677224620.00000000000
36,2035,BajaCalif,2020,passengertrain_addtrackelec,24677224620.00000000000
36,2036,BajaCalif,2020,passengertrain_addtrackelec,24677224620.00000000000
36,2037,BajaCalif,2020,passengertrain_addtrackelec,24677224620.00000000000
36,2040,BajaCalif,2020,passengertrain_addtrackelec,24677224620.00000000000
36,2045,BajaCalif,2020,passengertrain_addtrackelec,24677224620.00000000000
36,2050,BajaCalif,2020,passengertrain_addtrackelec,24677224620.00000000000
36,2054,BajaCalif,2020,passengertrain_addtrackelec,24677224620.00000000000
36,2055,BajaCalif,2020,passengertrain_addtrackelec,24677224620.00000000000
36,2064,BajaCalif,2020,passengertrain_addtrackelec,24677224620.00000000000
37,2030,BajaCalif,2020,passengertrain_diesel,12338612310.99690055847
37,2035,BajaCalif,2020,passengertrain_diesel,12338612310.88610076904
37,2036,BajaCalif,2020,passengertrain_diesel,12338612310.86400032043
37,2037,BajaCalif,2020,passengertrain_diesel,12338612310.84180068970
37,2040,BajaCalif,2020,passengertrain_diesel,12338612310.77529907227
37,2045,BajaCalif,2020,passengertrain_diesel,12338612310.77529907227
37,2050,BajaCalif,2020,passengertrain_diesel,12338612310.77529907227
37,2054,BajaCalif,2020,passengertrain_diesel,12338612310.77529907227
37,2055,BajaCalif,2020,passengertrain_diesel,12338612310.77529907227
37,2064,BajaCalif,2020,passengertrain_diesel,12338612310.77529907227
38,2030,BajaCalif,2020,passengertrain_electric,24677224620.00000000000
38,2035,BajaCalif,2020,passengertrain_electric,24677224620.00000000000
38,2036,BajaCalif,2020,passengertrain_electric,24677224620.00000000000
38,2037,BajaCalif,2020,passengertrain_electric,24677224620.00000000000
38,2040,BajaCalif,2020,passengertrain_electric,24677224620.00000000000
