timeslice,commodity,asset,year,installed,technology,month,day,hour,supply
0,cars,41,2050,2035,cars_battery,all-year,all-week,night,17777777778.00000000000
0,cars,42,2050,2035,cars_cng,all-year,all-week,night,17777777778.00000000000
0,cars,43,2050,2035,cars_diesel,all-year,all-week,night,17777777778.00000000000
0,cars,44,2050,2035,cars_flexiblefuel,all-year,all-week,night,17777777778.00000000000
0,cars,45,2050,2035,cars_hybriddiesel,all-year,all-week,night,17777777778.00000000000
0,cars,46,2050,2035,cars_hybridhydrogenfc,all-year,all-week,night,17777777778.00000000000
0,cars,47,2050,2035,cars_hybridliquidhydrogen,all-year,all-week,night,17777777778.00000000000
0,cars,48,2050,2035,cars_hybridpetrol,all-year,all-week,night,17777777778.00000000000
0,cars,49,2050,2035,cars_hydrogenfc,all-year,all-week,night,17777777778.00000000000
0,cars,50,2050,2035,cars_lpg,all-year,all-week,night,17777777778.00000000000
0,cars,51,2050,2035,cars_petrol,all-year,all-week,night,17777777778.00000000000
0,cars,52,2050,2035,cars_pluginhybriddiesel,all-year,all-week,night,17777777778.00000000000
0,cars,53,2050,2035,cars_pluginhybridhydrogenfc,all-year,all-week,night,17777777778.00000000000
0,cars,66,2055,2050,cars_battery,all-year,all-week,night,14933333333.33329963684
0,cars,67,2055,2050,cars_cng,all-year,all-week,night,14933333333.33329963684
0,cars,68,2055,2050,cars_diesel,all-year,all-week,night,14933333333.33329963684
0,cars,69,2055,2050,cars_flexiblefuel,all-year,all-week,night,14933333333.33329963684
0,cars,70,2055,2050,cars_hybriddiesel,all-year,all-week,night,14933333333.33329963684
0,cars,71,2055,2050,cars_hybridhydrogenfc,all-year,all-week,night,14933333333.33329963684
0,cars,72,2055,2050,cars_hybridliquidhydrogen,all-year,all-week,night,14933333333.33329963684
0,cars,73,2055,2050,cars_hybridpetrol,all-year,all-week,night,14933333333.33329963684
0,cars,74,2055,2050,cars_hydrogenfc,all-year,all-week,night,14933333333.33329963684
0,cars,75,2055,2050,cars_lpg,all-year,all-week,night,14933333333.33329963684
0,cars,76,2055,2050,cars_petrol,all-year,all-week,night,14933333333.33329963684
