ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050
cars_petrol,Central,PJ/y,1.09E+02,81.62727772,54.41818515,27.20909257,0,0,0
cars_lpg,Central,PJ/y,0.808910785,0.606683088,0.404455392,0.202227696,0,0,0
cars_hybridpetrol,Central,PJ/y,3.241105149,2.430828862,1.620552574,0.810276287,0,0,0
cars_diesel,Central,PJ/y,9.789416545,7.342062409,4.894708273,2.447354136,0,0,0
cars_hybriddiesel,Central,PJ/y,1.665537423,1.249153067,0.832768712,0.416384356,0,0,0
cars_pluginhybriddiesel,Central,PJ/y,1.671336744,1.253502558,0.835668372,0.417834186,0,0,0
cars_hydrogenfc,Central,PJ/y,0,0,0,0,0,0,0
cars_hybridhydrogenfc,Central,PJ/y,0,0,0,0,0,0,0
cars_pluginhybridhydrogenfc,Central,PJ/y,0,0,0,0,0,0,0
cars_hybridliquidhydrogen,Central,PJ/y,0,0,0,0,0,0,0
cars_cng,Central,PJ/y,0,0,0,0,0,0,0
cars_flexiblefuel,Central,PJ/y,0,0,0,0,0,0,0
cars_battery,Central,PJ/y,3.354353184,2.515764888,1.677176592,0.838588296,0,0,0
bus_diesel,Central,PJ/y,3.732162142,2.799121607,1.866081071,0.933040536,0,0,0
bus_hybriddiesel,Central,PJ/y,0.470176046,0.352632034,0.235088023,0.117544011,0,0,0
bus_battery,Central,PJ/y,0.47063705,0.352977788,0.235318525,0.117659263,0,0,0
bus_cng,Central,PJ/y,0.47109896,0.35332422,0.23554948,0.11777474,0,0,0
bus_hybridhydrogenfc,Central,PJ/y,0,0,0,0,0,0,0
lightlorry_diesel,Central,PJ/y,3.772494215,2.829370661,1.886247108,0.943123554,0,0,0
lightlorry_petrol,Central,PJ/y,3.802378488,2.851783866,1.901189244,0.950594622,0,0,0
lightlorry_hybridhydrogenfc,Central,PJ/y,0,0,0,0,0,0,0
lightlorry_hybridliquidhydrogen,Central,PJ/y,0,0,0,0,0,0,0
lightlorry_hybridpetrol,Central,PJ/y,0.359319376,0.269489532,0.179659688,0.089829844,0,0,0
lightlorry_pluginhybridpetrol,Central,PJ/y,0.359588557,0.269691418,0.179794279,0.089897139,0,0,0
lightlorry_hybriddiesel,Central,PJ/y,0.479810856,0.359858142,0.239905428,0.119952714,0,0,0
lightlorry_pluginhybriddiesel,Central,PJ/y,0.240145479,0.180109109,0.120072739,0.06003637,0,0,0
lightlorry_cng,Central,PJ/y,0.480531369,0.360398527,0.240265685,0.120132842,0,0,0
lightlorry_lpg,Central,PJ/y,0.481012915,0.360759686,0.240506457,0.120253229,0,0,0
heavylorry_diesel,Central,PJ/y,3.851963409,2.888972557,1.925981704,0.962990852,0,0,0
heavylorry_hybriddiesel,Central,PJ/y,0.485390649,0.364042987,0.242695325,0.121347662,0,0,0
heavylorry_hybridhydrogenfc,Central,PJ/y,0,0,0,0,0,0,0
heavylorry_cng,Central,PJ/y,0.485881988,0.364411491,0.242940994,0.121470497,0,0,0
heavylorry_petrol,Central,PJ/y,3.890994577,2.918245933,1.945497289,0.972748644,0,0,0
passengertrain_diesel,Central,PJ/y,0.172474177,0.129355632,0.086237088,0.043118544,0,0,0
passengertrain_electric,Central,PJ/y,0,0,0,0,0,0,0
passengertrain_hydrogenfc,Central,PJ/y,0,0,0,0,0,0,0
passengertrain_addtrackelec,Central,PJ/y,0,0,0,0,0,0,0
freighttrain_diesel,Central,PJ/y,2.267618266,1.7007137,1.133809133,0.566904567,0,0,0
freighttrain_electric,Central,PJ/y,0.024765019,0.018573765,0.01238251,0.006191255,0,0,0
freighttrain_hydrogenfc,Central,PJ/y,0,0,0,0,0,0,0
freighttrain_addtrackelec,Central,PJ/y,0,0,0,0,0,0,0
freighttrain_coal,Central,PJ/y,0,0,0,0,0,0,0
shipping_heavyoil,Central,PJ/y,0,0,0,0,0,0,0
passengerjet_kerosene,Central,PJ/y,14.32883503,10.74662627,7.164417512,3.582208756,0,0,0
freightjet_kerosene,Central,PJ/y,2.200385781,1.650289335,1.10019289,0.550096445,0,0,0
cars_petrol,Eastern,PJ/y,56.65834383,42.49375788,28.32917192,14.16458596,0,0,0
cars_lpg,Eastern,PJ/y,0.369202693,0.27690202,0.184601346,0.092300673,0,0,0
cars_hybridpetrol,Eastern,PJ/y,1.477947569,1.108460676,0.738973784,0.369486892,0,0,0
cars_diesel,Eastern,PJ/y,4.447536928,3.335652696,2.223768464,1.111884232,0,0,0
cars_hybriddiesel,Eastern,PJ/y,0.748188648,0.561141486,0.374094324,0.187047162,0,0,0
cars_pluginhybriddiesel,Eastern,PJ/y,0.74935669,0.562017517,0.374678345,0.187339172,0,0,0
cars_hydrogenfc,Eastern,PJ/y,0,0,0,0,0,0,0
cars_hybridhydrogenfc,Eastern,PJ/y,0,0,0,0,0,0,0
cars_pluginhybridhydrogenfc,Eastern,PJ/y,0,0,0,0,0,0,0
cars_hybridliquidhydrogen,Eastern,PJ/y,0,0,0,0,0,0,0
cars_cng,Eastern,PJ/y,0,0,0,0,0,0,0
cars_flexiblefuel,Eastern,PJ/y,0,0,0,0,0,0,0
cars_battery,Eastern,PJ/y,1.501056769,1.125792576,0.750528384,0.375264192,0,0,0
