,RegionName,ProcessName,Timeslice,electricity,hfo,gas,geo,heat,CO2f,wind,cook,biomass,water,uranium,solar,coal,diesel,e_demand
0,Central,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.07868864
1,Central,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.71912576
2,Central,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.7978144
3,Central,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35956288
4,Central,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17978144
5,Central,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17978144
0,Central,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53934432
1,Central,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35956288
2,Central,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8989072
3,Central,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17978144
4,Central,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08989072
5,Central,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08989072
0,Eastern,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.6070736
1,Eastern,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.0713824
2,Eastern,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.678456
3,Eastern,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5356912
4,Eastern,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2678456
5,Eastern,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2678456
0,Eastern,e_tec2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.8035368
1,Eastern,e_tec2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5356912
2,Eastern,e_tec2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.339228
3,Eastern,e_tec2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2678456
4,Eastern,e_tec2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1339228
5,Eastern,e_tec2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1339228
0,Western,e_tec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.07590944
1,Western,e_tec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.1518189
2,Western,e_tec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.3795472
3,Western,e_tec,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.07590944
4,Western,e_tec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.03795472
5,Western,e_tec,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.03795472
