ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050
Bioenergy,Eastern,PJ/y,3.24483624,3.082594428,2.928464707,2.782041471,2.642939398,2.510792428,2.385252806
CC,Eastern,PJ/y,44.4906144,42.26608368,40.1527795,38.14514052,36.2378835,34.42598932,32.70468985
CHP,Eastern,PJ/y,59.74684416,56.75950195,53.92152685,51.22545051,48.66417799,46.23096909,43.91942063
IC,Eastern,PJ/y,0.55490832,0.527162904,0.500804759,0.475764521,0.451976295,0.42937748,0.407908606
Hydroelectric,Eastern,PJ/y,78.26412132,74.35091525,70.63336949,67.10170102,63.74661597,60.55928517,57.53132091
Thermoelectric,Eastern,PJ/y,8.21933352,7.808366844,7.417948502,7.047051077,6.694698523,6.359963597,6.041965417
Turbogas,Eastern,PJ/y,15.66927288,14.88580924,14.14151877,13.43444284,12.76272069,12.12458466,11.51835543
Wind,Eastern,PJ/y,58.2203592,55.30934124,52.54387418,49.91668047,47.42084645,45.04980412,42.79731392
Geothermal,Eastern,PJ/y,0.93805128,0.891148716,0.84659128,0.804261716,0.76404863,0.725846199,0.689553889
Nuclear,Eastern,PJ/y,47.35584,44.988048,42.7386456,40.60171332,38.57162765,36.64304627,34.81089396
Bioenergy,Western,PJ/y,0.79497504,0.755226288,0.717464974,0.681591725,0.647512139,0.615136532,0.584379705
Coal,Western,PJ/y,43.18967232,41.0301887,38.97867927,37.02974531,35.17825804,33.41934514,31.74837788
CC,Western,PJ/y,105.6926556,100.4080228,95.38762168,90.6182406,86.08732857,81.78296214,77.69381403
CHP,Western,PJ/y,0.06811776,0.064711872,0.061476278,0.058402464,0.055482341,0.052708224,0.050072813
IC,Western,PJ/y,1.57814352,1.499236344,1.424274527,1.3530608,1.28540776,1.221137372,1.160080504
Geothermal,Western,PJ/y,7.05682368,6.703982496,6.368783371,6.050344203,5.747826993,5.460435643,5.187413861
Hydroelectric,Western,PJ/y,57.4702614,54.59674833,51.86691091,49.27356537,46.8098871,44.46939274,42.24592311
Solar,Western,PJ/y,5.9747652,5.67602694,5.392225593,5.122614313,4.866483598,4.623159418,4.392001447
Thermoelectric,Western,PJ/y,17.27890056,16.41495553,15.59420776,14.81449737,14.0737725,13.37008387,12.70157968
Turbogas,Western,PJ/y,8.4220128,8.00091216,7.600866552,7.220823224,6.859782063,6.51679296,6.190953312
FB,Western,PJ/y,9.015984,8.5651848,8.13692556,7.730079282,7.343575318,6.976396552,6.627576724
Wind,Western,PJ/y,13.4212032,12.75014304,12.11263589,11.50700409,10.93165389,10.38507119,9.865817635
